symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
DNAMEDIA,DNAMEDIAEQN,4.89,5.57,5.57,0.68,13.91,93335,519875,8.84,4.0
BGRENERGY,BGRENERGYEQN,112.06,123.26,123.26,11.2,9.99,80444,9915527,145.0,34.5
NAGREEKCAP,NAGREEKCAPEQN,27.4,29.89,29.89,2.49,9.09,10,298,43.93,22.18
BLBLIMITED,BLBLIMITEDEQN,15.0,15.99,15.99,0.99,6.6,25986,415516,24.95,13.1
RAIN,RAINEQN,152.13,161.99,161.99,9.86,6.48,76182,12340722,197.0,117.06
CYBERMEDIA,CYBERMEDIAEQN,16.7,17.69,17.69,0.99,5.93,21,371,31.56,11.0
SINTERCOM,SINTERCOMEQN,127.27,134.0,134.0,6.73,5.29,10,1340,186.0,109.99
LUMAXTECH,LUMAXTECHEQN,1154.9,1209.9,1209.9,60.5,5.26,9577,11587212,1254.0,449.0
SABTNL,SABTNLBEN,1196.4,1256.2,1256.2,59.8,5.0,989,1242381,2219.95,352.6
BLUECOAST,BLUECOASTBEN,58.44,61.36,61.36,2.92,5.0,400,24544,58.44,8.68
WAAREEINDO,WAAREEINDOBEN,343.05,360.2,360.2,17.15,5.0,30,10806,343.05,165.07
RELTD,RELTDBEN,137.42,144.29,144.29,6.87,5.0,1974,284828,166.39,66.01
GINNIFILA,GINNIFILABEN,49.94,52.43,52.43,2.49,4.99,4791,251192,50.6,19.01
UNITEDPOLY,UNITEDPOLYBEN,36.35,38.16,38.16,1.81,4.98,19567,746676,36.35,8.2
IITL,IITLBEN,160.01,167.9,167.9,7.89,4.93,121,20315,444.95,153.0
NILASPACES,NILASPACESEQN,13.43,14.09,14.09,0.66,4.91,27299,384642,19.4,7.6
SKYGOLD,SKYGOLDEQN,271.7,285.0,285.0,13.3,4.9,105522,30073770,488.55,190.0
UEL,UELBEN,339.95,356.5,356.5,16.55,4.87,2,713,422.05,184.26
OSWALSEEDS,OSWALSEEDSEQN,11.92,12.5,12.5,0.58,4.87,3,37,40.8,11.64
JPASSOCIAT,JPASSOCIATBEN,3.49,3.66,3.66,0.17,4.87,1211028,4432362,10.25,2.56
RCOM,RCOMBEN,1.51,1.58,1.58,0.07,4.64,136588,215809,2.58,1.26
SVPGLOB,SVPGLOBEQN,3.46,3.61,3.61,0.15,4.34,1112,4014,7.99,2.37
NAGREEKEXP,NAGREEKEXPEQN,26.75,27.9,27.9,1.15,4.3,1,27,58.75,22.5
DRCSYSTEMS,DRCSYSTEMSBEN,16.98,17.68,17.68,0.7,4.12,2916,51554,34.9,16.15
ASHOKAMET,ASHOKAMETEQN,16.85,17.54,17.54,0.69,4.09,6,105,35.25,15.0
HYBRIDFIN,HYBRIDFINBEN,14.89,15.49,15.49,0.6,4.03,1500,23235,22.72,10.05
