symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
SURYALA,SURYALAEQN,441.45,481.2,481.2,39.75,9.0,4,1924,508.0,330.3
DGCONTENT,DGCONTENTEQN,24.59,26.4,26.4,1.81,7.36,5000,132000,51.0,21.61
DHARAN,DHARANBZN,0.15,0.16,0.16,0.01,6.67,216967,34714,0.61,0.11
UNICHEMLAB,UNICHEMLABEQN,572.7,610.15,610.15,37.45,6.54,31117,18986037,657.95,278.2
ZSARACOM,ZSARACOMEQN,13644.0,14400.0,14400.0,756.0,5.54,81,1166400,13644.0,9000.0
FILATFASH,FILATFASHBEN,0.19,0.2,0.2,0.01,5.26,205077,41015,0.74,0.14
SANWARIA,SANWARIABZN,0.19,0.2,0.2,0.01,5.26,11086,2217,0.4,0.19
PILITA,PILITABEN,8.6,9.03,9.03,0.43,5.0,2201,19875,16.05,6.2
RUBYMILLS,RUBYMILLSBEN,348.15,365.55,365.55,17.4,5.0,540,197397,361.9,169.02
IWARE,IWARESTN,383.5,402.65,402.65,19.15,4.99,600,241590,395.0,85.0
TEJA,TEJASTN,460.8,483.75,483.75,22.95,4.98,3000,1451250,460.8,418.0
SECURKLOUD,SECURKLOUDEQN,18.09,18.99,18.99,0.9,4.98,750,14242,34.18,16.01
TECHLABS,TECHLABSSTN,132.6,139.2,139.2,6.6,4.98,1125,156600,660.0,105.0
BIKEWO,BIKEWOSTN,50.45,52.95,52.95,2.5,4.96,4000,211800,50.45,13.65
FLEXITUFF,FLEXITUFFBEN,5.25,5.51,5.51,0.26,4.95,15,82,36.75,5.24
ORTEL,ORTELBZN,1.62,1.7,1.7,0.08,4.94,45,76,2.34,1.15
MARC,MARCSTN,92.3,96.85,96.85,4.55,4.93,1200,116220,97.5,40.75
KONSTELEC,KONSTELECSTN,50.8,53.3,53.3,2.5,4.92,3000,159900,75.65,28.0
LATTEYS,LATTEYSBEN,20.0,20.98,20.98,0.98,4.9,15848,332491,37.0,15.79
BILVYAPAR,BILVYAPARBEN,4.18,4.38,4.38,0.2,4.78,100,438,14.89,3.82
A2ZINFRA,A2ZINFRAEQN,13.56,14.18,14.18,0.62,4.57,500,7090,23.25,13.12
GATECHDVR,GATECHDVREQN,0.44,0.46,0.46,0.02,4.55,50,23,1.1,0.36
PPAP,PPAPEQN,257.43,269.0,269.0,11.57,4.49,6895,1854755,294.79,176.0
VIGOR,VIGORSTN,99.35,103.8,103.8,4.45,4.48,1600,166080,110.5,44.75
SEJALLTD,SEJALLTDBEN,709.3,740.9,740.9,31.6,4.46,12,8890,1036.7,381.0
SUVIDHAA,SUVIDHAAEQN,2.54,2.65,2.65,0.11,4.33,173,458,6.57,2.21
SIGNORIA,SIGNORIASTN,129.45,135.0,135.0,5.55,4.29,1000,135000,129.45,53.1
CEREBRAINT,CEREBRAINTBZN,3.05,3.18,3.18,0.13,4.26,101,321,10.08,2.98
BCONCEPTS,BCONCEPTSEQN,206.28,214.99,214.99,8.71,4.22,333,71591,449.0,164.0
