symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
SABAR,SABARSMN,6.6,7.25,7.25,0.65,9.85,65000,471250,24.2,3.8
VISHNUINFR,VISHNUINFRSMN,167.65,184.0,184.0,16.35,9.75,3000,552000,397.95,155.05
SUNCLAY,SUNCLAYEQN,1651.5,1800.0,1800.0,148.5,8.99,1101,1981800,2934.0,1632.2
RELIABLE,RELIABLEEQN,135.47,145.0,145.0,9.53,7.03,15298,2218210,136.08,63.15
ESPRIT,ESPRITSMN,93.7,98.75,98.75,5.05,5.39,1600,158000,159.45,86.25
AGNI,AGNISMN,22.25,23.45,23.45,1.2,5.39,2500,58625,54.7,17.9
SHUBHSHREE,SHUBHSHREESMN,427.0,449.95,449.95,22.95,5.37,600,269970,494.95,179.55
TAC,TACSMN,1100.25,1155.25,1155.25,55.0,5.0,1800,2079450,1697.0,619.9
SRPL,SRPLBZN,0.6,0.63,0.63,0.03,5.0,407136,256495,1.95,0.46
BAFNAPH,BAFNAPHEQN,100.42,105.44,105.44,5.02,5.0,1220,128636,114.97,69.0
KRISHIVAL,KRISHIVALBEN,450.6,473.1,473.1,22.5,4.99,100,47310,451.75,211.0
JPPOWER,JPPOWEREQN,18.05,18.95,18.95,0.9,4.99,1665777,31566474,27.7,12.36
NRAIL,NRAILBEN,408.5,428.9,428.9,20.4,4.99,1042,446913,426.95,205.75
ACL,ACLEQN,88.74,93.17,93.17,4.43,4.99,21710,2022720,99.4,48.15
SADHNANIQ,SADHNANIQBEN,7.62,8.0,8.0,0.38,4.99,22350,178800,74.0,5.89
SHEMAROO,SHEMAROOBEN,112.12,117.72,117.72,5.6,4.99,1,117,215.0,88.8
SEYAIND,SEYAINDBEN,18.29,19.2,19.2,0.91,4.98,19,364,32.65,12.63
SETCO,SETCOEQN,16.31,17.12,17.12,0.81,4.97,50455,863789,21.68,9.36
OSIAHYPER,OSIAHYPERBEN,15.88,16.67,16.67,0.79,4.97,8779,146345,50.45,11.31
DRCSYSTEMS,DRCSYSTEMSBEN,18.37,19.28,19.28,0.91,4.95,12491,240826,34.9,16.15
TNTELE,TNTELEBEN,16.24,17.04,17.04,0.8,4.93,13465,229443,26.0,7.94
E2E,E2EEQN,2360.6,2474.7,2474.7,114.1,4.83,1936,4791019,5487.65,1710.05
EUROBOND,EUROBONDEQN,229.04,240.0,240.0,10.96,4.79,5,1200,254.5,144.85
FMNL,FMNLEQN,13.15,13.77,13.77,0.62,4.71,5,68,28.17,9.15
TCIFINANCE,TCIFINANCEBEN,13.6,14.24,14.24,0.64,4.71,605,8615,20.14,10.51
LATTEYS,LATTEYSEQN,20.05,20.99,20.99,0.94,4.69,148,3106,48.63,16.0
CUBEXTUB,CUBEXTUBBEN,80.31,84.0,84.0,3.69,4.59,4995,419580,143.25,67.11
IL&FSENGG,IL&FSENGGBZN,31.27,32.7,32.7,1.43,4.57,10,327,48.95,30.12
JTEKTINDIA,JTEKTINDIAEQN,130.11,136.0,136.0,5.89,4.53,16533,2248488,182.93,103.98
IRIS,IRISBEN,356.6,372.6,372.6,16.0,4.49,141,52536,577.0,228.05
VASWANI,VASWANIBEN,54.56,57.0,57.0,2.44,4.47,2034,115938,73.88,33.3
DHRUV,DHRUVBEN,66.0,68.95,68.95,2.95,4.47,1,68,168.33,58.15
LANCORHOL,LANCORHOLEQN,25.17,26.28,26.28,1.11,4.41,216,5676,48.0,19.01
UYFINCORP,UYFINCORPEQN,12.22,12.75,12.75,0.53,4.34,12772,162843,39.4,11.62
FORGEAUTO,FORGEAUTOSTN,115.0,119.95,119.95,4.95,4.3,1200,143940,175.5,60.0
INDOUS,INDOUSEQN,148.75,154.9,154.9,6.15,4.13,34,5266,388.4,138.13
LORDSCHLO,LORDSCHLOBEN,183.48,191.0,191.0,7.52,4.1,5,955,241.99,121.1
NOIDATOLL,NOIDATOLLBEN,3.83,3.98,3.98,0.15,3.92,110,437,23.97,2.57
WEBELSOLAR,WEBELSOLAREQN,1253.2,1302.0,1302.0,48.8,3.89,5527,7196154,1865.0,803.5
GATECH,GATECHBEN,0.52,0.54,0.54,0.02,3.85,358664,193678,1.79,0.44
MTEDUCARE,MTEDUCAREBEN,2.11,2.19,2.19,0.08,3.79,1,2,4.74,1.94
VAISHALI,VAISHALIEQN,11.89,12.34,12.34,0.45,3.78,2081,25679,24.91,10.3
EDELWEISS,EDELWEISSEQN,107.92,112.0,112.0,4.08,3.78,266765,29877680,145.53,73.5
NATHBIOGEN,NATHBIOGENBEN,173.11,179.4,179.4,6.29,3.63,5,897,238.69,137.55
ORTEL,ORTELBZN,1.68,1.74,1.74,0.06,3.57,22,38,2.45,1.43
FLEXITUFF,FLEXITUFFEQN,23.27,24.09,24.09,0.82,3.52,1790,43121,94.9,17.34
VSSL,VSSLEQN,248.55,257.2,257.2,8.65,3.48,100,25720,322.0,178.0
SADHAV,SADHAVSTN,120.8,125.0,125.0,4.2,3.48,600,75000,212.5,76.95
HAVISHA,HAVISHABEN,2.06,2.13,2.13,0.07,3.4,1225,2609,3.49,1.7
CONTI,CONTISMN,22.15,22.9,22.9,0.75,3.39,3333,76325,70.15,21.1
SACHEEROME,SACHEEROMESMN,198.1,204.8,204.8,6.7,3.38,1200,245760,223.0,140.5
ARHAM,ARHAMSMN,83.15,85.95,85.95,2.8,3.37,1000,85950,183.0,70.8
ABINFRA,ABINFRABEN,191.69,198.0,198.0,6.31,3.29,1192,236016,201.0,61.26
BOHRAIND,BOHRAINDEQN,28.08,29.0,29.0,0.92,3.28,15,435,39.29,11.82
BSHSL,BSHSLEQN,144.34,149.07,149.07,4.73,3.28,225,33540,203.95,115.82
SABTNL,SABTNLBEN,1093.8,1129.3,1129.3,35.5,3.25,717,809708,2219.95,352.6
TREEHOUSE,TREEHOUSEEQN,7.39,7.63,7.63,0.24,3.25,21,160,23.8,6.19
HOVS,HOVSBEN,77.97,80.5,80.5,2.53,3.24,4920,396060,110.5,41.5
ZENITHSTL,ZENITHSTLBEN,7.75,8.0,8.0,0.25,3.23,2010,16080,12.5,5.65
SUMIT,SUMITEQN,95.0,98.0,98.0,3.0,3.16,1,98,157.75,75.23
SHIVAMILLS,SHIVAMILLSEQN,69.36,71.5,71.5,2.14,3.09,2,143,116.19,65.35
HEROMOTOCO,HEROMOTOCOEQN,5073.4,5230.0,5230.0,156.6,3.09,20884,109223320,6246.25,3344.0
AJOONI,AJOONIEQN,5.24,5.4,5.4,0.16,3.05,24891,134411,10.34,5.01
ORCHASP,ORCHASPEQN,2.96,3.05,3.05,0.09,3.04,222,677,3.94,2.11
AROGRANITE,AROGRANITEEQN,35.82,36.9,36.9,1.08,3.02,5,184,64.99,31.08
SURANASOL,SURANASOLEQN,30.77,31.69,31.69,0.92,2.99,631,19996,65.38,27.02
TRIGYN,TRIGYNEQN,75.46,77.69,77.69,2.23,2.96,10,776,137.99,66.6
PARASPETRO,PARASPETROEQN,2.4,2.47,2.47,0.07,2.92,2261,5584,4.14,2.11
HCL-INSYS,HCL-INSYSBEN,15.06,15.5,15.5,0.44,2.92,2090,32395,24.5,11.8
JAIPURKURT,JAIPURKURTEQN,37.97,39.06,39.06,1.09,2.87,1800,70308,59.0,31.91
SOLEX,SOLEXSTN,1300.3,1337.5,1337.5,37.2,2.86,625,835937,1786.7,630.9
INDNIPPON,INDNIPPONEQN,782.75,805.0,805.0,22.25,2.84,276,222180,850.0,545.3
SECURKLOUD,SECURKLOUDEQN,24.7,25.4,25.4,0.7,2.83,1000,25400,44.15,16.35
BALAXI,BALAXIEQN,45.66,46.94,46.94,1.28,2.8,132,6196,127.45,42.56
ASTRON,ASTRONEQN,12.75,13.1,13.1,0.35,2.75,102,1336,25.2,10.11
BYKE,BYKEBEN,69.94,71.84,71.84,1.9,2.72,1,71,107.0,57.8
SUPREMEINF,SUPREMEINFBZN,110.99,114.0,114.0,3.01,2.71,400,45600,161.55,62.0
PREMIERPOL,PREMIERPOLEQN,50.05,51.4,51.4,1.35,2.7,1031,52993,85.17,43.2
TAKE,TAKEBEN,10.84,11.13,11.13,0.29,2.68,200,2226,23.69,6.51
ELGIRUBCO,ELGIRUBCOEQN,63.31,65.0,65.0,1.69,2.67,23821,1548365,154.98,48.2
MSTCLTD,MSTCLTDEQN,438.4,450.0,450.0,11.6,2.65,699,314550,848.0,411.1
MEGASTAR,MEGASTAREQN,228.95,234.95,234.95,6.0,2.62,50,11747,330.0,187.61
ARFIN,ARFINEQN,34.31,35.2,35.2,0.89,2.59,151,5315,41.9,31.43
INNOVANA,INNOVANABEN,484.5,497.0,497.0,12.5,2.58,50,24850,649.5,270.5
VHLTD,VHLTDBEN,116.85,119.8,119.8,2.95,2.52,1,119,136.0,93.05
CONNPLEX,CONNPLEXSTN,190.2,195.0,195.0,4.8,2.52,3200,624000,198.0,177.0
NIRAJ,NIRAJEQN,46.83,48.0,48.0,1.17,2.5,58,2784,74.9,43.0
DIGIKORE,DIGIKORESMN,150.25,154.0,154.0,3.75,2.5,200,30800,485.05,139.0
