symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
IDEALTECHO,IDEALTECHOSMN,170.5,204.0,204.0,33.5,19.65,500,102000,259.8,150.5
ALBERTDAVD,ALBERTDAVDEQN,730.55,825.0,825.0,94.45,12.93,6368,5253600,903.0,579.9
SBCL,SBCLEQN,767.45,850.0,850.0,82.55,10.76,42960,36516000,814.0,368.6
MANCREDIT,MANCREDITEQN,252.56,277.64,277.64,25.08,9.93,6840,1899057,265.0,152.06
PRESSTONIC,PRESSTONICSMN,32.65,35.45,35.45,2.8,8.58,10400,368680,79.83,24.0
HAVISHA,HAVISHAEQN,1.44,1.55,1.55,0.11,7.64,50,77,2.42,1.03
MODIRUBBER,MODIRUBBEREQN,121.11,130.0,130.0,8.89,7.34,50,6500,167.5,98.41
SANDESH,SANDESHEQN,1187.75,1270.0,1270.0,82.25,6.92,2282,2898140,1438.5,811.0
SICAGEN,SICAGENEQN,61.72,65.95,65.95,4.23,6.85,86607,5711731,61.81,46.55
DHARAN,DHARANBZN,0.15,0.16,0.16,0.01,6.67,64441,10310,0.61,0.11
MVELECTRO,MVELECTROEQN,624.0,665.5,665.5,41.5,6.65,125225,83337237,0.0,0.0
HEADSUP,HEADSUPEQN,7.02,7.46,7.46,0.44,6.27,80,596,12.95,5.69
DHARIWAL,DHARIWALSMN,22.15,23.5,23.5,1.35,6.09,3000,70500,48.3,15.46
ENRIN,ENRINEQN,3252.2,3450.0,3450.0,197.8,6.08,14073,48551850,3968.0,2115.0
MUTHOOTMF,MUTHOOTMFEQN,221.94,235.0,235.0,13.06,5.88,50274,11814390,262.77,141.2
WAKEFIT,WAKEFITEQN,127.9,135.39,135.39,7.49,5.86,44647,6044757,224.0,111.4
GRINFRA,GRINFRAEQN,889.95,939.95,939.95,50.0,5.62,2386,2242720,1345.0,785.0
ELDEHSG,ELDEHSGEQN,718.95,759.0,759.0,40.05,5.57,1,759,1044.1,691.2
FILATFASH,FILATFASHBEN,0.18,0.19,0.19,0.01,5.56,181529,34490,0.68,0.14
AARNAV,AARNAVEQN,30.86,32.5,32.5,1.64,5.31,1,32,37.4,21.0
ORIENTCER,ORIENTCEREQN,41.43,43.5,43.5,2.07,5.0,7522,327207,56.64,34.0
UEL,UELEQN,245.52,257.79,257.79,12.27,5.0,132,34028,245.52,92.32
IVP,IVPBEN,160.68,168.71,168.71,8.03,5.0,2641,445563,194.0,110.0
INDOTECH,INDOTECHBEN,3787.5,3976.8,3976.8,189.3,5.0,8294,32983579,3787.5,1100.0
VIVIDEL,VIVIDELSTN,1379.05,1448.0,1448.0,68.95,5.0,480,695040,1429.0,556.0
SETL,SETLEQN,274.65,288.35,288.35,13.7,4.99,27291,7869359,305.3,104.56
SHIVAMILLS,SHIVAMILLSBEN,62.38,65.49,65.49,3.11,4.99,1614,105700,77.01,43.01
KOTYARK,KOTYARKBEN,40.38,42.39,42.39,2.01,4.98,36976,1567412,45.5,17.38
SHYAMDHANI,SHYAMDHANISTN,62.2,65.3,65.3,3.1,4.98,2000,130600,139.65,47.0
IMPEXFERRO,IMPEXFERROBZN,3.02,3.17,3.17,0.15,4.97,1001,3173,3.02,1.3
FORGEAUTO,FORGEAUTOSMN,110.65,116.15,116.15,5.5,4.97,1200,139380,172.0,68.45
AKANKSHA,AKANKSHASTN,110.9,116.4,116.4,5.5,4.96,7000,814800,111.0,57.0
PRECISION,PRECISIONSTN,8.1,8.5,8.5,0.4,4.94,2000,17000,26.0,6.2
ORTINGLOBE,ORTINGLOBEBEN,15.2,15.95,15.95,0.75,4.93,1,15,21.3,10.66
GTECJAINX,GTECJAINXBEN,30.07,31.55,31.55,1.48,4.92,1,31,38.35,15.54
AFFORDABLE,AFFORDABLEBEN,190.85,200.2,200.2,9.35,4.9,2003,401000,416.4,119.71
GRANDOAK,GRANDOAKEQN,41.75,43.78,43.78,2.03,4.86,1,43,55.76,24.0
BIKEWO,BIKEWOSTN,74.8,78.4,78.4,3.6,4.81,2000,156800,74.8,13.65
FELDVR,FELDVRBZN,2.33,2.44,2.44,0.11,4.72,200,488,3.78,2.28
ROLLT,ROLLTBEN,2.97,3.11,3.11,0.14,4.71,506579,1575460,3.74,1.02
NEPHROCARE,NEPHROCARESTN,72.2,75.6,75.6,3.4,4.71,400,30240,183.0,50.05
LLOYDS,LLOYDSSTN,64.7,67.75,67.75,3.05,4.71,2000,135500,98.9,34.8
ORTEL,ORTELBZN,2.13,2.23,2.23,0.1,4.69,301,671,2.2,1.15
VCL,VCLEQN,1.28,1.34,1.34,0.06,4.69,1210,1621,2.66,0.87
GATECH,GATECHBEN,0.64,0.67,0.67,0.03,4.69,2095812,1404194,0.93,0.4
PREMIER,PREMIERBEN,2.87,3.0,3.0,0.13,4.53,15,45,3.88,2.62
VISAKAIND,VISAKAINDEQN,86.39,90.29,90.29,3.9,4.51,71982,6499254,91.4,50.2
IRMENERGY,IRMENERGYEQN,293.0,305.85,305.85,12.85,4.39,17722,5420273,393.0,165.4
TICL,TICLBEN,10.25,10.7,10.7,0.45,4.39,4879,52205,33.99,8.91
BCONCEPTS,BCONCEPTSEQN,177.36,185.0,185.0,7.64,4.31,56,10360,449.0,164.0
RAJTV,RAJTVEQN,9.95,10.37,10.37,0.42,4.22,1,10,46.9,9.93
SINCLAIR,SINCLAIREQN,76.59,79.8,79.8,3.21,4.19,1000,79800,114.75,68.82
SADHNANIQ,SADHNANIQBEN,2.88,3.0,3.0,0.12,4.17,476055,1428165,3.13,1.27
LIBAS,LIBASEQN,9.71,10.1,10.1,0.39,4.02,1,10,14.3,9.02
SBGLP,SBGLPEQN,25.37,26.35,26.35,0.98,3.86,20,527,44.75,18.35
PATILAUTOM,PATILAUTOMSTN,200.75,208.4,208.4,7.65,3.81,1200,250080,234.0,112.05
SUNDROP,SUNDROPEQN,664.8,690.0,690.0,25.2,3.79,3463,2389470,928.0,556.0
GULPOLY,GULPOLYEQN,207.21,215.0,215.0,7.79,3.76,115343,24798745,221.75,121.5
UTKAL,UTKALSMN,43.95,45.6,45.6,1.65,3.75,14000,638400,66.0,22.6
SPLIL,SPLILEQN,31.8,32.99,32.99,1.19,3.74,2200,72578,45.2,20.2
ROSSELLIND,ROSSELLINDEQN,54.95,57.0,57.0,2.05,3.73,37,2109,71.31,40.0
SPCON,SPCONSMN,150.4,155.95,155.95,5.55,3.69,1200,187140,169.0,99.0
MANGALAM,MANGALAMEQN,27.01,28.0,28.0,0.99,3.67,1200,33600,89.84,22.8
SABAR,SABARSMN,6.85,7.1,7.1,0.25,3.65,5000,35500,9.55,3.95
