symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
MODISONLTD,MODISONLTDEQN,174.4,209.28,209.28,34.88,20.0,77604,16240965,197.45,114.0
GCHOTELS,GCHOTELSSMN,88.7,104.9,104.9,16.2,18.26,22800,2391720,255.0,76.5
GREENLAM,GREENLAMEQN,237.23,275.6,275.6,38.37,16.17,54965,15148354,279.4,197.59
MANAKSIA,MANAKSIAEQN,57.87,67.0,67.0,9.13,15.78,12101,810767,85.6,42.1
CHAMUNDA,CHAMUNDASMN,43.15,49.5,49.5,6.35,14.72,3000,148500,59.0,38.5
HARIOMPIPE,HARIOMPIPEEQN,344.35,392.0,392.0,47.65,13.84,27460,10764320,572.2,268.05
VIKRAN,VIKRANEQN,64.8,73.5,73.5,8.7,13.43,326075,23966512,118.4,51.1
DELPHIFX,DELPHIFXEQN,10.42,11.71,11.71,1.29,12.38,5001,58561,18.25,7.42
TINNARUBR,TINNARUBREQN,740.15,820.0,820.0,79.85,10.79,4039,3311980,1068.6,527.45
VICTORYEV,VICTORYEVSMN,17.85,19.75,19.75,1.9,10.64,12000,237000,34.45,13.7
MITTAL,MITTALEQN,1.07,1.18,1.18,0.11,10.28,122666,144745,1.83,0.7
SHRIKRISH,SHRIKRISHEQN,42.03,46.3,46.3,4.27,10.16,31,1435,56.0,35.0
GUJRAFFIA,GUJRAFFIAEQN,41.25,45.37,45.37,4.12,9.99,466,21142,88.0,35.1
RCDL,RCDLSMN,26.4,28.8,28.8,2.4,9.09,6000,172800,30.85,16.5
UNIVCABLES,UNIVCABLESEQN,1012.05,1100.0,1100.0,87.95,8.69,13945,15339500,1234.0,568.0
K2INFRA,K2INFRASMN,55.0,59.45,59.45,4.45,8.09,1200,71340,90.9,40.8
PRECWIRE,PRECWIREEQN,415.15,448.0,448.0,32.85,7.91,62828,28146944,445.5,168.51
