symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
K2INFRA,K2INFRASMN,68.7,75.55,75.55,6.85,9.97,9000,679950,168.45,52.5
NKIND,NKINDEQN,64.78,71.0,71.0,6.22,9.6,5,355,87.78,53.0
KSR,KSREQN,21.67,23.7,23.7,2.03,9.37,32743,776009,34.95,14.04
LASA,LASAEQN,10.38,11.34,11.34,0.96,9.25,77676,880845,31.4,8.16
SINTERCOM,SINTERCOMEQN,99.84,107.9,107.9,8.06,8.07,1,107,183.85,99.0
AVG,AVGEQN,175.38,187.9,187.9,12.52,7.14,6,1127,394.9,156.81
JAIPURKURT,JAIPURKURTEQN,31.71,33.9,33.9,2.19,6.91,19208,651151,59.0,26.0
SILVERTUC,SILVERTUCEQN,1104.4,1179.0,1179.0,74.6,6.75,8849,10432971,1123.0,610.0
NIRAJISPAT,NIRAJISPATEQN,208.79,222.0,222.0,13.21,6.33,451,100122,612.5,189.99
FILATFASH,FILATFASHEQN,0.32,0.34,0.34,0.02,6.25,1371698,466377,0.8,0.25
MEDICO,MEDICOEQN,49.17,52.0,52.0,2.83,5.76,30000,1560000,79.83,37.18
DEVYANI,DEVYANIEQN,147.43,155.0,155.0,7.57,5.13,530392,82210760,209.75,122.25
MEGASOFT,MEGASOFTBEN,197.46,207.33,207.33,9.87,5.0,14192,2942427,231.0,49.06
STALLION,STALLIONBEN,246.81,259.15,259.15,12.34,5.0,36003,9330177,423.8,60.0
SHAHALLOYS,SHAHALLOYSEQN,68.74,72.17,72.17,3.43,4.99,1,72,83.85,43.3
MANGALAM,MANGALAMEQN,28.88,30.32,30.32,1.44,4.99,4101,124342,124.89,22.8
MCL,MCLEQN,75.16,78.91,78.91,3.75,4.99,25649,2023962,75.16,39.6
KAVDEFENCE,KAVDEFENCEBEN,70.38,73.89,73.89,3.51,4.99,18183,1343541,162.87,41.14
SWANDEF,SWANDEFBEN,1457.6,1530.4,1530.4,72.8,4.99,50,76520,1457.6,37.8
PALREDTEC,PALREDTECEQN,44.91,47.15,47.15,2.24,4.99,824,38851,83.5,36.34
TCIFINANCE,TCIFINANCEBEN,28.72,30.15,30.15,1.43,4.98,19087,575473,28.72,10.0
EXIMROUTES,EXIMROUTESSTN,152.75,160.35,160.35,7.6,4.98,4800,769680,152.75,104.5
LANCORHOL,LANCORHOLBEN,25.34,26.6,26.6,1.26,4.97,5,133,36.25,19.01
SANCO,SANCOBZN,2.42,2.54,2.54,0.12,4.96,1095,2781,5.08,1.66
TRU,TRUEQN,7.99,8.38,8.38,0.39,4.88,3704,31039,20.84,6.61
NAVKARURB,NAVKARURBEQN,1.65,1.73,1.73,0.08,4.85,43290,74891,4.28,1.17
MHLXMIRU,MHLXMIRUEQN,209.94,220.0,220.0,10.06,4.79,1,220,270.68,200.05
VCL,VCLBEN,2.15,2.25,2.25,0.1,4.65,30336,68256,2.66,0.6
SMARTWORKS,SMARTWORKSEQN,505.5,528.25,528.25,22.75,4.5,6240,3296280,619.0,392.7
BILVYAPAR,BILVYAPARBEN,7.37,7.69,7.69,0.32,4.34,1,7,23.11,6.41
LYPSAGEMS,LYPSAGEMSEQN,5.36,5.59,5.59,0.23,4.29,5151,28794,10.93,4.57
COMPINFO,COMPINFOBZN,1.64,1.71,1.71,0.07,4.27,56,95,3.02,1.26
SETUINFRA,SETUINFRABZN,0.47,0.49,0.49,0.02,4.26,300,147,1.12,0.43
HINDCOMPOS,HINDCOMPOSEQN,425.75,443.8,443.8,18.05,4.24,111,49261,598.0,401.75
NDGL,NDGLEQN,2826.7,2946.0,2946.0,119.3,4.22,2,5892,4685.4,2790.0
BANSALWIRE,BANSALWIREEQN,305.4,318.0,318.0,12.6,4.13,9145,2908110,466.7,299.0
RAMANEWS,RAMANEWSEQN,31.7,33.0,33.0,1.3,4.1,22,726,44.78,14.5
ORTINGLOBE,ORTINGLOBEBEN,13.8,14.35,14.35,0.55,3.99,3,43,18.93,9.64
