symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
JIWANRAM,JIWANRAMSMN,9.1,10.45,10.45,1.35,14.84,6000,62700,22.95,6.0
DAVAN-RE1,DAVAN-RE1BEN,0.09,0.1,0.1,0.01,11.11,22295,2229,0.09,0.05
SADBHIN,SADBHINEQN,3.97,4.36,4.36,0.39,9.82,992141,4325734,8.51,3.22
MODTHREAD,MODTHREADEQN,49.62,54.48,54.48,4.86,9.79,269,14655,66.0,31.35
USASEEDS,USASEEDSSMN,230.0,246.1,246.1,16.1,7.0,300,73830,297.0,130.7
SAROJA,SAROJASMN,56.15,60.0,60.0,3.85,6.86,4800,288000,70.75,34.0
BGRENERGY,BGRENERGYEQN,135.94,145.0,145.0,9.06,6.66,69438,10068510,145.0,34.5
GLOBALE,GLOBALEEQN,13.64,14.49,14.49,0.85,6.23,129,1869,87.0,12.04
MASKINVEST,MASKINVESTEQN,146.35,155.0,155.0,8.65,5.91,150,23250,292.46,68.6
DYCL,DYCLEQN,400.0,422.45,422.45,22.45,5.61,10897,4603437,547.5,227.5
SUTLEJTEX,SUTLEJTEXEQN,39.33,41.49,41.49,2.16,5.49,5,207,78.85,32.5
KOTYARK,KOTYARKSMN,379.9,400.0,400.0,20.1,5.29,3000,1200000,1195.0,202.4
PRAXIS,PRAXISBEN,11.41,11.98,11.98,0.57,5.0,25600,306688,26.5,8.65
SETUINFRA,SETUINFRABZN,0.6,0.63,0.63,0.03,5.0,100,63,1.16,0.46
MANORG,MANORGBEN,607.5,637.85,637.85,30.35,5.0,1557,993132,720.0,340.1
TAC,TACSMN,938.8,985.7,985.7,46.9,5.0,2900,2858530,1697.0,576.0
THOMASCOTT,THOMASCOTTBEN,371.05,389.6,389.6,18.55,5.0,873,340120,509.0,185.59
PARTH,PARTHSTN,233.0,244.65,244.65,11.65,5.0,10400,2544360,233.0,169.0
BSL,BSLBEN,151.29,158.85,158.85,7.56,5.0,1818,288789,331.85,127.3
ARENTERP,ARENTERPBEN,46.6,48.93,48.93,2.33,5.0,32,1565,88.34,37.17
KEYFINSERV,KEYFINSERVEQN,259.75,272.75,272.75,13.0,5.0,1,272,479.0,170.1
BCG,BCGEQN,16.63,17.46,17.46,0.83,4.99,2140596,37374806,22.0,7.56
HOVS,HOVSBEN,61.12,64.17,64.17,3.05,4.99,1717,110179,110.5,41.5
KAVDEFENCE,KAVDEFENCEBEN,61.5,64.57,64.57,3.07,4.99,6057,391100,66.68,30.49
ELGIRUBCO,ELGIRUBCOBEN,57.33,60.19,60.19,2.86,4.99,181,10894,154.98,48.2
AGROPHOS,AGROPHOSBEN,38.92,40.86,40.86,1.94,4.98,5843,238744,51.46,27.2
OSIAHYPER,OSIAHYPERBEN,12.46,13.08,13.08,0.62,4.98,3100,40548,50.45,11.31
OSWALSEEDS,OSWALSEEDSEQN,15.96,16.75,16.75,0.79,4.95,2049,34320,40.8,10.72
TAKE,TAKEBEN,10.51,11.03,11.03,0.52,4.95,13250,146147,23.69,6.51
EXCEL,EXCELBEN,1.22,1.28,1.28,0.06,4.92,798930,1022630,1.85,0.65
PANSARI,PANSARIBEN,260.32,273.0,273.0,12.68,4.87,10,2730,271.2,115.15
