symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
HILTON-RE2,HILTON-RE2BEN,0.2,0.23,0.23,0.03,15.0,25000,5750,0.4,0.15
3PLAND,3PLANDEQN,30.31,33.99,33.99,3.68,12.14,15,509,58.79,29.0
SUPERSPIN,SUPERSPINEQN,5.22,5.8,5.8,0.58,11.11,1,5,12.47,5.07
CROWN,CROWNEQN,117.54,128.2,128.2,10.66,9.07,1,128,221.8,108.45
SECURKLOUD,SECURKLOUDEQN,20.05,21.8,21.8,1.75,8.73,99,2158,34.18,16.01
INFOMEDIA,INFOMEDIAEQN,5.24,5.69,5.69,0.45,8.59,2,11,9.89,4.5
GEECEE,GEECEEEQN,260.8,283.0,283.0,22.2,8.51,4,1132,448.0,252.25
AKSHARCHEM,AKSHARCHEMEQN,191.16,207.3,207.3,16.14,8.44,6,1243,330.8,188.1
RSYSTEMS,RSYSTEMSEQN,298.1,322.65,322.65,24.55,8.24,106653,34411590,496.9,250.65
NOIDATOLL,NOIDATOLLEQN,3.61,3.9,3.9,0.29,8.03,115,448,5.63,2.57
PALASHSECU,PALASHSECUEQN,86.22,93.0,93.0,6.78,7.86,15,1395,142.0,85.4
NECCLTD,NECCLTDEQN,13.0,13.99,13.99,0.99,7.62,56787,794450,27.25,11.51
ARVSMART,ARVSMARTEQN,501.35,538.5,538.5,37.15,7.41,3498,1883673,757.0,486.8
BIOFILCHEM,BIOFILCHEMEQN,30.1,32.25,32.25,2.15,7.14,20,645,57.19,28.5
JAGSNPHARM,JAGSNPHARMEQN,168.27,180.0,180.0,11.73,6.97,3870,696600,301.65,155.0
MEDICO,MEDICOEQN,40.25,43.0,43.0,2.75,6.83,205,8815,62.76,37.18
MITCON,MITCONEQN,53.24,56.8,56.8,3.56,6.69,150,8520,97.62,50.3
DCI,DCIEQN,243.75,259.9,259.9,16.15,6.63,1,259,339.0,201.35
PILITA,PILITAEQN,7.87,8.39,8.39,0.52,6.61,200,1678,20.64,7.37
HLVLTD,HLVLTDEQN,7.46,7.95,7.95,0.49,6.57,70,556,15.75,6.68
AVTNPL,AVTNPLEQN,60.06,64.0,64.0,3.94,6.56,1554,99456,83.8,51.41
MIDWESTLTD,MIDWESTLTDEQN,1084.3,1155.3,1155.3,71.0,6.55,265,306154,1859.9,1048.5
ASHIMASYN,ASHIMASYNEQN,14.07,14.99,14.99,0.92,6.54,6,89,35.8,12.05
RAMANEWS,RAMANEWSEQN,34.56,36.8,36.8,2.24,6.48,182,6697,44.78,22.61
VGL,VGLEQN,61.08,65.0,65.0,3.92,6.42,100,6500,98.48,57.0
RUDRA,RUDRAEQN,16.92,18.0,18.0,1.08,6.38,510,9180,29.7,15.9
INTENTECH,INTENTECHEQN,90.72,96.5,96.5,5.78,6.37,2200,212300,149.9,79.5
BASML,BASMLEQN,20.18,21.43,21.43,1.25,6.19,950,20358,38.2,19.81
DIXON,DIXONEQN,9804.0,10399.0,10399.0,595.0,6.07,7482,77805318,18471.0,9630.0
MAXIND,MAXINDEQN,143.62,152.15,152.15,8.53,5.94,5,760,241.57,141.81
PAR,PAREQN,90.17,95.48,95.48,5.31,5.89,1000,95480,122.43,81.01
RILINFRA,RILINFRASMN,32.05,33.9,33.9,1.85,5.77,1700,57630,53.9,27.6
CHAMUNDA,CHAMUNDASMN,43.4,45.9,45.9,2.5,5.76,6000,275400,59.0,40.0
DRCSYSTEMS,DRCSYSTEMSEQN,13.23,13.99,13.99,0.76,5.74,74,1035,31.0,13.15
PRITI,PRITIEQN,35.4,37.4,37.4,2.0,5.65,10,374,107.09,34.2
CYBERTECH,CYBERTECHEQN,102.29,107.99,107.99,5.7,5.57,1,107,274.8,95.3
CINEVISTA,CINEVISTAEQN,15.53,16.38,16.38,0.85,5.47,5,81,24.88,13.21
BHARATGEAR,BHARATGEAREQN,96.25,101.5,101.5,5.25,5.45,50,5075,154.2,64.8
NITIRAJ,NITIRAJEQN,218.2,229.95,229.95,11.75,5.38,500,114975,421.6,169.99
ACEINTEG,ACEINTEGEQN,16.95,17.85,17.85,0.9,5.31,10,178,29.94,15.7
MUNJALSHOW,MUNJALSHOWEQN,123.39,129.89,129.89,6.5,5.27,100,12989,157.5,104.2
FILATFASH,FILATFASHEQN,0.19,0.2,0.2,0.01,5.26,490474,98094,0.74,0.18
SUMIT,SUMITEQN,34.98,36.8,36.8,1.82,5.2,5,184,117.0,34.5
LATTEYS,LATTEYSEQN,19.78,20.8,20.8,1.02,5.16,6,124,37.0,17.61
JHS,JHSEQN,8.56,9.0,9.0,0.44,5.14,84,756,16.46,8.15
TARACHAND,TARACHANDEQN,57.08,59.99,59.99,2.91,5.1,727,43612,103.67,53.97
KDL,KDLSTN,126.1,132.4,132.4,6.3,5.0,1650,218460,386.2,109.65
S&SPOWER,S&SPOWERBEN,347.6,364.95,364.95,17.35,4.99,508,185394,468.9,193.5
CURAA,CURAABEN,94.18,98.88,98.88,4.7,4.99,7,692,337.0,24.43
TECHLABS,TECHLABSSMN,223.9,235.0,235.0,11.1,4.96,2375,558125,1029.3,165.3
SECMARK,SECMARKEQN,109.95,115.4,115.4,5.45,4.96,1,115,174.63,75.0
NEUEON,NEUEONBEN,13.76,14.44,14.44,0.68,4.94,43,620,13.76,5.76
AFIL,AFILBEN,7.89,8.28,8.28,0.39,4.94,293521,2430353,10.16,3.92
MALLCOM,MALLCOMEQN,1047.0,1098.0,1098.0,51.0,4.87,5,5490,1520.0,1033.3
VIVIMEDLAB,VIVIMEDLABEQN,6.79,7.12,7.12,0.33,4.86,102,726,29.4,6.72
DGCONTENT,DGCONTENTEQN,24.32,25.5,25.5,1.18,4.85,20,510,59.28,23.52
IMPEXFERRO,IMPEXFERROBZN,1.66,1.74,1.74,0.08,4.82,57,99,2.55,1.55
MAHAPEXLTD,MAHAPEXLTDEQN,107.62,112.8,112.8,5.18,4.81,45,5076,128.09,69.05
VIJIFIN,VIJIFINEQN,2.29,2.4,2.4,0.11,4.8,85856,206054,4.6,1.99
SANGINITA,SANGINITABEN,12.37,12.96,12.96,0.59,4.77,28,362,15.87,8.46
EUROTEXIND,EUROTEXINDBEN,13.27,13.9,13.9,0.63,4.75,1,13,23.58,11.69
BLBLIMITED,BLBLIMITEDBEN,17.28,18.1,18.1,0.82,4.75,452,8181,22.47,12.0
CAPTRUST,CAPTRUSTBEN,12.02,12.59,12.59,0.57,4.74,80,1007,68.34,11.08
JAIPURKURT,JAIPURKURTEQN,29.55,30.95,30.95,1.4,4.74,66,2042,54.59,26.0
