symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
INDOUS,INDOUSEQN,132.58,149.0,149.0,16.42,12.38,7254,1080846,388.4,109.5
GLOBECIVIL,GLOBECIVILEQN,72.17,79.97,79.97,7.8,10.81,44316,3543950,95.0,59.51
SVPGLOB,SVPGLOBEQN,5.7,6.27,6.27,0.57,10.0,38962,244291,7.41,2.37
AMBEY,AMBEYSMN,42.1,46.0,46.0,3.9,9.26,10000,460000,75.0,31.05
CUBEXTUB,CUBEXTUBEQN,90.68,99.0,99.0,8.32,9.18,3908,386892,143.25,67.11
CORDSCABLE,CORDSCABLEEQN,185.8,202.59,202.59,16.79,9.04,6940,1405974,246.45,146.65
BESTAGRO,BESTAGROEQN,362.0,390.95,390.95,28.95,8.0,26029,10176037,661.45,244.15
GTECJAINX,GTECJAINXEQN,22.9,24.7,24.7,1.8,7.86,101,2494,40.0,19.71
PATELENG,PATELENGEQN,33.17,35.5,35.5,2.33,7.02,251465,8927007,59.55,31.55
SHREYANIND,SHREYANINDEQN,183.96,196.0,196.0,12.04,6.54,5,980,267.0,164.11
GANESHHOU,GANESHHOUEQN,803.4,854.0,854.0,50.6,6.3,11011,9403394,1485.0,782.0
ACCPL,ACCPLSMN,80.85,85.9,85.9,5.05,6.25,7200,618480,93.2,53.8
SADBHAV,SADBHAVEQN,11.08,11.75,11.75,0.67,6.05,78672,924396,32.7,9.95
PENINLAND,PENINLANDEQN,28.77,30.4,30.4,1.63,5.67,15010,456304,52.6,20.87
KEEPLEARN,KEEPLEARNEQN,2.43,2.56,2.56,0.13,5.35,586,1500,5.5,2.25
ANIKINDS,ANIKINDSEQN,66.56,69.99,69.99,3.43,5.15,10,699,133.0,60.51
SALASAR,SALASAREQN,10.04,10.55,10.55,0.51,5.08,753109,7945299,16.7,6.91
VISASTEEL,VISASTEELBEN,52.45,55.07,55.07,2.62,5.0,150,8260,73.68,28.2
CUBEINVIT,CUBEINVITIVN,139.0,145.95,145.95,6.95,5.0,25000,3648750,143.25,119.46
MEGASOFT,MEGASOFTBEN,190.14,199.64,199.64,9.5,5.0,13505,2696138,231.0,49.06
TERASOFT,TERASOFTBEN,510.1,535.6,535.6,25.5,5.0,182,97479,598.0,159.55
SICALLOG,SICALLOGBEN,93.0,97.65,97.65,4.65,5.0,15,1464,159.1,79.07
UNIHEALTH,UNIHEALTHSTN,372.0,390.6,390.6,18.6,5.0,1000,390600,372.0,120.0
DHARIWAL,DHARIWALSTN,353.65,371.3,371.3,17.65,4.99,600,222780,353.65,90.5
INFOBEAN,INFOBEANEQN,585.9,615.15,615.15,29.25,4.99,841,517341,727.7,270.55
NILASPACES,NILASPACESBEN,16.44,17.26,17.26,0.82,4.99,48932,844566,20.47,10.21
RELINFRA,RELINFRABEN,157.96,165.85,165.85,7.89,4.99,35088,5819344,423.4,149.16
NAVKARURB,NAVKARURBEQN,1.61,1.69,1.69,0.08,4.97,702,1186,4.28,1.47
IL&FSENGG,IL&FSENGGBZN,26.97,28.31,28.31,1.34,4.97,200,5662,47.0,23.65
SETCO,SETCOEQN,15.89,16.68,16.68,0.79,4.97,4610,76894,21.68,9.91
PREMIER,PREMIERBEN,3.23,3.39,3.39,0.16,4.95,11,37,4.34,2.55
SIDDHICOTS,SIDDHICOTSSMN,32.45,34.05,34.05,1.6,4.93,6000,204300,86.4,29.7
LCCINFOTEC,LCCINFOTECEQN,5.12,5.37,5.37,0.25,4.88,2032,10911,11.65,3.64
CTE,CTEEQN,43.77,45.9,45.9,2.13,4.87,403,18497,116.67,34.11
SHUBHLAXMI,SHUBHLAXMISMN,24.85,26.05,26.05,1.2,4.83,2000,52100,36.55,13.35
VCL,VCLBEN,1.66,1.74,1.74,0.08,4.82,114003,198365,1.66,0.6
BOHRAIND,BOHRAINDEQN,20.04,21.0,21.0,0.96,4.79,10,210,39.29,15.42
ARCIIL,ARCIILSMN,78.65,82.4,82.4,3.75,4.77,1000,82400,145.0,75.3
AIROLAM,AIROLAMEQN,103.0,107.9,107.9,4.9,4.76,1,107,150.0,83.5
GSMFOILS,GSMFOILSSMN,211.05,221.0,221.0,9.95,4.71,2500,552500,255.15,91.67
VLEGOV,VLEGOVEQN,23.74,24.85,24.85,1.11,4.68,3705,92069,197.77,18.21
PARASPETRO,PARASPETROEQN,2.14,2.24,2.24,0.1,4.67,2056,4605,3.44,1.66
GUJRAFFIA,GUJRAFFIABEN,57.67,60.3,60.3,2.63,4.56,1452,87555,105.88,34.87
MAXVOLT,MAXVOLTSTN,437.2,457.0,457.0,19.8,4.53,2400,1096800,483.25,145.05
PLAZACABLE,PLAZACABLEEQN,40.83,42.65,42.65,1.82,4.46,50,2132,90.38,38.75
KAYA,KAYAEQN,410.8,429.0,429.0,18.2,4.43,10,4290,487.9,204.43
BAYERCROP,BAYERCROPEQN,4587.5,4775.0,4775.0,187.5,4.09,1972,9416300,6511.0,4217.45
OWAIS,OWAISSMN,320.1,333.0,333.0,12.9,4.03,3300,1098900,1263.0,282.5
SWARAJ,SWARAJSMN,272.1,283.0,283.0,10.9,4.01,4500,1273500,275.0,138.5
SMARTEN,SMARTENSMN,70.6,73.4,73.4,2.8,3.97,1200,88080,157.95,67.65
PRITI,PRITIEQN,55.3,57.49,57.49,2.19,3.96,22,1264,178.0,54.5
MITCON,MITCONEQN,71.14,73.9,73.9,2.76,3.88,1,73,130.22,60.41
KARMAENG,KARMAENGBEN,53.44,55.5,55.5,2.06,3.85,50,2775,86.93,44.91
MODIRUBBER,MODIRUBBEREQN,110.73,114.99,114.99,4.26,3.85,12,1379,163.7,90.0
GSS,GSSEQN,19.69,20.4,20.4,0.71,3.61,426,8690,81.63,19.5
NEWJAISA,NEWJAISASTN,30.55,31.65,31.65,1.1,3.6,3000,94950,93.4,27.05
IRIS,IRISEQN,323.4,334.95,334.95,11.55,3.57,63,21101,577.0,228.05
RELIABLE,RELIABLEBEN,138.77,143.69,143.69,4.92,3.55,5,718,165.0,63.15
ROML,ROMLEQN,51.72,53.55,53.55,1.83,3.54,5,267,73.8,41.01
LORDSCHLO,LORDSCHLOEQN,178.68,184.9,184.9,6.22,3.48,2,369,241.99,122.6
NURECA,NURECABEN,262.75,271.8,271.8,9.05,3.44,4033,1096169,447.5,203.62
LOVABLE,LOVABLEEQN,82.96,85.8,85.8,2.84,3.42,1,85,146.22,76.05
KRIDHANINF,KRIDHANINFEQN,3.82,3.95,3.95,0.13,3.4,428,1690,8.77,3.03
BROOKS,BROOKSEQN,105.13,108.7,108.7,3.57,3.4,10,1087,198.86,95.25
SAGARDEEP,SAGARDEEPEQN,26.84,27.74,27.74,0.9,3.35,50,1387,36.21,25.0
AHCL,AHCLBEN,163.33,168.8,168.8,5.47,3.35,2513,424194,167.0,90.78
SILGO,SILGOBEN,64.35,66.41,66.41,2.06,3.2,10,664,79.0,26.21
ARSHIYA,ARSHIYABZN,1.26,1.3,1.3,0.04,3.17,2500,3250,4.29,1.19
SWSOLAR,SWSOLAREQN,225.91,233.0,233.0,7.09,3.14,45698,10647634,525.95,218.45
URAVIDEF,URAVIDEFEQN,193.08,199.0,199.0,5.92,3.07,57,11343,584.0,188.34
GULFPETRO,GULFPETROEQN,37.37,38.5,38.5,1.13,3.02,526,20251,68.0,35.56
VILAS,VILASSMN,403.85,415.95,415.95,12.1,3.0,500,207975,673.7,291.0
KIOCL,KIOCLEQN,354.3,364.8,364.8,10.5,2.96,4092,1492761,634.55,209.84
VIKASECO,VIKASECOEQN,1.7,1.75,1.75,0.05,2.94,73612,128821,3.51,1.45
SHANTI,SHANTIEQN,9.23,9.5,9.5,0.27,2.93,42,399,23.87,8.36
GMDCLTD,GMDCLTDEQN,528.1,543.4,543.4,15.3,2.9,128871,70028501,651.0,226.59
EMKAY,EMKAYBEN,302.05,310.8,310.8,8.75,2.9,1,310,409.9,168.0
HTMEDIA,HTMEDIAEQN,24.46,25.15,25.15,0.69,2.82,185,4652,28.64,15.1
ASHOKA,ASHOKAEQN,178.0,183.0,183.0,5.0,2.81,26367,4825161,319.0,159.34
SELMC,SELMCBEN,31.07,31.94,31.94,0.87,2.8,4,127,54.91,25.5
DAVANGERE,DAVANGEREEQN,3.6,3.7,3.7,0.1,2.78,76741,283941,6.36,3.03
EMAMILTD,EMAMILTDEQN,514.05,528.2,528.2,14.15,2.75,11514,6081694,692.95,498.45
HINDCON,HINDCONEQN,29.59,30.4,30.4,0.81,2.74,1050,31920,56.35,28.5
SITINET,SITINETBZN,0.37,0.38,0.38,0.01,2.7,290,110,0.94,0.37
ORCHASP,ORCHASPBEN,2.97,3.05,3.05,0.08,2.69,17,51,4.16,2.11
RUCHINFRA,RUCHINFRAEQN,6.8,6.98,6.98,0.18,2.65,6128,42773,13.9,6.07
DANGEE,DANGEEEQN,3.77,3.87,3.87,0.1,2.65,5,19,9.55,3.5
KOHINOOR,KOHINOOREQN,28.4,29.15,29.15,0.75,2.64,146,4255,55.3,27.56
VIKASLIFE,VIKASLIFEEQN,1.94,1.99,1.99,0.05,2.58,20518,40830,4.74,1.75
PRIMO,PRIMOEQN,24.97,25.6,25.6,0.63,2.52,1172,30003,31.39,21.61
TNTELE,TNTELEEQN,10.36,10.62,10.62,0.26,2.51,50,531,26.0,7.94
JAYBEE,JAYBEESMN,132.05,135.35,135.35,3.3,2.5,500,67675,456.0,128.15
SHEKHAWATI,SHEKHAWATIEQN,19.71,20.2,20.2,0.49,2.49,8,161,37.97,17.31
JYOTISTRUC,JYOTISTRUCEQN,11.25,11.53,11.53,0.28,2.49,183546,2116285,31.79,10.63
SAHASRA,SAHASRASMN,324.9,333.0,333.0,8.1,2.49,1200,399600,763.5,227.5
ACL,ACLBEN,72.6,74.41,74.41,1.81,2.49,1,74,109.99,48.15
RKDL,RKDLEQN,25.07,25.69,25.69,0.62,2.47,30,770,34.58,21.3
PAR,PAREQN,90.56,92.8,92.8,2.24,2.47,21,1948,348.45,81.01
FMNL,FMNLBEN,9.83,10.07,10.07,0.24,2.44,4,40,28.17,8.95
GANGAFORGE,GANGAFORGEEQN,3.3,3.38,3.38,0.08,2.42,1001,3383,7.8,2.98
UTKARSHBNK,UTKARSHBNKEQN,16.53,16.93,16.93,0.4,2.42,159676,2703314,33.68,15.35
VGL,VGLBEN,145.02,148.5,148.5,3.48,2.4,1,148,196.95,72.54
ORCHPHARMA,ORCHPHARMAEQN,871.95,892.9,892.9,20.95,2.4,2030,1812587,1997.4,603.8
UMESLTD,UMESLTDEQN,5.0,5.12,5.12,0.12,2.4,51,261,8.35,4.78
GSLSU,GSLSUEQN,127.93,130.99,130.99,3.06,2.39,164,21482,192.0,84.71
VAKRANGEE,VAKRANGEEEQN,8.06,8.25,8.25,0.19,2.36,31316,258357,38.2,7.88
INFOMEDIA,INFOMEDIAEQN,6.78,6.94,6.94,0.16,2.36,1400,9716,9.89,5.6
USK,USKEQN,23.92,24.48,24.48,0.56,2.34,50,1224,61.2,23.6
IEML,IEMLSMN,100.55,102.9,102.9,2.35,2.34,1000,102900,250.43,85.61
FEL,FELBZN,0.43,0.44,0.44,0.01,2.33,8165,3592,0.79,0.34
INDNIPPON,INDNIPPONEQN,855.1,875.0,875.0,19.9,2.33,107,93625,1099.9,545.3
IL&FSTRANS,IL&FSTRANSBZN,3.02,3.09,3.09,0.07,2.32,5055,15619,7.12,2.73
VAISHALI,VAISHALIEQN,9.08,9.29,9.29,0.21,2.31,98,910,20.41,8.75
VINSYS,VINSYSSMN,439.85,450.0,450.0,10.15,2.31,500,225000,475.0,300.0
C2C,C2CSTN,617.75,632.0,632.0,14.25,2.31,1050,663600,954.0,250.15
KTKBANK,KTKBANKEQN,210.95,215.79,215.79,4.84,2.29,105758,22821518,231.0,162.2
ATL,ATLEQN,27.32,27.94,27.94,0.62,2.27,362,10114,40.17,19.82
PDMJEPAPER,PDMJEPAPEREQN,102.23,104.5,104.5,2.27,2.22,200,20900,232.2,92.35
AKI,AKIEQN,7.68,7.85,7.85,0.17,2.21,33,259,18.79,6.63
RNFI,RNFISMN,358.35,366.25,366.25,7.9,2.2,600,219750,404.0,129.25
ADROITINFO,ADROITINFOEQN,10.18,10.4,10.4,0.22,2.16,7,72,23.28,9.56
SUVEN,SUVENEQN,175.13,178.89,178.89,3.76,2.15,559,99999,299.99,102.5
UMAEXPORTS,UMAEXPORTSEQN,40.14,41.0,41.0,0.86,2.14,10,410,134.86,39.0
UNIPARTS,UNIPARTSEQN,484.7,495.0,495.0,10.3,2.13,2122,1050390,543.95,296.65
MADRASFERT,MADRASFERTEQN,76.86,78.5,78.5,1.64,2.13,895,70257,108.7,66.5
SIGACHI,SIGACHIEQN,34.67,35.4,35.4,0.73,2.11,48027,1700155,59.59,30.51
TIGERLOGS,TIGERLOGSEQN,38.93,39.75,39.75,0.82,2.11,55,2186,56.69,37.77
DIAMINESQ,DIAMINESQEQN,266.4,272.0,272.0,5.6,2.1,1,272,566.1,251.15
CEREBRAINT,CEREBRAINTBZN,7.14,7.29,7.29,0.15,2.1,3708,27031,11.9,3.99
SSDL,SSDLEQN,81.3,83.0,83.0,1.7,2.09,5,415,153.85,80.01
SUMIT,SUMITEQN,76.13,77.7,77.7,1.57,2.06,1,77,155.99,71.0
AGARWALEYE,AGARWALEYEEQN,510.8,521.0,521.0,10.2,2.0,6622,3450062,568.0,327.0
LPDC,LPDCEQN,9.0,9.18,9.18,0.18,2.0,58352,535671,15.3,6.1
HPAL,HPALEQN,46.44,47.37,47.37,0.93,2.0,36,1705,86.5,42.65
BLBLIMITED,BLBLIMITEDEQN,16.57,16.9,16.9,0.33,1.99,30,507,24.95,13.1
NRL,NRLEQN,62.17,63.41,63.41,1.24,1.99,1,63,120.0,52.7
MAHESHWARI,MAHESHWARIEQN,50.84,51.85,51.85,1.01,1.99,5,259,72.95,48.12
CARYSIL,CARYSILEQN,1000.1,1020.0,1020.0,19.9,1.99,2878,2935560,1071.9,482.3
ATLANTAELE,ATLANTAELEEQN,966.05,985.0,985.0,18.95,1.96,1680,1654800,1097.85,782.1
DELPHIFX,DELPHIFXEQN,216.75,221.0,221.0,4.25,1.96,928,205088,251.0,102.02
INDIANHUME,INDIANHUMEEQN,395.65,403.35,403.35,7.7,1.95,541,218212,479.0,281.05
SBGLP,SBGLPEQN,30.99,31.59,31.59,0.6,1.94,1,31,139.9,24.95
PATINTLOG,PATINTLOGEQN,13.99,14.26,14.26,0.27,1.93,14,199,26.49,12.9
RADIOCITY,RADIOCITYEQN,6.77,6.9,6.9,0.13,1.92,700,4830,13.95,6.72
DELTIC,DELTICSMN,46.9,47.8,47.8,0.9,1.92,1000,47800,183.75,43.0
OCCLLTD,OCCLLTDEQN,104.52,106.52,106.52,2.0,1.91,1,106,159.42,63.63
TREEHOUSE,TREEHOUSEEQN,7.9,8.05,8.05,0.15,1.9,152,1223,21.26,6.19
INFLUX,INFLUXSTN,216.95,221.0,221.0,4.05,1.87,600,132600,240.65,120.0
PARSVNATH,PARSVNATHEQN,14.04,14.3,14.3,0.26,1.85,121,1730,27.39,12.31
AESTHETIK,AESTHETIKSMN,108.0,110.0,110.0,2.0,1.85,5000,550000,155.6,60.0
AFFORDABLE,AFFORDABLEEQN,217.95,221.95,221.95,4.0,1.84,255,56597,697.0,208.0
GVKPIL,GVKPILBEN,3.26,3.32,3.32,0.06,1.84,163831,543918,5.22,2.95
MOIL,MOILEQN,327.8,333.75,333.75,5.95,1.82,14946,4988227,405.6,274.05
IFGLEXPOR,IFGLEXPOREQN,215.58,219.5,219.5,3.92,1.82,217,47631,338.0,163.03
EMMVEE,EMMVEEEQN,210.63,214.42,214.42,3.79,1.8,7460,1599573,241.34,207.0
ENERGYDEV,ENERGYDEVEQN,23.96,24.39,24.39,0.43,1.79,671,16365,37.9,16.4
COUNCODOS,COUNCODOSEQN,6.16,6.27,6.27,0.11,1.79,711,4457,11.92,5.31
SUTLEJTEX,SUTLEJTEXEQN,34.04,34.65,34.65,0.61,1.79,1,34,77.85,32.5
KRITINUT,KRITINUTEQN,80.37,81.79,81.79,1.42,1.77,132,10796,155.12,80.11
CPEDU,CPEDUEQN,279.95,284.9,284.9,4.95,1.77,1,284,338.75,217.61
WSI,WSIEQN,78.44,79.8,79.8,1.36,1.73,100,7980,139.6,62.6
LIBERTSHOE,LIBERTSHOEEQN,297.25,302.35,302.35,5.1,1.72,1,302,563.45,276.0
NACLIND,NACLINDEQN,186.7,189.91,189.91,3.21,1.72,5810,1103377,339.45,49.56
INDBANK,INDBANKEQN,36.2,36.82,36.82,0.62,1.71,605,22276,53.0,25.5
SAKSOFT,SAKSOFTEQN,201.48,204.9,204.9,3.42,1.7,3277,671457,253.99,125.03
DISHTV,DISHTVEQN,4.13,4.2,4.2,0.07,1.69,35511,149146,12.49,4.04
CEWATER,CEWATEREQN,415.9,422.9,422.9,7.0,1.68,60,25374,860.0,393.1
GATECH,GATECHEQN,0.6,0.61,0.61,0.01,1.67,22649,13815,1.21,0.44
VIPULLTD,VIPULLTDEQN,8.97,9.12,9.12,0.15,1.67,209,1906,31.58,7.58
SUNDARAM,SUNDARAMEQN,1.81,1.84,1.84,0.03,1.66,1144,2104,2.84,1.52
NIRMAN,NIRMANSMN,54.1,55.0,55.0,0.9,1.66,1200,66000,456.0,51.5
MBEL,MBELEQN,393.95,400.5,400.5,6.55,1.66,1924,770562,535.9,364.0
SYNCOMF,SYNCOMFEQN,15.74,16.0,16.0,0.26,1.65,3361,53776,23.87,14.1
AGROPHOS,AGROPHOSEQN,39.12,39.76,39.76,0.64,1.64,25,994,47.6,27.2
ALANKIT,ALANKITEQN,10.97,11.15,11.15,0.18,1.64,300,3345,25.57,10.51
DCMFINSERV,DCMFINSERVEQN,5.5,5.59,5.59,0.09,1.64,6,33,9.21,4.91
JITFINFRA,JITFINFRABEN,300.1,305.0,305.0,4.9,1.63,3,915,827.0,252.0
VIKRAMSOLR,VIKRAMSOLREQN,269.6,274.0,274.0,4.4,1.63,10022,2746028,407.95,265.0
TINNARUBR,TINNARUBREQN,840.4,854.0,854.0,13.6,1.62,325,277550,1088.85,795.0
RELTD,RELTDEQN,151.56,154.0,154.0,2.44,1.61,113,17402,191.77,93.41
IVC,IVCEQN,8.12,8.25,8.25,0.13,1.6,11198,92383,12.95,7.05
TREJHARA,TREJHARABEN,239.17,243.0,243.0,3.83,1.6,87,21141,294.55,155.6
INVENTURE,INVENTUREEQN,1.26,1.28,1.28,0.02,1.59,5735,7340,2.42,1.26
JKIPL,JKIPLEQN,111.23,113.0,113.0,1.77,1.59,501,56613,126.95,106.01
RBZJEWEL,RBZJEWELEQN,141.17,143.4,143.4,2.23,1.58,60,8604,251.68,125.5
AJAXENGG,AJAXENGGEQN,632.1,642.0,642.0,9.9,1.57,927,595134,756.2,549.1
BOROSCI,BOROSCIEQN,125.53,127.5,127.5,1.97,1.57,25,3187,190.79,107.42
SMSPHARMA,SMSPHARMAEQN,322.3,327.35,327.35,5.05,1.57,40008,13096618,328.9,176.05
NOVAAGRI,NOVAAGRIEQN,43.72,44.4,44.4,0.68,1.56,59,2619,75.5,40.4
VENUSREM,VENUSREMEQN,697.5,708.4,708.4,10.9,1.56,289,204727,728.95,270.25
