symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
ASTEC-RE,ASTEC-REBEN,3.55,4.95,4.95,1.4,39.44,2,9,0.0,0.0
GVPTECH-RE,GVPTECH-REBEN,0.86,0.97,0.97,0.11,12.79,2041,1979,0.0,0.0
VISAMAN,VISAMANSMN,67.95,76.0,76.0,8.05,11.85,9000,684000,67.95,34.0
FORGEAUTO,FORGEAUTOSMN,145.05,159.55,159.55,14.5,10.0,20400,3254820,145.05,60.0
SBICARD,SBICARDEQN,913.45,1004.75,1004.75,91.3,10.0,28347,28481648,1027.25,659.8
SOMATEX,SOMATEXEQN,64.66,71.12,71.12,6.46,9.99,18109,1287912,65.8,32.21
GUJAPOLLO,GUJAPOLLOEQN,374.8,405.0,405.0,30.2,8.06,4212,1705860,442.4,246.55
VIRINCHI,VIRINCHIEQN,28.77,30.7,30.7,1.93,6.71,34969,1073548,38.0,19.46
UNIVASTU,UNIVASTUEQN,290.67,310.0,310.0,19.33,6.65,13072,4052320,345.35,164.0
MAXPOSURE,MAXPOSURESMN,67.0,71.3,71.3,4.3,6.42,4000,285200,139.0,49.6
SUVIDHAA,SUVIDHAAEQN,4.02,4.26,4.26,0.24,5.97,25944,110521,0.0,0.0
SARVESHWAR,SARVESHWAREQN,8.62,9.12,9.12,0.5,5.8,121860,1111363,12.28,5.62
SONACOMS,SONACOMSEQN,447.15,470.0,470.0,22.85,5.11,120113,56453110,768.65,380.0
TGBHOTELS,TGBHOTELSEQN,11.9,12.5,12.5,0.6,5.04,120,1500,18.24,9.05
DHARIWAL,DHARIWALSTN,150.15,157.65,157.65,7.5,5.0,4800,756720,170.0,90.5
SHKSIL,SHKSILSTN,80.0,84.0,84.0,4.0,5.0,6000,504000,80.0,60.15
S&SPOWER,S&SPOWERBEN,431.05,452.6,452.6,21.55,5.0,1148,519584,493.75,224.45
WAAREEINDO,WAAREEINDOBEN,243.84,256.03,256.03,12.19,5.0,57,14593,243.84,165.07
SUMEETINDS,SUMEETINDSBEN,133.91,140.6,140.6,6.69,5.0,17552,2467811,133.91,2.47
SWANDEF,SWANDEFBEN,277.79,291.67,291.67,13.88,5.0,18,5250,277.79,37.8
PALREDTEC,PALREDTECBEN,52.94,55.58,55.58,2.64,4.99,210,11671,142.5,39.62
