symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
VHLTD-RE1,VHLTD-RE1BEN,0.49,0.68,0.68,0.19,38.78,1466,996,0.49,0.15
ESDS,ESDSEQN,908.4,1090.05,1090.05,181.65,20.0,425774,464114948,0.0,0.0
UDAYJEW,UDAYJEWEQN,143.0,168.4,168.4,25.4,17.76,1480,249232,151.0,115.04
SOTL,SOTLEQN,740.75,824.05,824.05,83.3,11.25,18092,14908712,814.8,285.8
TBZ,TBZEQN,480.85,528.9,528.9,48.05,9.99,59835,31646731,480.85,110.5
AKI,AKIEQN,7.22,7.94,7.94,0.72,9.97,391386,3107604,10.48,3.8
PENTAGON,PENTAGONSMN,82.3,90.4,90.4,8.1,9.84,4000,361600,99.5,49.15
REGENCERAM,REGENCERAMEQN,34.86,37.99,37.99,3.13,8.98,20,759,54.99,30.0
NKIND,NKINDEQN,57.1,61.99,61.99,4.89,8.56,263,16303,87.78,49.66
BODALCHEM,BODALCHEMEQN,155.62,168.0,168.0,12.38,7.96,252947,42495096,159.99,42.81
DHARAN,DHARANBZN,0.13,0.14,0.14,0.01,7.69,346564,48518,0.61,0.11
BONLON,BONLONEQN,40.13,43.0,43.0,2.87,7.15,2,86,57.0,34.51
KEEPLEARN,KEEPLEARNEQN,1.87,2.0,2.0,0.13,6.95,246,492,3.21,1.51
ALKALI,ALKALIEQN,65.55,69.99,69.99,4.44,6.77,50,3499,107.38,46.8
RTSPOWR,RTSPOWREQN,88.08,93.95,93.95,5.87,6.66,5,469,114.0,82.9
URBAN,URBANSMN,117.6,124.9,124.9,7.3,6.21,4800,599520,193.2,114.0
SRIKPRIND,SRIKPRINDEQN,33.38,35.43,35.43,2.05,6.14,562,19911,36.8,19.4
ODYCORP,ODYCORPEQN,7.46,7.89,7.89,0.43,5.76,78,615,8.48,5.71
AARADHYA,AARADHYASMN,110.8,117.1,117.1,6.3,5.69,1200,140520,182.0,64.2
SARVESHWAR,SARVESHWAREQN,3.36,3.55,3.55,0.19,5.65,107588,381937,8.25,2.5
FILATFASH,FILATFASHEQN,0.18,0.19,0.19,0.01,5.56,218911,41593,0.68,0.14
ANSALBU,ANSALBUEQN,80.68,84.9,84.9,4.22,5.23,25,2122,92.4,70.64
INVICTA,INVICTASMN,68.0,71.5,71.5,3.5,5.15,1600,114400,105.0,58.1
SUPREMEPWR,SUPREMEPWRSMN,222.6,234.0,234.0,11.4,5.12,8000,1872000,291.35,130.55
SRGHFL,SRGHFLEQN,245.45,258.0,258.0,12.55,5.11,3,774,335.0,224.4
RHETAN,RHETANEQN,25.42,26.69,26.69,1.27,5.0,562658,15017342,34.87,19.1
BI,BIBEN,95.85,100.64,100.64,4.79,5.0,1464,147336,111.51,51.62
MBECL,MBECLBEN,258.89,271.83,271.83,12.94,5.0,218,59258,258.89,213.0
CONSOFINVT,CONSOFINVTBEN,288.3,302.7,302.7,14.4,4.99,22476,6803485,320.0,152.0
MVKAGRO,MVKAGROSMN,236.35,248.15,248.15,11.8,4.99,300,74445,819.0,152.05
INDIAGLYCO,INDIAGLYCOBEN,260.4,273.4,273.4,13.0,4.99,309,84480,1222.0,217.0
TAKE,TAKEEQN,13.82,14.51,14.51,0.69,4.99,25791,374227,50.14,10.09
BHAGERIA,BHAGERIABEN,304.65,319.85,319.85,15.2,4.99,29723,9506901,304.65,127.51
STLTECH,STLTECHBEN,748.9,786.3,786.3,37.4,4.99,25898,20363597,757.7,84.6
AKSHOPTFBR,AKSHOPTFBRBEN,7.43,7.8,7.8,0.37,4.98,35485,276783,9.0,3.82
GSLSU,GSLSUEQN,28.37,29.78,29.78,1.41,4.97,1988,59202,139.67,23.06
OPTIVALUE,OPTIVALUESTN,174.05,182.7,182.7,8.65,4.97,1600,292320,202.0,56.05
NECCLTD,NECCLTDBEN,18.51,19.43,19.43,0.92,4.97,15779,306585,24.01,10.55
POLYSIL,POLYSILSMN,70.4,73.9,73.9,3.5,4.97,2000,147800,356.75,47.25
BURNPUR,BURNPUREQN,21.56,22.63,22.63,1.07,4.96,2827,63975,21.56,11.13
VTMLTD,VTMLTDEQN,56.12,58.9,58.9,2.78,4.95,1000,58900,61.9,44.5
SONUINFRA,SONUINFRASTN,44.45,46.65,46.65,2.2,4.95,1500,69975,110.5,33.3
PRAXIS,PRAXISEQN,4.65,4.88,4.88,0.23,4.95,4996,24380,14.44,4.32
SHIVAAGRO,SHIVAAGROEQN,41.39,43.44,43.44,2.05,4.95,235,10208,45.9,37.0
MPEL,MPELSTN,27.35,28.7,28.7,1.35,4.94,1600,45920,93.84,20.18
ZSARACOM,ZSARACOMEQN,11302.0,11859.0,11859.0,557.0,4.93,1,11859,14400.0,9000.0
BIOPOL,BIOPOLSMN,45.75,48.0,48.0,2.25,4.92,1200,57600,133.75,39.5
CLASSICEIL,CLASSICEILSMN,54.95,57.65,57.65,2.7,4.91,6400,368960,113.9,34.75
BIRLACABLE,BIRLACABLEEQN,376.55,395.0,395.0,18.45,4.9,39362,15547990,376.55,104.0
CURAA,CURAAEQN,72.46,76.0,76.0,3.54,4.89,43,3268,292.6,60.0
GEECEE,GEECEEBEN,366.2,382.0,382.0,17.8,4.89,1,382,393.9,215.85
MINALIND,MINALINDBEN,5.35,5.61,5.61,0.26,4.86,30301,169988,5.35,1.71
KSHITIJPOL,KSHITIJPOLEQN,3.3,3.46,3.46,0.16,4.85,90270,312334,7.2,1.88
FMNL,FMNLEQN,10.1,10.59,10.59,0.49,4.85,1184,12538,13.94,6.74
GVPTECH,GVPTECHBEN,8.05,8.44,8.44,0.39,4.84,4059,34257,11.19,5.22
MUKTAARTS,MUKTAARTSBEN,58.9,61.75,61.75,2.85,4.84,10,617,72.89,37.01
BLUEPEBBLE,BLUEPEBBLESMN,84.0,88.0,88.0,4.0,4.76,400,35200,195.0,59.2
BGLOBAL,BGLOBALBZN,3.16,3.31,3.31,0.15,4.75,3,9,4.6,2.62
MAL,MALSMN,38.2,40.0,40.0,1.8,4.71,1600,64000,61.3,28.95
VALIANTLAB,VALIANTLABBEN,105.97,110.9,110.9,4.93,4.65,56287,6242228,110.7,49.51
PRLIND,PRLINDSMN,38.05,39.8,39.8,1.75,4.6,12000,477600,93.0,37.6
GLOBALE,GLOBALEEQN,11.39,11.9,11.9,0.51,4.48,3,35,15.4,9.2
SOFTTECH,SOFTTECHEQN,423.15,441.95,441.95,18.8,4.44,2,883,489.9,215.0
SILKFLEX,SILKFLEXSMN,288.3,301.0,301.0,12.7,4.41,4000,1204000,288.3,76.0
JKIPL,JKIPLEQN,100.56,104.98,104.98,4.42,4.4,38,3989,126.95,45.4
QUICKHEAL,QUICKHEALEQN,140.94,147.1,147.1,6.16,4.37,11474,1687825,371.4,125.0
MGEL,MGELEQN,14.24,14.86,14.86,0.62,4.35,1234,18337,18.4,9.53
EMPOWER,EMPOWEREQN,1.84,1.92,1.92,0.08,4.35,389953,748709,2.82,1.3
SLONE,SLONESTN,187.0,195.1,195.1,8.1,4.33,400,78040,371.45,110.0
KAVDEFENCE,KAVDEFENCEEQN,67.14,70.05,70.05,2.91,4.33,47295,3313014,162.87,51.51
QPOWER,QPOWEREQN,1495.3,1559.8,1559.8,64.5,4.31,27987,43654122,1502.7,581.0
