symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
MITTAL,MITTALEQN,0.85,0.99,0.99,0.14,16.47,176715,174947,1.98,0.71
INSPIRE,INSPIRESMN,9.65,11.0,11.0,1.35,13.99,2000,22000,28.25,9.0
VINEETLAB,VINEETLABEQN,29.01,32.0,32.0,2.99,10.31,5000,160000,42.01,22.28
VICTORYEV,VICTORYEVSMN,14.3,15.75,15.75,1.45,10.14,3000,47250,34.45,13.75
CYBERMEDIA,CYBERMEDIAEQN,13.1,14.35,14.35,1.25,9.54,2,28,22.81,11.0
ENSER,ENSERSMN,11.6,12.65,12.65,1.05,9.05,10000,126500,23.25,10.4
DELTIC,DELTICSMN,36.0,39.0,39.0,3.0,8.33,1000,39000,83.95,34.0
DPEL,DPELSMN,359.35,387.0,387.0,27.65,7.69,2500,967500,359.35,121.0
LASA,LASAEQN,7.3,7.8,7.8,0.5,6.85,508,3962,23.33,7.06
ICDSLTD,ICDSLTDEQN,47.14,50.2,50.2,3.06,6.49,25,1255,68.49,36.4
DCMSIL,DCMSILEQN,84.24,89.0,89.0,4.76,5.65,42543,3786327,84.24,49.5
PAVNAIND,PAVNAINDEQN,18.02,19.0,19.0,0.98,5.44,3041,57779,46.96,15.33
SILGO,SILGOEQN,73.99,78.0,78.0,4.01,5.42,1011,78858,85.0,33.11
CTE,CTEEQN,24.42,25.7,25.7,1.28,5.24,29,745,59.93,22.88
EUROTEXIND,EUROTEXINDEQN,12.5,13.12,13.12,0.62,4.96,1,13,23.58,11.77
VIJIFIN,VIJIFINEQN,3.03,3.18,3.18,0.15,4.95,15196,48323,4.6,1.99
BONLON,BONLONBEN,37.99,39.85,39.85,1.86,4.9,1,39,48.98,36.55
SIDDHICOTS,SIDDHICOTSSTN,28.05,29.4,29.4,1.35,4.81,1200,35280,86.4,26.7
BMETRICS,BMETRICSSMN,40.9,42.85,42.85,1.95,4.77,800,34280,56.9,34.1
HBSL,HBSLEQN,48.97,51.3,51.3,2.33,4.76,2,102,137.0,46.75
COOLCAPS,COOLCAPSSMN,23.4,24.5,24.5,1.1,4.7,6250,153125,99.5,22.3
GUJRAFFIA,GUJRAFFIAEQN,36.48,38.19,38.19,1.71,4.69,289,11036,88.0,35.1
SUPREMEENG,SUPREMEENGBZN,1.07,1.12,1.12,0.05,4.67,50,56,2.48,0.68
ORIENTLTD,ORIENTLTDEQN,59.68,62.4,62.4,2.72,4.56,1,62,110.4,58.26
DELTAMAGNT,DELTAMAGNTEQN,55.0,57.5,57.5,2.5,4.55,1,57,115.99,51.2
GOLDENTOBC,GOLDENTOBCBZN,27.51,28.75,28.75,1.24,4.51,365,10493,39.99,26.08
JPPOWER,JPPOWEREQN,13.98,14.6,14.6,0.62,4.43,1931896,28205681,27.7,12.52
HEXT,HEXTEQN,407.0,425.0,425.0,18.0,4.42,14766,6275550,900.0,400.2
CANARYS,CANARYSSMN,20.4,21.3,21.3,0.9,4.41,4000,85200,36.9,20.25
EQUIPPP,EQUIPPPBEN,18.16,18.96,18.96,0.8,4.41,255,4834,23.97,15.11
KEEPLEARN,KEEPLEARNEQN,1.85,1.93,1.93,0.08,4.32,1110,2142,4.74,1.71
BAFNAPH,BAFNAPHEQN,109.31,113.99,113.99,4.68,4.28,32,3647,202.06,70.61
ENERGYDEV,ENERGYDEVEQN,14.63,15.25,15.25,0.62,4.24,110,1677,29.85,14.41
DEVIT,DEVITEQN,28.73,29.9,29.9,1.17,4.07,1727,51637,50.89,22.25
AIRAN,AIRANEQN,15.28,15.89,15.89,0.61,3.99,54,858,32.65,12.66
AKG,AKGEQN,10.8,11.23,11.23,0.43,3.98,1,11,16.82,10.34
NOIDATOLL,NOIDATOLLEQN,3.52,3.66,3.66,0.14,3.98,141,516,5.63,2.57
PIGL,PIGLEQN,95.3,98.99,98.99,3.69,3.87,100,9899,195.45,93.0
MAGNUM,MAGNUMEQN,18.8,19.5,19.5,0.7,3.72,52,1014,32.38,18.16
AURIGROW,AURIGROWBEN,0.27,0.28,0.28,0.01,3.7,27393,7670,1.0,0.2
EXXARO,EXXAROEQN,6.61,6.85,6.85,0.24,3.63,1525,10446,10.95,5.45
RKEC,RKECEQN,35.31,36.57,36.57,1.26,3.57,4,146,89.99,35.12
PALASHSECU,PALASHSECUEQN,85.38,88.4,88.4,3.02,3.54,98,8663,142.0,82.4
ANIKINDS,ANIKINDSEQN,39.15,40.5,40.5,1.35,3.45,1,40,133.0,38.0
VERTOZ,VERTOZEQN,34.8,36.0,36.0,1.2,3.45,883,31788,112.0,34.5
GFLLIMITED,GFLLIMITEDEQN,43.36,44.8,44.8,1.44,3.32,1,44,81.0,41.25
VITAL,VITALEQN,39.45,40.75,40.75,1.3,3.3,1,40,75.7,37.35
RUCHINFRA,RUCHINFRAEQN,4.87,5.03,5.03,0.16,3.29,184,925,10.89,4.67
ORIENTALTL,ORIENTALTLEQN,5.23,5.4,5.4,0.17,3.25,22,118,17.6,5.15
BAGFILMS,BAGFILMSEQN,4.34,4.48,4.48,0.14,3.23,200,896,8.0,4.25
GSS,GSSEQN,11.13,11.49,11.49,0.36,3.23,1,11,52.69,10.96
NEPHROCARE,NEPHROCARESMN,66.8,68.95,68.95,2.15,3.22,400,27580,183.0,64.9
IMPEXFERRO,IMPEXFERROBZN,1.56,1.61,1.61,0.05,3.21,131,210,2.42,1.54
SILVERTUC,SILVERTUCEQN,106.6,110.0,110.0,3.4,3.19,528,58080,169.02,61.0
ALLCARGO,ALLCARGOEQN,7.84,8.09,8.09,0.25,3.19,55951,452643,38.34,7.39
VGL,VGLEQN,59.12,61.0,61.0,1.88,3.18,28,1708,98.48,57.0
HAVISHA,HAVISHAEQN,1.26,1.3,1.3,0.04,3.17,577,750,3.05,1.1
XTGLOBAL,XTGLOBALEQN,30.26,31.21,31.21,0.95,3.14,98,3058,46.25,25.2
KKJEWELS,KKJEWELSSMN,95.0,97.95,97.95,2.95,3.11,1000,97950,166.75,72.1
FISCHER,FISCHEREQN,34.86,35.94,35.94,1.08,3.1,17070,613495,124.7,32.91
RNFI,RNFISMN,247.25,254.9,254.9,7.65,3.09,600,152940,404.0,205.0
SIGMA,SIGMAEQN,39.77,40.99,40.99,1.22,3.07,364,14920,65.5,21.01
SITINET,SITINETBZN,0.33,0.34,0.34,0.01,3.03,3455,1174,0.58,0.31
APCL,APCLEQN,112.59,116.0,116.0,3.41,3.03,85,9860,155.0,96.2
BYKE,BYKEEQN,33.01,34.0,34.0,0.99,3.0,3417,116178,100.8,32.2
RAJSREESUG,RAJSREESUGEQN,26.9,27.7,27.7,0.8,2.97,1,27,52.98,24.7
SIKKO,SIKKOEQN,4.56,4.69,4.69,0.13,2.85,788,3695,6.83,3.2
NATHBIOGEN,NATHBIOGENEQN,140.41,144.4,144.4,3.99,2.84,200,28880,238.69,136.0
GVPTECH,GVPTECHEQN,5.74,5.9,5.9,0.16,2.79,2,11,12.0,5.27
SELMC,SELMCEQN,29.07,29.88,29.88,0.81,2.79,2,59,48.77,26.0
SOMANYCERA,SOMANYCERAEQN,362.95,373.0,373.0,10.05,2.77,406,151438,624.0,332.0
NEXTMEDIA,NEXTMEDIAEQN,5.06,5.2,5.2,0.14,2.77,5,26,8.48,4.66
CROWN,CROWNEQN,118.73,122.0,122.0,3.27,2.75,1,122,221.8,108.45
CLEANMAX,CLEANMAXEQN,890.7,914.9,914.9,24.2,2.72,11226,10270667,960.0,768.0
AEPL,AEPLEQN,17.62,18.1,18.1,0.48,2.72,28,506,19.0,16.96
DELPHIFX,DELPHIFXEQN,10.31,10.59,10.59,0.28,2.72,51,540,18.25,6.8
SHIVAMAUTO,SHIVAMAUTOEQN,15.48,15.9,15.9,0.42,2.71,300,4770,35.79,15.0
TARACHAND,TARACHANDEQN,57.27,58.8,58.8,1.53,2.67,451,26518,103.67,53.97
SUTLEJTEX,SUTLEJTEXEQN,29.22,30.0,30.0,0.78,2.67,4,120,51.7,26.2
BLAL,BLALEQN,167.55,172.0,172.0,4.45,2.66,9,1548,235.0,162.21
VALIANTORG,VALIANTORGEQN,197.64,202.9,202.9,5.26,2.66,4000,811600,507.8,195.0
NDL,NDLEQN,2.26,2.32,2.32,0.06,2.65,29167,67667,4.42,2.19
COMPUSOFT,COMPUSOFTEQN,13.74,14.1,14.1,0.36,2.62,441,6218,24.32,12.0
GTECJAINX,GTECJAINXEQN,19.21,19.7,19.7,0.49,2.55,9,177,37.0,17.4
SHREERAMA,SHREERAMAEQN,45.93,47.1,47.1,1.17,2.55,1,47,71.99,31.05
LOKESHMACH,LOKESHMACHEQN,199.8,204.9,204.9,5.1,2.55,1280,262272,255.87,127.93
RVHL,RVHLEQN,36.18,37.1,37.1,0.92,2.54,10,371,71.36,35.76
BTML,BTMLEQN,6.73,6.9,6.9,0.17,2.53,143,986,10.5,6.57
DSFCL,DSFCLEQN,22.91,23.49,23.49,0.58,2.53,20,469,52.5,21.34
URBANCO,URBANCOEQN,110.11,112.9,112.9,2.79,2.53,180287,20354402,201.18,100.7
ADL,ADLEQN,68.38,70.1,70.1,1.72,2.52,1,70,121.77,62.3
FEL,FELBZN,0.4,0.41,0.41,0.01,2.5,1468,601,0.68,0.34
DCI,DCIEQN,257.2,263.6,263.6,6.4,2.49,4,1054,339.0,201.35
ALKALI,ALKALIEQN,56.69,58.1,58.1,1.41,2.49,1,58,117.79,55.8
ATLASCYCLE,ATLASCYCLEEQN,83.42,85.5,85.5,2.08,2.49,25,2137,164.37,76.1
BIRLAMONEY,BIRLAMONEYEQN,115.33,118.19,118.19,2.86,2.48,10,1181,208.71,113.3
GEECEE,GEECEEEQN,251.95,258.2,258.2,6.25,2.48,4,1032,448.0,250.5
DPWIRES,DPWIRESEQN,138.57,142.0,142.0,3.43,2.48,12,1704,306.95,135.0
CEIGALL,CEIGALLEQN,279.0,285.9,285.9,6.9,2.47,8812,2519350,307.9,222.61
UMIYA-MRO,UMIYA-MROEQN,79.06,81.0,81.0,1.94,2.45,50,4050,110.9,56.81
SHRENIK,SHRENIKBZN,0.41,0.42,0.42,0.01,2.44,1000,420,0.77,0.37
NARMADA,NARMADAEQN,33.18,33.98,33.98,0.8,2.41,1487,50528,35.99,14.82
KOHINOOR,KOHINOOREQN,22.44,22.98,22.98,0.54,2.41,500,11490,45.0,22.12
AKI,AKIEQN,4.58,4.69,4.69,0.11,2.4,1899,8906,16.05,4.24
URAVIDEF,URAVIDEFEQN,128.91,132.0,132.0,3.09,2.4,107,14124,584.0,123.0
DUCON,DUCONEQN,2.93,3.0,3.0,0.07,2.39,7051,21153,7.18,2.67
SAMPANN,SAMPANNEQN,29.3,30.0,30.0,0.7,2.39,38,1140,43.44,24.16
SHEKHAWATI,SHEKHAWATIEQN,11.82,12.1,12.1,0.28,2.37,7,84,26.84,11.36
ZODIAC,ZODIACEQN,235.49,241.0,241.0,5.51,2.34,12,2892,560.0,214.75
SVPGLOB,SVPGLOBBEN,2.58,2.64,2.64,0.06,2.33,101,266,6.89,2.37
