symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
IEML-RE,IEML-RESTN,15.7,21.95,21.95,6.25,39.81,5750,126212,34.0,10.0
IEML,IEMLSMN,100.8,120.95,120.95,20.15,19.99,35500,4293725,269.43,85.61
PASUPTAC,PASUPTACEQN,51.62,58.9,58.9,7.28,14.1,62548,3684077,59.71,38.55
VMARCIND,VMARCINDSMN,624.45,687.95,687.95,63.5,10.17,14000,9631300,630.0,200.3
INSPIRISYS,INSPIRISYSEQN,98.75,108.01,108.01,9.26,9.38,6270,677222,127.5,66.55
NIRAJ,NIRAJEQN,28.8,31.23,31.23,2.43,8.44,3605,112584,72.37,27.2
HBLENGINE,HBLENGINEEQN,979.2,1060.0,1060.0,80.8,8.25,260399,276022940,1033.65,405.0
RADAAN,RADAANEQN,3.19,3.45,3.45,0.26,8.15,96,331,7.42,3.06
KRITINUT,KRITINUTEQN,88.02,94.8,94.8,6.78,7.7,7155,678294,155.12,85.15
LAL,LALEQN,9.87,10.59,10.59,0.72,7.29,182,1927,28.45,8.37
HBSL,HBSLEQN,98.82,106.02,106.02,7.2,7.29,16887,1790359,141.0,70.0
NIRAJISPAT,NIRAJISPATEQN,228.39,245.0,245.0,16.61,7.27,1,245,612.5,216.0
ROML,ROMLEQN,51.42,54.99,54.99,3.57,6.94,6836,375911,73.8,41.01
RETAIL,RETAILEQN,30.89,33.0,33.0,2.11,6.83,1,33,49.08,30.75
NEULANDLAB,NEULANDLABEQN,17837.0,19000.0,19000.0,1163.0,6.52,6827,129713000,18100.0,10190.7
RENUKA,RENUKAEQN,27.83,29.6,29.6,1.77,6.36,156043,4618872,44.4,24.71
SYSTANGO,SYSTANGOSMN,272.85,289.0,289.0,16.15,5.92,6800,1965200,301.3,192.25
LUMAXTECH,LUMAXTECHEQN,1200.2,1269.9,1269.9,69.7,5.81,8016,10179518,1337.9,449.0
SWARAJ,SWARAJSMN,213.9,226.1,226.1,12.2,5.7,3500,791350,283.0,138.5
SSEGL,SSEGLSMN,548.7,580.0,580.0,31.3,5.7,7400,4292000,578.0,362.0
UGROCAP,UGROCAPEQN,176.94,186.99,186.99,10.05,5.68,4164,778626,254.7,142.4
KRSNAA,KRSNAAEQN,724.3,763.95,763.95,39.65,5.47,2017,1540887,1044.0,625.75
SMSPHARMA,SMSPHARMAEQN,289.25,305.0,305.0,15.75,5.45,18510,5645550,315.0,176.05
ZUARI,ZUARIEQN,251.15,263.7,263.7,12.55,5.0,34326,9051766,393.55,169.2
BAFNAPH,BAFNAPHBEN,174.56,183.28,183.28,8.72,5.0,1306,239363,176.33,69.0
SWANDEF,SWANDEFBEN,895.05,939.8,939.8,44.75,5.0,6,5638,895.05,37.8
CURAA,CURAABEN,194.54,204.26,204.26,9.72,5.0,100,20426,337.0,24.43
SHRIAHIMSA,SHRIAHIMSASTN,266.8,280.1,280.1,13.3,4.99,6000,1680600,266.8,126.5
ESFL,ESFLSMN,222.85,233.95,233.95,11.1,4.98,2160,505332,744.85,198.5
WEWIN,WEWINBEN,52.1,54.69,54.69,2.59,4.97,4,218,98.9,37.7
VIJIFIN,VIJIFINBEN,3.02,3.17,3.17,0.15,4.97,258,817,4.6,1.99
FORCEMOT,FORCEMOTEQN,18194.0,19096.0,19096.0,902.0,4.96,4989,95269944,21990.0,6125.0
SICALLOG,SICALLOGBEN,99.9,104.83,104.83,4.93,4.93,25,2620,159.1,79.07
GAYAHWS,GAYAHWSBEN,4.26,4.47,4.47,0.21,4.93,36873,164822,4.76,0.74
URAVIDEF,URAVIDEFEQN,218.84,229.5,229.5,10.66,4.87,55,12622,584.0,212.65
HEADSUP,HEADSUPEQN,10.26,10.76,10.76,0.5,4.87,981,10555,14.48,8.66
WINDMACHIN,WINDMACHINEQN,289.9,304.0,304.0,14.1,4.86,1702,517408,440.8,211.35
PALASHSECU,PALASHSECUEQN,115.43,121.0,121.0,5.57,4.83,1,121,196.45,107.21
GFSTEELS,GFSTEELSBEN,10.21,10.7,10.7,0.49,4.8,3505,37503,10.21,6.9
EFCIL,EFCILEQN,283.55,297.0,297.0,13.45,4.74,10320,3065040,357.0,268.55
SANCO,SANCOBZN,1.69,1.77,1.77,0.08,4.73,300,531,5.08,1.67
LGHL,LGHLEQN,259.75,272.0,272.0,12.25,4.72,249,67728,399.58,119.75
DCI,DCIEQN,261.8,274.0,274.0,12.2,4.66,36,9864,449.9,201.35
CALSOFT,CALSOFTEQN,16.34,17.1,17.1,0.76,4.65,1311,22418,21.42,9.38
RAJSREESUG,RAJSREESUGEQN,37.93,39.66,39.66,1.73,4.56,140,5552,67.99,35.6
SUNLITE,SUNLITESMN,262.1,273.95,273.95,11.85,4.52,600,164370,265.8,91.0
IRIS,IRISEQN,369.65,385.85,385.85,16.2,4.38,754,290930,577.0,228.05
OMKARCHEM,OMKARCHEMBZN,5.26,5.49,5.49,0.23,4.37,1369,7515,11.12,4.96
DHAMPURSUG,DHAMPURSUGEQN,132.34,138.0,138.0,5.66,4.28,6804,938952,201.8,110.0
MADHUCON,MADHUCONEQN,7.06,7.36,7.36,0.3,4.25,15,110,12.03,5.64
SGL,SGLEQN,14.49,15.1,15.1,0.61,4.21,7,105,20.89,10.04
DJML,DJMLEQN,82.53,86.0,86.0,3.47,4.2,5,430,209.7,79.7
BIL,BILEQN,849.5,885.0,885.0,35.5,4.18,1,885,984.75,444.0
RAMASTEEL,RAMASTEELEQN,10.54,10.98,10.98,0.44,4.17,287162,3153038,14.9,8.5
VHLTD,VHLTDBEN,123.3,128.4,128.4,5.1,4.14,2,256,136.0,93.05
TIJARIA,TIJARIAEQN,6.12,6.37,6.37,0.25,4.08,1621,10325,14.2,4.88
QUINTEGRA,QUINTEGRABEN,1.72,1.79,1.79,0.07,4.07,10,17,2.54,1.37
KODYTECH,KODYTECHSMN,667.25,694.0,694.0,26.75,4.01,300,208200,2070.0,556.05
MVKAGRO,MVKAGROSTN,576.95,600.0,600.0,23.05,4.0,300,180000,580.0,32.05
KAYA,KAYABEN,422.6,439.0,439.0,16.4,3.88,100,43900,487.9,204.43
RPPL,RPPLEQN,18.92,19.65,19.65,0.73,3.86,19,373,43.45,18.15
SUPREMEINF,SUPREMEINFBZN,92.92,96.5,96.5,3.58,3.85,400,38600,161.55,81.02
DHARAN,DHARANBZN,0.52,0.54,0.54,0.02,3.85,386531,208726,2.56,0.34
PRICOLLTD,PRICOLLTDEQN,566.4,587.95,587.95,21.55,3.8,22870,13446416,598.8,367.85
SBC,SBCEQN,24.61,25.54,25.54,0.93,3.78,237991,6078290,25.41,10.95
JEYYAM,JEYYAMSTN,69.4,72.0,72.0,2.6,3.75,4000,288000,74.5,31.0
CUPID,CUPIDEQN,260.38,270.0,270.0,9.62,3.69,49672,13411440,261.98,55.75
CRAFTSMAN,CRAFTSMANEQN,6770.5,7019.5,7019.5,249.0,3.68,956,6710642,7254.5,3700.0
NOIDATOLL,NOIDATOLLEQN,4.38,4.54,4.54,0.16,3.65,1356,6156,23.97,2.57
BOHRAIND,BOHRAINDEQN,20.07,20.8,20.8,0.73,3.64,100,2080,39.29,15.11
SOUTHWEST,SOUTHWESTEQN,173.64,179.94,179.94,6.3,3.63,6201,1115807,184.9,99.06
DHARIWAL,DHARIWALSMN,300.15,311.0,311.0,10.85,3.61,1800,559800,303.0,90.5
KHANDSE,KHANDSEEQN,22.49,23.3,23.3,0.81,3.6,1,23,32.5,19.23
CPPLUS,CPPLUSEQN,1534.9,1589.9,1589.9,55.0,3.58,4405,7003509,1544.2,1015.0
SHEKHAWATI,SHEKHAWATIEQN,20.17,20.89,20.89,0.72,3.57,1,20,44.63,19.9
TOTAL,TOTALEQN,66.15,68.5,68.5,2.35,3.55,335,22947,93.5,61.99
FLEXITUFF,FLEXITUFFEQN,18.34,18.99,18.99,0.65,3.54,10,189,74.19,17.34
ELECTHERM,ELECTHERMEQN,984.35,1019.0,1019.0,34.65,3.52,15,15285,1455.0,673.35
BAJAJHIND,BAJAJHINDEQN,21.13,21.87,21.87,0.74,3.5,97213,2126048,35.63,16.5
TGL,TGLSMN,41.55,43.0,43.0,1.45,3.49,200,8600,660.0,38.5
GTL,GTLEQN,8.94,9.25,9.25,0.31,3.47,6277,58062,14.95,7.59
TNTELE,TNTELEEQN,11.59,11.99,11.99,0.4,3.45,8,95,26.0,7.94
KAPSTON,KAPSTONEQN,299.7,310.0,310.0,10.3,3.44,2413,748030,319.0,190.0
KERNEX,KERNEXEQN,1276.9,1320.0,1320.0,43.1,3.38,2951,3895320,1580.0,621.55
HONDAPOWER,HONDAPOWEREQN,2515.1,2599.8,2599.8,84.7,3.37,132,343173,3793.65,1815.0
SUPERSPIN,SUPERSPINEQN,9.31,9.62,9.62,0.31,3.33,7,67,16.67,8.36
MOL,MOLEQN,74.57,77.0,77.0,2.43,3.26,19441,1496957,107.5,56.11
UGARSUGAR,UGARSUGAREQN,41.33,42.67,42.67,1.34,3.24,6287,268266,82.8,38.91
AVG,AVGEQN,213.14,220.0,220.0,6.86,3.22,23,5060,475.05,198.0
BBTCL,BBTCLEQN,191.85,198.0,198.0,6.15,3.21,3,594,228.0,120.6
FOCUS,FOCUSEQN,81.39,84.0,84.0,2.61,3.21,1,84,144.0,63.78
DANGEE,DANGEEEQN,4.1,4.23,4.23,0.13,3.17,1261,5334,9.55,4.01
SUMEETINDS,SUMEETINDSBEN,35.86,36.98,36.98,1.12,3.12,21967,812339,40.5,10.66
BLUECOAST,BLUECOASTBEN,49.46,51.0,51.0,1.54,3.11,40,2040,86.31,9.52
MAGADSUGAR,MAGADSUGAREQN,528.55,545.0,545.0,16.45,3.11,78,42510,821.0,440.05
FINPIPE,FINPIPEEQN,185.26,191.0,191.0,5.74,3.1,19629,3749139,307.5,153.92
BEDMUTHA,BEDMUTHAEQN,125.13,129.0,129.0,3.87,3.09,4,516,237.17,124.0
AVADHSUGAR,AVADHSUGAREQN,410.3,422.95,422.95,12.65,3.08,1552,656418,644.4,354.4
AARTIDRUGS,AARTIDRUGSEQN,491.45,506.5,506.5,15.05,3.06,9110,4614215,564.05,312.0
SANDUMA,SANDUMAEQN,204.74,211.0,211.0,6.26,3.06,39839,8406029,237.88,112.4
CCCL,CCCLBEN,20.25,20.87,20.87,0.62,3.06,609,12709,28.87,10.84
JSWCEMENT,JSWCEMENTEQN,127.67,131.5,131.5,3.83,3.0,57304,7535476,162.15,125.07
APEX,APEXEQN,233.52,240.49,240.49,6.97,2.98,5538,1331833,281.7,186.55
DAMODARIND,DAMODARINDEQN,33.11,34.09,34.09,0.98,2.96,1,34,47.15,28.0
NGLFINE,NGLFINEEQN,1485.5,1529.0,1529.0,43.5,2.93,53,81037,2140.0,957.0
NYKAA,NYKAAEQN,245.87,253.02,253.02,7.15,2.91,137733,34849203,268.25,154.9
GANGAFORGE,GANGAFORGEEQN,3.47,3.57,3.57,0.1,2.88,870,3105,8.5,2.98
INNOVANA,INNOVANAEQN,481.85,495.5,495.5,13.65,2.83,212,105046,649.5,270.5
COUNCODOS,COUNCODOSEQN,6.07,6.24,6.24,0.17,2.8,196,1223,11.92,5.31
WEALTH,WEALTHEQN,1064.3,1094.0,1094.0,29.7,2.79,14,15316,1720.0,801.2
HPL,HPLEQN,421.1,432.85,432.85,11.75,2.79,2683,1161336,639.9,339.0
VGL,VGLBEN,148.87,152.99,152.99,4.12,2.77,2562,391960,196.95,57.25
