symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
GTECJAINX,GTECJAINXEQN,24.02,27.03,27.03,3.01,12.53,4629,125121,33.47,15.54
SHRIKRISH,SHRIKRISHEQN,40.55,44.5,44.5,3.95,9.74,2,89,56.0,35.0
ORIENTLTD,ORIENTLTDEQN,61.48,66.8,66.8,5.32,8.65,1,66,110.4,53.72
INFOMEDIA,INFOMEDIAEQN,5.37,5.81,5.81,0.44,8.19,1209,7024,9.89,4.5
COCKERILL,COCKERILLEQN,7593.5,8200.0,8200.0,606.5,7.99,3106,25469200,8085.5,4955.0
DHARAN,DHARANBZN,0.15,0.16,0.16,0.01,6.67,2380306,380848,0.67,0.11
HALDER,HALDEREQN,228.79,244.0,244.0,15.21,6.65,101,24644,294.0,210.0
MANUGRAPH,MANUGRAPHEQN,14.38,15.3,15.3,0.92,6.4,11,168,25.3,9.65
INCREDIBLE,INCREDIBLEEQN,34.78,37.0,37.0,2.22,6.38,1,37,52.87,28.1
TUNWAL,TUNWALSMN,29.55,31.4,31.4,1.85,6.26,14000,439600,49.8,27.05
PIONRINV,PIONRINVEQN,106.38,112.98,112.98,6.6,6.2,1,112,135.44,92.35
MUKTAARTS,MUKTAARTSEQN,64.06,67.8,67.8,3.74,5.84,4,271,91.7,37.01
RULKA,RULKASMN,91.7,96.9,96.9,5.2,5.67,300,29070,156.6,72.95
UHTL,UHTLSMN,90.05,95.0,95.0,4.95,5.5,6000,570000,98.0,44.0
CONCORDBIO,CONCORDBIOEQN,1166.2,1230.0,1230.0,63.8,5.47,29053,35735190,2150.4,987.0
IWP,IWPEQN,34.44,36.24,36.24,1.8,5.23,25,906,39.15,28.0
IMPEXFERRO,IMPEXFERROBZN,2.0,2.1,2.1,0.1,5.0,153,321,2.42,1.3
MASKINVEST,MASKINVESTBEN,150.49,158.01,158.01,7.52,5.0,1,158,246.09,114.94
VENUSREM,VENUSREMEQN,1411.3,1481.8,1481.8,70.5,5.0,11636,17242224,1411.3,415.4
PRIZOR,PRIZORSTN,726.2,762.5,762.5,36.3,5.0,3200,2440000,739.0,177.0
RELINFRA,RELINFRABEN,70.64,74.17,74.17,3.53,5.0,18713,1387943,423.4,64.08
BAFNAPH,BAFNAPHEQN,145.41,152.68,152.68,7.27,5.0,400,61072,202.06,72.01
IZMO,IZMOEQN,827.8,869.15,869.15,41.35,5.0,6981,6067536,1374.7,295.0
HITECHCORP,HITECHCORPBEN,279.7,293.68,293.68,13.98,5.0,2444,717753,279.7,112.0
KRN,KRNBEN,1104.6,1159.8,1159.8,55.2,5.0,9664,11208307,1405.0,589.8
SUPREMEPWR,SUPREMEPWRSTN,246.25,258.55,258.55,12.3,4.99,28000,7239400,291.35,130.55
MODISONLTD,MODISONLTDBEN,313.7,329.35,329.35,15.65,4.99,12590,4146516,313.7,114.0
UTLSOLAR,UTLSOLAREQN,319.8,335.75,335.75,15.95,4.99,9647,3238980,335.0,172.0
AHLWEST,AHLWESTBEN,579.85,608.8,608.8,28.95,4.99,161,98016,751.4,137.0
MCON,MCONSMN,43.2,45.35,45.35,2.15,4.98,1000,45350,122.45,37.3
PRAMARA,PRAMARASMN,129.8,136.25,136.25,6.45,4.97,15500,2111875,374.8,117.65
USASEEDS,USASEEDSSMN,99.75,104.7,104.7,4.95,4.96,428,44811,220.08,90.0
GENSOL,GENSOLBZN,20.79,21.82,21.82,1.03,4.95,1234,26925,59.27,18.16
ONELIFECAP,ONELIFECAPBEN,27.53,28.89,28.89,1.36,4.94,11900,343791,30.25,10.15
VLINFRA,VLINFRASTN,30.35,31.85,31.85,1.5,4.94,1500,47775,47.5,18.0
SABEVENTS,SABEVENTSBEN,8.74,9.17,9.17,0.43,4.92,1801,16515,18.25,5.3
UNIVCABLES,UNIVCABLESEQN,1239.2,1299.9,1299.9,60.7,4.9,7106,9237089,1280.8,576.0
IEML,IEMLSMN,41.85,43.9,43.9,2.05,4.9,6000,263400,173.57,37.9
VIJAYPD,VIJAYPDSTN,89.9,94.3,94.3,4.4,4.89,2000,188600,114.5,35.0
DYNAMIC,DYNAMICSMN,154.45,161.95,161.95,7.5,4.86,1000,161950,181.05,84.7
ORTINGLOBE,ORTINGLOBEEQN,15.74,16.5,16.5,0.76,4.83,1000,16500,19.9,10.32
