symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
KJMCFIN,KJMCFINEQN,66.42,79.7,79.7,13.28,19.99,721,57463,66.42,51.01
BPLPHARMA,BPLPHARMAEQN,1294.7,1528.9,1528.9,234.2,18.09,10,15289,1619.0,1125.7
MINALIND,MINALINDEQN,2.65,3.09,3.09,0.44,16.6,4043,12492,2.65,1.71
MPDL,MPDLEQN,34.32,39.99,39.99,5.67,16.52,505,20194,34.32,23.26
VIRTUALG,VIRTUALGEQN,0.51,0.59,0.59,0.08,15.69,17013,10037,0.51,0.4
SAMBANDAM,SAMBANDAMEQN,126.0,143.0,143.0,17.0,13.49,2154,308022,126.0,97.7
ARTNIRMAN,ARTNIRMANEQN,41.49,45.95,45.95,4.46,10.75,50,2297,66.97,29.39
KEEPLEARN,KEEPLEARNEQN,1.81,1.99,1.99,0.18,9.94,5,9,3.21,1.51
KHANDSE,KHANDSEEQN,16.63,18.2,18.2,1.57,9.44,100,1820,26.88,12.2
PHOENXINTL,PHOENXINTLEQN,30.53,33.4,33.4,2.87,9.4,1,33,35.0,29.05
CRSL,CRSLEQN,3.09,3.37,3.37,0.28,9.06,490280,1652243,3.09,1.72
WELCORP,WELCORPEQN,2005.2,2175.0,2175.0,169.8,8.47,81373,176986275,2017.5,710.0
VISHAL,VISHALEQN,18.49,19.99,19.99,1.5,8.11,100,1999,19.45,17.85
DHARAN,DHARANBZN,0.15,0.16,0.16,0.01,6.67,134555,21528,0.61,0.11
SELMC,SELMCEQN,28.0,29.79,29.79,1.79,6.39,5,148,43.36,26.0
TIJARIA,TIJARIAEQN,5.79,6.14,6.14,0.35,6.04,2,12,8.13,3.55
NKIND,NKINDEQN,56.6,60.0,60.0,3.4,6.01,200,12000,87.78,54.54
PACIFICI,PACIFICIEQN,150.98,160.0,160.0,9.02,5.97,137,21920,159.0,111.15
LKPSEC,LKPSECEQN,17.2,18.2,18.2,1.0,5.81,8,145,18.43,15.2
SUPTANERY,SUPTANERYEQN,7.31,7.73,7.73,0.42,5.75,10373,80183,8.59,6.81
FILATFASH,FILATFASHEQN,0.18,0.19,0.19,0.01,5.56,167748,31872,0.68,0.14
ETL,ETLSMN,1015.0,1069.95,1069.95,54.95,5.41,300,320985,1090.0,721.1
SANWARIA,SANWARIABZN,0.19,0.2,0.2,0.01,5.26,53974,10794,0.39,0.18
KAMANWALA,KAMANWALAEQN,16.68,17.55,17.55,0.87,5.22,100,1755,19.51,13.55
AGIIL,AGIILEQN,293.7,309.0,309.0,15.3,5.21,40315,12457335,434.4,224.7
MERCURYEV,MERCURYEVEQN,39.47,41.5,41.5,2.03,5.14,5001,207541,41.39,30.16
MYSORPETRO,MYSORPETROEQN,165.49,174.0,174.0,8.51,5.14,4503,783522,165.49,111.0
AMAGI,AMAGIEQN,576.45,606.0,606.0,29.55,5.13,39991,24234546,727.4,310.2
SHRADHA,SHRADHAEQN,33.38,34.44,34.44,1.66,5.06,1,34,58.95,26.34
LAL,LALEQN,8.52,8.95,8.95,0.43,5.05,8,71,12.77,5.56
URAVIDEF,URAVIDEFBEN,108.2,113.61,113.61,5.41,5.0,20,2272,509.0,101.0
EBIX,EBIXEQN,18.8,19.74,19.74,0.94,5.0,550,10857,18.8,16.03
TRANSWORLD,TRANSWORLDBEN,173.21,181.87,181.87,8.66,5.0,329,59835,287.58,111.56
BHADORA,BHADORASTN,118.05,123.95,123.95,5.9,5.0,20400,2528580,128.85,49.5
SOMATEX,SOMATEXEQN,87.37,91.73,91.73,4.36,4.99,3,275,161.25,62.15
ASSAMENT,ASSAMENTEQN,800.0,839.95,839.95,39.95,4.99,1,839,850.0,800.0
CTE,CTEEQN,47.18,49.53,49.53,2.35,4.98,8362,414169,59.93,20.51
SHIVAMAUTO,SHIVAMAUTOBEN,16.08,16.88,16.88,0.8,4.98,1004,16947,35.79,13.05
MANUGRAPH,MANUGRAPHBEN,15.7,16.48,16.48,0.78,4.97,1,16,24.0,9.65
