symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
SONAMLTD,SONAMLTDEQN,55.1,62.25,62.25,7.15,12.98,10,622,63.0,37.4
MOHITIND,MOHITINDEQN,22.53,25.0,25.0,2.47,10.96,4,100,40.19,18.6
SMLMAH,SMLMAHEQN,4566.0,5024.0,5024.0,458.0,10.03,53753,270055072,5348.0,2719.0
AVONMORE,AVONMOREEQN,10.98,11.99,11.99,1.01,9.2,86997,1043094,23.9,9.05
AKG,AKGEQN,10.0,10.89,10.89,0.89,8.9,1,10,15.34,9.01
GAYAHWS,GAYAHWSEQN,2.0,2.16,2.16,0.16,8.0,1174,2535,4.76,1.51
RCDL,RCDLSMN,27.5,29.65,29.65,2.15,7.82,12000,355800,30.85,16.5
COUNCODOS,COUNCODOSEQN,6.2,6.65,6.65,0.45,7.26,2,13,8.89,3.71
REDINGTON,REDINGTONEQN,287.45,307.95,307.95,20.5,7.13,210795,64914320,314.4,191.31
BALKRISIND,BALKRISINDEQN,2081.7,2220.9,2220.9,139.2,6.69,16783,37273364,2775.0,1970.0
SIGMA,SIGMAEQN,45.04,48.0,48.0,2.96,6.57,37021,1777008,65.5,35.46
SAGARDEEP,SAGARDEEPEQN,23.93,25.44,25.44,1.51,6.31,1,25,31.48,20.81
RADIOCITY,RADIOCITYEQN,6.94,7.35,7.35,0.41,5.91,1778,13068,9.25,4.5
MKPL,MKPLEQN,4.2,4.44,4.44,0.24,5.71,130,577,8.85,3.56
FILATFASH,FILATFASHBEN,0.18,0.19,0.19,0.01,5.56,244004,46360,0.68,0.14
GALLANTT,GALLANTTEQN,603.3,633.45,633.45,30.15,5.0,9160,5802402,948.0,496.25
SANWARIA,SANWARIABZN,0.2,0.21,0.21,0.01,5.0,250200,52542,0.39,0.19
SADBHIN,SADBHINBEN,2.4,2.52,2.52,0.12,5.0,24800,62496,5.02,2.06
KILITCH,KILITCHBEN,186.2,195.5,195.5,9.3,4.99,5666,1107703,227.23,117.25
