symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
BHAGERIA,BHAGERIAEQN,180.52,205.0,205.0,24.48,13.56,88162,18073210,244.6,127.51
ORTINGLOBE,ORTINGLOBEEQN,16.47,18.11,18.11,1.64,9.96,10600,191966,19.9,10.59
GTECJAINX,GTECJAINXEQN,31.7,34.6,34.6,2.9,9.15,8280,286488,33.47,15.54
BAFNAPH,BAFNAPHEQN,160.31,172.89,172.89,12.58,7.85,2085,360475,202.06,72.01
MADHUCON,MADHUCONEQN,5.07,5.45,5.45,0.38,7.5,5000,27250,9.46,3.61
RELIABLE,RELIABLEEQN,137.78,148.0,148.0,10.22,7.42,50,7400,175.0,71.21
VINYAS,VINYASSMN,1132.15,1200.0,1200.0,67.85,5.99,1700,2040000,1440.0,785.05
LEXUS,LEXUSEQN,16.7,17.55,17.55,0.85,5.09,10,175,39.25,16.37
IL&FSENGG,IL&FSENGGBZN,27.6,28.98,28.98,1.38,5.0,2560,74188,39.5,21.0
PRAMARA,PRAMARASMN,143.05,150.2,150.2,7.15,5.0,16500,2478300,374.8,117.65
RELINFRA,RELINFRABEN,77.87,81.76,81.76,3.89,5.0,369248,30189716,423.4,64.08
SICALLOG,SICALLOGBEN,68.8,72.24,72.24,3.44,5.0,170,12280,103.33,60.11
HITECHCORP,HITECHCORPBEN,308.36,323.77,323.77,15.41,5.0,40318,13053758,308.36,112.0
PURPLEUTED,PURPLEUTEDSMN,377.0,395.85,395.85,18.85,5.0,1000,395850,587.95,244.45
IDEAFORGE,IDEAFORGEBEN,900.0,945.0,945.0,45.0,5.0,59578,56301210,900.0,366.0
IEML,IEMLSMN,46.05,48.35,48.35,2.3,4.99,14000,676900,173.57,37.9
E2E,E2EEQN,4313.6,452.9,452.9,21.5,4.98,6793,3076549,453.8,183.36
PRAXIS,PRAXISBEN,6.67,7.0,7.0,0.33,4.95,1,7,14.55,5.26
KRN,KRNBEN,1217.7,1278.0,1278.0,60.3,4.95,17222,22009716,1405.0,589.8
MCON,MCONSMN,47.6,49.95,49.95,2.35,4.94,1000,49950,122.45,37.3
CEREBRAINT,CEREBRAINTBZN,3.44,3.61,3.61,0.17,4.94,31,111,10.08,2.98
ROLLT,ROLLTBEN,2.25,2.36,2.36,0.11,4.89,4006,9454,2.42,1.02
ALLETEC,ALLETECSTN,143.9,150.9,150.9,7.0,4.86,1600,241440,423.9,115.8
UMESLTD,UMESLTDBEN,5.57,5.84,5.84,0.27,4.85,1011,5904,7.14,3.88
HIRECT,HIRECTEQN,1137.8,1192.7,1192.7,54.9,4.83,7627,9096722,1212.1,565.2
AGSTRA,AGSTRABZN,2.7,2.83,2.83,0.13,4.81,6038,17087,6.39,2.13
KSHITIJPOL,KSHITIJPOLBEN,5.69,5.96,5.96,0.27,4.75,225390,1343324,5.7,1.88
MODISONLTD,MODISONLTDBEN,345.45,361.6,361.6,16.15,4.68,26087,9433059,345.45,114.0
MAWANASUG,MAWANASUGBEN,97.45,102.0,102.0,4.55,4.67,3000,306000,123.75,75.08
VERTOZ,VERTOZBEN,40.86,42.65,42.65,1.89,4.64,514,21922,112.0,27.02
QMSMEDI,QMSMEDISMN,87.8,91.85,91.85,4.05,4.61,1000,91850,110.5,68.95
SHANTI,SHANTIEQN,6.41,6.7,6.7,0.29,4.52,219,1467,22.92,4.7
DHRUV,DHRUVBEN,27.56,28.8,28.8,1.24,4.5,10,288,75.0,22.22
PRECOT,PRECOTEQN,765.65,800.0,800.0,34.35,4.49,36,28800,861.25,300.05
IZMO,IZMOEQN,879.4,918.9,918.9,39.5,4.49,12219,11228039,1374.7,295.0
SIKKO,SIKKOEQN,4.05,4.23,4.23,0.18,4.44,7417,31373,6.83,3.2
CAPTRUST,CAPTRUSTBEN,13.3,13.89,13.89,0.59,4.44,148,2055,63.87,10.98
BCG,BCGEQN,11.59,12.1,12.1,0.51,4.4,723919,8759419,22.0,7.97
SANWARIA,SANWARIABZN,0.23,0.24,0.24,0.01,4.35,484,116,0.41,0.19
