symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
ANTGRAPHIC,ANTGRAPHICEQN,0.78,0.84,0.84,0.06,7.69,25256,21215,1.4,0.64
BTTL,BTTLEQN,42.79,45.5,45.5,2.71,6.33,8214,373737,42.79,30.0
DHARAN,DHARANBZN,0.16,0.17,0.17,0.01,6.25,51870,8817,0.61,0.11
AIROLAM,AIROLAMEQN,102.58,108.0,108.0,5.42,5.28,6286,678888,126.59,78.0
FILATFASH,FILATFASHBEN,0.19,0.2,0.2,0.01,5.26,341236,68247,0.74,0.14
NARMADA,NARMADAEQN,39.48,41.5,41.5,2.02,5.12,30397,1261475,45.17,16.06
ORTEL,ORTELBZN,1.6,1.68,1.68,0.08,5.0,2178,3659,2.34,1.15
FAZE3Q,FAZE3QEQN,619.1,650.05,650.05,30.95,5.0,1248,811262,747.95,322.1
SHRENIK,SHRENIKBZN,0.4,0.42,0.42,0.02,5.0,13552,5691,0.65,0.36
VIJIFIN,VIJIFINBEN,5.2,5.46,5.46,0.26,5.0,16909,92323,5.2,2.0
MRIL,MRILSTN,68.0,71.4,71.4,3.4,5.0,3200,228480,82.0,29.05
BANKA,BANKABEN,91.83,96.42,96.42,4.59,5.0,2,192,97.88,41.0
STLTECH,STLTECHBEN,584.15,613.35,613.35,29.2,5.0,114886,70465328,679.9,84.6
BAFNAPH,BAFNAPHBEN,185.41,194.68,194.68,9.27,5.0,1117,217457,213.36,73.01
PATINTLOG,PATINTLOGBEN,15.2,15.96,15.96,0.76,5.0,66817,1066399,18.51,8.01
ACSTECH,ACSTECHEQN,42.7,44.83,44.83,2.13,4.99,2411,108085,42.7,31.71
PATILAUTOM,PATILAUTOMSTN,199.5,209.45,209.45,9.95,4.99,2400,502680,268.9,112.05
HEXAGON,HEXAGONBEN,54.76,57.49,57.49,2.73,4.99,46322,2663051,55.44,48.1
SIGMAADV,SIGMAADVBEN,607.75,638.1,638.1,30.35,4.99,11740,7491294,607.75,81.61
KOTYARK,KOTYARKBEN,43.3,45.45,45.45,2.15,4.97,26211,1191289,43.3,17.38
ACCORD,ACCORDSTN,126.95,133.25,133.25,6.3,4.96,4000,533000,126.95,19.85
DELPHIFX,DELPHIFXEQN,8.26,8.67,8.67,0.41,4.96,10050,87133,18.25,7.29
