symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
INSPIRE,INSPIRESMN,10.05,11.9,11.9,1.85,18.41,2000,23800,29.4,9.5
SILGO-RE1,SILGO-RE1BEN,3.89,4.53,4.53,0.64,16.45,600,2718,6.69,3.0
ANANTAM,ANANTAMIVN,103.99,117.0,117.0,13.01,12.51,100,11700,113.0,100.2
TECILCHEM,TECILCHEMEQN,16.58,18.2,18.2,1.62,9.77,257,4677,42.16,14.66
MICROPRO,MICROPROSMN,19.25,20.4,20.4,1.15,5.97,1600,32640,32.0,17.85
VALIANTLAB,VALIANTLABEQN,59.51,63.0,63.0,3.49,5.86,1,63,115.19,59.3
CREDITACC,CREDITACCEQN,1242.6,1309.0,1309.0,66.4,5.34,9894,12951246,1490.1,750.2
MAGNUM,MAGNUMEQN,20.51,21.6,21.6,1.09,5.31,24,518,39.99,19.75
TBZ,TBZEQN,168.41,177.2,177.2,8.79,5.22,203983,36145787,232.65,155.0
MANGALAM,MANGALAMBEN,51.81,54.4,54.4,2.59,5.0,115752,6296908,116.02,22.8
MCL,MCLBEN,88.77,93.2,93.2,4.43,4.99,114848,10703833,88.77,39.6
SILLYMONKS,SILLYMONKSBEN,21.99,23.08,23.08,1.09,4.96,1,23,28.45,13.45
ABAN,ABANBEN,22.27,23.37,23.37,1.1,4.94,11796,275672,61.8,18.06
MUNJALSHOW,MUNJALSHOWEQN,117.23,123.0,123.0,5.77,4.92,5,615,164.0,104.2
PARIN,PARINSMN,631.5,662.0,662.0,30.5,4.83,250,165500,631.5,311.65
ODIGMA,ODIGMAEQN,27.66,28.99,28.99,1.33,4.81,140,4058,67.0,27.2
SEYAIND,SEYAINDBEN,16.8,17.6,17.6,0.8,4.76,20,352,26.66,12.63
ORCHASP,ORCHASPEQN,2.59,2.71,2.71,0.12,4.63,2000,5420,4.16,2.11
CREATIVEYE,CREATIVEYEEQN,6.98,7.3,7.3,0.32,4.58,3,21,12.19,5.27
SICALLOG,SICALLOGBEN,92.81,96.97,96.97,4.16,4.48,50,4848,135.45,79.07
AARTISURF,AARTISURFEQN,459.1,479.0,479.0,19.9,4.33,13997,6704563,653.1,358.3
SANWARIA,SANWARIABZN,0.24,0.25,0.25,0.01,4.17,5543,1385,0.49,0.24
AERON,AERONSMN,96.0,99.95,99.95,3.95,4.11,2000,199900,170.95,89.05
MHLXMIRU,MHLXMIRUEQN,197.01,205.0,205.0,7.99,4.06,1,205,270.68,192.02
URAVIDEF,URAVIDEFEQN,191.22,198.9,198.9,7.68,4.02,10,1989,584.0,152.82
MITTAL,MITTALEQN,1.01,1.05,1.05,0.04,3.96,36236,38047,2.5,1.0
AMBICAAGAR,AMBICAAGAREQN,24.77,25.73,25.73,0.96,3.88,19,488,36.95,23.77
JITFINFRA,JITFINFRAEQN,250.3,259.8,259.8,9.5,3.8,50,12990,655.0,246.1
PRAXIS,PRAXISEQN,7.95,8.25,8.25,0.3,3.77,10202,84166,18.96,7.88
VHLTD,VHLTDBEN,134.19,139.13,139.13,4.94,3.68,1,139,155.36,93.05
SHAH,SHAHEQN,5.24,5.43,5.43,0.19,3.63,37414,203158,5.55,2.8
URBAN,URBANSMN,138.1,143.0,143.0,4.9,3.55,800,114400,304.98,136.05
DAMODARIND,DAMODARINDEQN,26.74,27.69,27.69,0.95,3.55,10,276,41.63,26.5
JINDALPHOT,JINDALPHOTEQN,1308.9,1355.0,1355.0,46.1,3.52,356,482380,1616.6,536.0
RATNAVEER,RATNAVEEREQN,143.05,147.93,147.93,4.88,3.41,2919,431807,190.0,115.99
PATELRMART,PATELRMARTEQN,207.22,214.2,214.2,6.98,3.37,31788,6808989,305.0,169.91
SRPL,SRPLBZN,0.6,0.62,0.62,0.02,3.33,6036,3742,1.36,0.46
KREBSBIO,KREBSBIOEQN,61.96,64.0,64.0,2.04,3.29,10,640,113.5,58.8
ASTEC,ASTECEQN,618.4,638.7,638.7,20.3,3.28,2769,1768560,1039.65,607.05
RBA,RBAEQN,63.68,65.74,65.74,2.06,3.23,591508,38885735,89.5,59.4
DBSTOCKBRO,DBSTOCKBROEQN,24.79,25.58,25.58,0.79,3.19,2,51,45.5,23.92
NIRMAN,NIRMANSMN,49.6,51.15,51.15,1.55,3.13,1200,61380,402.95,49.5
ICEMAKE,ICEMAKEEQN,732.25,755.0,755.0,22.75,3.11,1000,755000,1088.75,575.15
FACT,FACTEQN,793.1,817.0,817.0,23.9,3.01,2373,1938741,1112.0,565.0
KSR,KSRBEN,24.08,24.8,24.8,0.72,2.99,707,17533,34.95,14.04
WILLAMAGOR,WILLAMAGOREQN,28.16,29.0,29.0,0.84,2.98,2,58,41.0,25.31
SANGINITA,SANGINITAEQN,11.44,11.77,11.77,0.33,2.88,202,2377,14.68,8.46
VLEGOV,VLEGOVEQN,16.05,16.5,16.5,0.45,2.8,935,15427,170.88,15.85
SANATHAN,SANATHANEQN,412.3,423.8,423.8,11.5,2.79,4,1695,560.2,286.95
VINEETLAB,VINEETLABEQN,33.66,34.59,34.59,0.93,2.76,1007,34832,48.64,22.28
INDIAMART,INDIAMARTEQN,2141.8,2200.0,2200.0,58.2,2.72,3533,7772600,2799.0,1900.1
BIOFILCHEM,BIOFILCHEMEQN,31.85,32.7,32.7,0.85,2.67,187,6114,58.95,30.35
SPECTRUM,SPECTRUMEQN,1090.9,1120.0,1120.0,29.1,2.67,1,1120,2379.0,1050.0
NITIRAJ,NITIRAJEQN,188.98,194.0,194.0,5.02,2.66,10,1940,421.6,171.0
ADVAIT,ADVAITEQN,1391.8,1428.2,1428.2,36.4,2.62,144,205660,1538.9,1366.8
KESORAMIND,KESORAMINDBEN,11.49,11.79,11.79,0.3,2.61,189245,2231198,225.2,2.84
MODTHREAD,MODTHREADEQN,41.41,42.48,42.48,1.07,2.58,20,849,62.0,31.35
MALLCOM,MALLCOMEQN,1075.5,1102.0,1102.0,26.5,2.46,62,68324,1520.0,1041.0
MYMUDRA,MYMUDRASMN,78.05,79.95,79.95,1.9,2.43,1200,95940,119.1,51.6
XTGLOBAL,XTGLOBALEQN,28.61,29.3,29.3,0.69,2.41,100,2930,46.25,28.5
SVPGLOB,SVPGLOBBEN,3.36,3.44,3.44,0.08,2.38,290,997,6.89,2.37
INDBANK,INDBANKEQN,34.88,35.7,35.7,0.82,2.35,11010,393057,47.15,25.5
THANGAMAYL,THANGAMAYLEQN,3712.3,3798.0,3798.0,85.7,2.31,841,3194118,4149.0,1523.1
GLOBE,GLOBEEQN,2.61,2.67,2.67,0.06,2.3,831,2218,4.44,2.02
GATECHDVR,GATECHDVREQN,0.44,0.45,0.45,0.01,2.27,3150,1417,1.16,0.42
KSOLVES,KSOLVESEQN,288.3,294.8,294.8,6.5,2.25,1026,302464,536.35,271.65
OMAXE,OMAXEEQN,70.42,72.0,72.0,1.58,2.24,4663,335736,113.4,62.5
PUNJABCHEM,PUNJABCHEMEQN,1020.3,1043.0,1043.0,22.7,2.22,10,10430,1666.0,662.0
IFBAGRO,IFBAGROEQN,1443.0,1474.0,1474.0,31.0,2.15,120,176880,1790.0,440.0
VGL,VGLEQN,131.22,134.0,134.0,2.78,2.12,12,1608,196.95,114.0
ARIHANTCAP,ARIHANTCAPEQN,79.33,81.0,81.0,1.67,2.11,10111,818991,120.0,58.15
FIBERWEB,FIBERWEBEQN,32.33,32.98,32.98,0.65,2.01,30,989,59.26,32.0
YUKEN,YUKENEQN,774.3,789.8,789.8,15.5,2.0,1,789,1204.4,712.7
21STCENMGM,21STCENMGMEQN,42.04,42.88,42.88,0.84,2.0,1,42,88.45,36.03
CAPTRUST,CAPTRUSTEQN,14.99,15.29,15.29,0.3,2.0,5138,78560,76.01,11.08
HALDER,HALDERBEN,282.31,287.96,287.96,5.65,2.0,12,3455,285.98,272.0
UMAEXPORTS,UMAEXPORTSEQN,33.05,33.7,33.7,0.65,1.97,41500,1398550,119.79,32.55
SENORES,SENORESEQN,784.55,799.9,799.9,15.35,1.96,2036,1628596,876.5,440.3
SSEGL,SSEGLSMN,371.7,379.0,379.0,7.3,1.96,200,75800,580.0,362.0
DIFFNKG,DIFFNKGEQN,269.75,275.0,275.0,5.25,1.95,1,275,418.2,231.85
NEWGEN,NEWGENEQN,628.45,640.65,640.65,12.2,1.94,14142,9060072,1696.7,617.55
SADHNANIQ,SADHNANIQEQN,6.17,6.29,6.29,0.12,1.94,609,3830,40.93,5.59
ATALREAL,ATALREALEQN,26.88,27.4,27.4,0.52,1.93,1003,27482,27.8,11.15
PRITI,PRITIEQN,50.91,51.88,51.88,0.97,1.91,40,2075,135.85,50.4
EMAMIPAP,EMAMIPAPEQN,80.01,81.5,81.5,1.49,1.86,3,244,122.0,78.15
RHETAN,RHETANEQN,26.52,27.0,27.0,0.48,1.81,4534,122418,27.5,20.32
ANKITMETAL,ANKITMETALBZN,1.74,1.77,1.77,0.03,1.72,100,177,3.95,1.55
SUNDROP,SUNDROPEQN,618.45,629.0,629.0,10.55,1.71,43,27047,960.15,615.0
MARC,MARCSMN,52.55,53.45,53.45,0.9,1.71,1200,64140,74.4,40.75
MOKSH,MOKSHEQN,14.24,14.48,14.48,0.24,1.69,60,868,18.75,11.56
STCINDIA,STCINDIAEQN,118.0,120.0,120.0,2.0,1.69,1,120,168.45,104.11
BHARATCOAL,BHARATCOALEQN,40.71,41.4,41.4,0.69,1.69,870300,36030420,45.09,40.12
NIRAJ,NIRAJEQN,33.84,34.4,34.4,0.56,1.65,50,1720,69.88,27.2
KRITIKA,KRITIKAEQN,6.7,6.81,6.81,0.11,1.64,5624,38299,11.34,6.55
BODALCHEM,BODALCHEMEQN,47.72,48.5,48.5,0.78,1.63,241,11688,81.49,47.5
OSWALAGRO,OSWALAGROEQN,50.2,51.01,51.01,0.81,1.61,10,510,110.8,49.99
VAISHALI,VAISHALIEQN,8.74,8.88,8.88,0.14,1.6,2003,17786,18.83,7.75
MEDICO,MEDICOEQN,48.22,48.98,48.98,0.76,1.58,44,2155,79.83,37.18
KAMOPAINTS,KAMOPAINTSEQN,5.86,5.95,5.95,0.09,1.54,1185,7050,17.5,5.8
BROOKS,BROOKSEQN,65.0,66.0,66.0,1.0,1.54,210,13860,173.65,64.27
OMINFRAL,OMINFRALEQN,78.42,79.6,79.6,1.18,1.5,272,21651,159.89,77.2
EMKAY,EMKAYEQN,276.35,280.5,280.5,4.15,1.5,34,9537,409.9,168.0
KAUSHALYA,KAUSHALYAEQN,859.5,872.4,872.4,12.9,1.5,30,26172,1841.9,787.8
PARACABLES,PARACABLESEQN,32.71,33.2,33.2,0.49,1.5,15500,514600,77.4,32.08
RISHABH,RISHABHEQN,340.0,345.1,345.1,5.1,1.5,1244,429304,490.0,201.5
GOACARBON,GOACARBONEQN,372.6,378.2,378.2,5.6,1.5,22,8320,658.0,370.0
ARISINFRA,ARISINFRAEQN,108.44,110.07,110.07,1.63,1.5,4937,543415,208.5,106.99
SOLEX,SOLEXEQN,1048.5,1064.2,1064.2,15.7,1.5,1,1064,1985.0,630.9
MAHEPC,MAHEPCEQN,121.92,123.75,123.75,1.83,1.5,715,88481,185.12,107.55
GREENLAM,GREENLAMEQN,244.36,248.0,248.0,3.64,1.49,1389,344472,300.0,197.42
BELLACASA,BELLACASAEQN,308.0,312.6,312.6,4.6,1.49,100,31260,497.35,306.7
DICIND,DICINDEQN,507.2,514.7,514.7,7.5,1.48,100,51470,748.0,450.5
TRANSWORLD,TRANSWORLDEQN,141.91,144.0,144.0,2.09,1.47,50,7200,390.0,140.26
