symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
CNL,CNLEQN,630.65,756.75,756.75,126.1,20.0,7334,5550004,799.0,525.0
FLEXITUFF,FLEXITUFFEQN,6.93,7.7,7.7,0.77,11.11,12,92,42.21,5.72
ORTINGLOBE,ORTINGLOBEEQN,18.11,19.92,19.92,1.81,9.99,9293,185116,19.9,10.59
YCCL,YCCLSMN,9.65,10.5,10.5,0.85,8.81,3000,31500,13.95,8.55
SVLL,SVLLEQN,747.9,800.0,800.0,52.1,6.97,161,128800,855.7,445.15
BAFNAPH,BAFNAPHEQN,176.34,187.4,187.4,11.06,6.27,2906,544584,202.06,72.01
AGRITECH,AGRITECHEQN,129.34,136.99,136.99,7.65,5.91,5284,723855,187.19,92.52
SBGLP,SBGLPEQN,24.37,25.74,25.74,1.37,5.62,20,514,48.73,18.35
PFOCUS,PFOCUSBEN,240.19,252.19,252.19,12.0,5.0,17949,4526558,367.0,110.3
SICALLOG,SICALLOGBEN,72.24,75.85,75.85,3.61,5.0,1245,94433,103.33,60.11
QPOWER,QPOWERBEN,1072.0,1125.6,1125.6,53.6,5.0,62961,70868901,1441.0,456.2
SUPREMEENG,SUPREMEENGBZN,1.0,1.05,1.05,0.05,5.0,3024,3175,2.3,0.68
RNPL,RNPLSMN,87.2,91.55,91.55,4.35,4.99,2400,219720,158.0,69.0
GOLDENTOBC,GOLDENTOBCBZN,25.06,26.31,26.31,1.25,4.99,102,2683,38.5,20.34
DCMSIL,DCMSILBEN,65.34,68.6,68.6,3.26,4.99,10818,742114,105.27,49.5
CLEDUCATE,CLEDUCATEBEN,53.78,56.46,56.46,2.68,4.98,7114,401656,120.8,35.48
GENSOL,GENSOLBZN,23.74,24.92,24.92,1.18,4.97,15080,375793,56.91,18.16
IEML,IEMLSMN,48.35,50.75,50.75,2.4,4.96,10500,532875,173.57,37.9
GANESHIN,GANESHINSTN,82.85,86.95,86.95,4.1,4.95,9600,834720,279.8,66.4
AGSTRA,AGSTRABZN,2.83,2.97,2.97,0.14,4.95,26719,79355,6.39,2.13
SIMBHALS,SIMBHALSBZN,6.7,7.03,7.03,0.33,4.93,174,1223,20.15,6.51
CCCL,CCCLEQN,14.67,15.39,15.39,0.72,4.91,25176,387458,28.87,12.76
