symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
AARTISURF,AARTISURFEQN,400.85,470.0,470.0,69.15,17.25,15686,7372420,575.85,316.0
SUMIT,SUMITEQN,52.23,58.97,58.97,6.74,12.9,100,5897,104.9,31.74
SPORTKING,SPORTKINGEQN,201.26,225.99,225.99,24.73,12.29,78883,17826769,218.9,78.17
UEL,UELEQN,153.73,172.5,172.5,18.77,12.21,9853,1699642,220.0,92.32
GUJAPOLLO,GUJAPOLLOEQN,344.35,385.0,385.0,40.65,11.8,784,301840,556.0,336.6
TCC,TCCEQN,289.65,322.0,322.0,32.35,11.17,2205,710010,526.4,260.45
ORCHASP,ORCHASPEQN,1.63,1.8,1.8,0.17,10.43,16119,29014,4.16,1.47
VINDHYATEL,VINDHYATELEQN,1985.9,2185.9,2185.9,200.0,10.07,2015,4404588,2484.9,963.9
HBSL,HBSLEQN,48.0,52.6,52.6,4.6,9.58,2,105,108.8,42.63
KHAITANLTD,KHAITANLTDEQN,129.5,141.0,141.0,11.5,8.88,174,24534,150.96,85.0
GATECH,GATECHEQN,0.69,0.75,0.75,0.06,8.7,2104125,1578093,0.93,0.4
BLUEDART,BLUEDARTEQN,5160.3,5560.0,5560.0,399.5,7.74,3937,21889720,7036.0,4628.5
GLOBALVECT,GLOBALVECTEQN,165.13,177.9,177.9,12.77,7.73,2200,391380,248.0,129.0
ZODIAC,ZODIACEQN,251.65,270.05,270.05,18.4,7.31,65,17553,465.65,205.55
WILLAMAGOR,WILLAMAGOREQN,25.21,27.0,27.0,1.79,7.1,40,1080,37.5,21.11
HAVISHA,HAVISHAEQN,1.28,1.37,1.37,0.09,7.03,5073,6950,2.42,1.03
TVVISION,TVVISIONEQN,4.56,4.88,4.88,0.32,7.02,12,58,12.4,4.12
HEADSUP,HEADSUPEQN,6.53,6.98,6.98,0.45,6.89,5,34,12.95,5.69
RAJSREESUG,RAJSREESUGEQN,29.29,31.29,31.29,2.0,6.83,1,31,49.7,24.65
YASHO,YASHOEQN,3858.7,4120.0,4120.0,261.3,6.77,4426,18235120,3858.7,1130.0
DHARAN,DHARANBZN,0.15,0.16,0.16,0.01,6.67,287056,45928,0.61,0.11
STEELCAS,STEELCASEQN,309.95,330.0,330.0,20.05,6.47,5554,1832820,344.0,176.02
TIJARIA,TIJARIAEQN,5.03,5.34,5.34,0.31,6.16,322,1719,9.05,3.55
ADVENZYMES,ADVENZYMESEQN,315.1,334.0,334.0,18.9,6.0,17727,5920818,419.0,251.95
SSWL,SSWLEQN,310.36,328.4,328.4,18.0,5.8,32056,10527190,312.4,169.0
VIVIDHA,VIVIDHAEQN,0.52,0.55,0.55,0.03,5.77,11402,6271,0.91,0.43
NKIND,NKINDEQN,57.63,60.8,60.8,3.17,5.5,110,6688,87.78,54.54
URBANCO,URBANCOEQN,129.39,136.33,136.33,6.94,5.36,128832,17563666,201.18,100.7
CIFL,CIFLEQN,20.78,21.89,21.89,1.11,5.34,345,7552,39.69,19.56
CORONA,CORONAEQN,2098.8,2210.0,2210.0,111.2,5.3,1611,3560310,2145.9,1336.6
SASKEN,SASKENEQN,1811.8,1902.3,1902.3,90.5,5.0,1866,3549691,2780.2,991.0
PRECOT,PRECOTEQN,809.55,850.0,850.0,40.45,5.0,16,13600,876.75,300.05
OCCLLTD,OCCLLTDBEN,166.02,174.32,174.32,8.3,5.0,5289,921978,166.02,75.71
RELINFRA,RELINFRABEN,60.04,63.04,63.04,3.0,5.0,44729,2819716,354.0,60.04
BIRLACABLE,BIRLACABLEBEN,203.81,214.0,214.0,10.19,5.0,2953,631942,241.0,104.0
STLTECH,STLTECHBEN,557.05,584.9,584.9,27.85,5.0,71905,42057234,679.9,84.6
BHAGERIA,BHAGERIABEN,212.18,222.78,222.78,10.6,5.0,1132,252186,244.6,127.51
METALIC,METALICSTN,96.1,100.9,100.9,4.8,4.99,17600,1775840,96.1,81.4
GENSOL,GENSOLBZN,17.44,18.31,18.31,0.87,4.99,37403,684848,46.28,17.44
INVPRECQ,INVPRECQBEN,1097.65,1152.5,1152.5,54.8,4.99,413,475982,1099.55,551.0
MTARTECH,MTARTECHBEN,5726.0,6012.0,6012.0,286.0,4.99,10823,65067876,8714.0,1390.5
CLCIND,CLCINDBEN,56.75,59.58,59.58,2.83,4.99,459,27347,56.75,8.54
BLACKROSE,BLACKROSEBEN,110.76,116.28,116.28,5.52,4.98,2257,262443,129.9,80.05
GULFPETRO,GULFPETROBEN,49.96,52.45,52.45,2.49,4.98,21130,1108268,49.96,23.25
PKTEA,PKTEAEQN,676.4,710.0,710.0,33.6,4.97,10,7100,998.0,567.2
GANESHIN,GANESHINSTN,98.95,103.75,103.75,4.9,4.96,4000,415000,279.8,66.4
SAGARDEEP,SAGARDEEPEQN,24.24,25.44,25.44,1.2,4.95,11,279,31.48,20.81
KESORAMIND,KESORAMINDBEN,12.52,13.14,13.14,0.62,4.95,27315,358919,14.26,4.55
ONMOBILE,ONMOBILEBEN,63.41,66.55,66.55,3.14,4.95,6978,464385,84.0,40.21
ABAN,ABANBEN,15.79,16.57,16.57,0.78,4.94,6874,113902,52.14,12.89
EMAMIPAP,EMAMIPAPBEN,109.59,114.98,114.98,5.39,4.92,7330,842803,133.7,55.0
SADHNANIQ,SADHNANIQBEN,2.66,2.79,2.79,0.13,4.89,208562,581887,3.13,1.27
ROLLT,ROLLTBEN,2.46,2.58,2.58,0.12,4.88,5827,15033,3.74,1.02
CHEMCON,CHEMCONBEN,175.51,184.0,184.0,8.49,4.84,1001,184184,295.0,125.0
TAC,TACSMN,497.0,521.0,521.0,24.0,4.83,8600,4480600,899.65,347.4
