symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
LGBBROSLTD,LGBBROSLTDEQN,1390.0,1580.0,1580.0,190.0,13.67,26778,42309240,1465.0,1081.0
CTE,CTEEQN,47.16,51.8,51.8,4.64,9.84,1071,55477,116.67,34.11
GLFL,GLFLEQN,6.16,6.76,6.76,0.6,9.74,100,676,9.74,3.97
WILLAMAGOR,WILLAMAGOREQN,33.72,36.8,36.8,3.08,9.13,1,36,42.8,25.31
YCCL,YCCLSMN,13.0,13.95,13.95,0.95,7.31,3000,41850,23.5,11.75
SECMARK,SECMARKEQN,110.21,118.0,118.0,7.79,7.07,16,1888,174.63,75.0
CCHHL,CCHHLEQN,16.85,17.98,17.98,1.13,6.71,10,179,26.0,13.0
LANDMARK,LANDMARKEQN,581.65,620.0,620.0,38.35,6.59,6359,3942580,703.0,329.8
ARVINDPORT,ARVINDPORTSMN,48.2,51.0,51.0,2.8,5.81,1500,76500,120.0,44.5
VIPULLTD,VIPULLTDEQN,8.43,8.9,8.9,0.47,5.58,156,1388,38.25,8.1
KEEPLEARN,KEEPLEARNEQN,2.98,3.14,3.14,0.16,5.37,40,125,6.07,2.46
TATAINVEST,TATAINVESTEQN,9922.0,1042.0,1042.0,50.0,5.04,150550,156873100,11847.0,5145.15
BGRENERGY,BGRENERGYBEN,352.35,369.96,369.96,17.61,5.0,32856,12155405,352.35,34.5
ICDSLTD,ICDSLTDBEN,54.23,56.94,56.94,2.71,5.0,21,1195,76.0,37.13
VISASTEEL,VISASTEELBEN,60.63,63.66,63.66,3.03,5.0,12369,787410,60.63,25.46
KAVDEFENCE,KAVDEFENCEBEN,125.69,131.97,131.97,6.28,5.0,3068,404883,162.87,33.55
PARTH,PARTHSTN,255.45,268.2,268.2,12.75,4.99,4800,1287360,306.4,169.0
CHANDAN,CHANDANSTN,302.4,317.5,317.5,15.1,4.99,16800,5334000,302.4,140.0
CAPTRUST,CAPTRUSTEQN,32.45,34.07,34.07,1.62,4.99,19900,677993,89.1,23.72
MUNISH,MUNISHSTN,125.95,132.2,132.2,6.25,4.96,25200,3331440,127.55,102.0
TAKE,TAKEEQN,16.93,17.77,17.77,0.84,4.96,373784,6642141,19.94,6.51
GML,GMLSMN,22.45,23.55,23.55,1.1,4.9,10000,235500,54.0,19.4
NOIDATOLL,NOIDATOLLEQN,3.95,4.14,4.14,0.19,4.81,7553,31269,23.97,2.57
SGFIN,SGFINEQN,376.95,395.0,395.0,18.05,4.79,32350,12778250,412.0,339.9
UMIYA-MRO,UMIYA-MROEQN,101.94,106.79,106.79,4.85,4.76,14566,1555503,107.11,56.81
FELDVR,FELDVRBZN,3.57,3.74,3.74,0.17,4.76,743,2778,5.91,3.08
JITFINFRA,JITFINFRABEN,365.6,383.0,383.0,17.4,4.76,6851,2623933,979.0,252.0
TECHERA,TECHERASMN,287.2,300.6,300.6,13.4,4.67,18400,5531040,287.2,115.6
CREATIVEYE,CREATIVEYEEQN,7.59,7.94,7.94,0.35,4.61,500,3970,12.19,5.27
ALUWIND,ALUWINDSMN,87.0,91.0,91.0,4.0,4.6,1500,136500,95.8,48.0
ORCHASP,ORCHASPEQN,3.74,3.91,3.91,0.17,4.55,81566,318923,3.94,2.11
SUVIDHAA,SUVIDHAABEN,3.96,4.14,4.14,0.18,4.55,5175,21424,7.87,3.4
HYBRIDFIN,HYBRIDFINEQN,18.54,19.38,19.38,0.84,4.53,10,193,22.72,10.05
SRPL,SRPLBZN,0.69,0.72,0.72,0.03,4.35,12530,9021,1.95,0.46
TOKYOPLAST,TOKYOPLASTEQN,127.23,132.59,132.59,5.36,4.21,2624,347916,161.0,106.24
AKI,AKIEQN,8.58,8.94,8.94,0.36,4.2,11701,104606,21.9,6.63
SECURKLOUD,SECURKLOUDEQN,19.76,20.59,20.59,0.83,4.2,182,3747,41.5,16.35
SAMAY,SAMAYSMN,40.8,42.5,42.5,1.7,4.17,12000,510000,40.8,28.8
BAGDIGITAL,BAGDIGITALSTN,99.75,103.9,103.9,4.15,4.16,1600,166240,106.05,95.75
NIBL,NIBLEQN,29.38,30.6,30.6,1.22,4.15,15,459,39.9,19.5
INFOLLION,INFOLLIONSMN,464.9,483.8,483.8,18.9,4.07,400,193520,575.0,317.65
GVPTECH,GVPTECHEQN,9.38,9.76,9.76,0.38,4.05,102,995,14.43,7.61
VCL,VCLEQN,0.99,1.03,1.03,0.04,4.04,101,104,1.31,0.6
RMDRIP,RMDRIPEQN,69.24,72.0,72.0,2.76,3.99,169,12168,80.75,23.8
SOMATEX,SOMATEXBEN,79.73,82.9,82.9,3.17,3.98,1209,100226,105.0,34.53
MIRCELECTR,MIRCELECTRBEN,25.1,26.1,26.1,1.0,3.98,50050,1306305,30.47,10.24
KEC,KECEQN,858.15,892.0,892.0,33.85,3.94,40164,35826288,1313.25,627.45
ANANDRATHI,ANANDRATHIEQN,2934.9,3046.0,3046.0,111.1,3.79,8101,24675646,3090.4,1594.0
WEWIN,WEWINEQN,59.75,61.95,61.95,2.2,3.68,1,61,98.9,37.7
URAVIDEF,URAVIDEFEQN,237.89,246.6,246.6,8.71,3.66,1,246,584.0,212.65
USHAFIN,USHAFINSMN,42.5,44.0,44.0,1.5,3.53,1600,70400,84.0,24.33
SONAMLTD,SONAMLTDEQN,40.5,41.88,41.88,1.38,3.41,18,753,96.7,37.0
TECHD,TECHDSTN,675.4,698.4,698.4,23.0,3.41,5400,3771360,794.0,366.7
GRCL,GRCLSMN,413.9,427.9,427.9,14.0,3.38,250,106975,525.25,315.6
VIJAYPD,VIJAYPDSTN,43.5,44.95,44.95,1.45,3.33,24000,1078800,43.5,35.0
HILINFRA,HILINFRAEQN,80.29,82.94,82.94,2.65,3.3,7289,604549,131.4,78.46
PRUDMOULI,PRUDMOULIEQN,25.56,26.4,26.4,0.84,3.29,1,26,75.84,24.75
LANCORHOL,LANCORHOLEQN,22.02,22.74,22.74,0.72,3.27,1,22,45.9,19.01
TIRUPATIFL,TIRUPATIFLEQN,40.66,41.96,41.96,1.3,3.2,1604,67303,72.88,28.21
KEYFINSERV,KEYFINSERVEQN,299.66,309.2,309.2,9.54,3.18,65,20098,479.0,170.1
JTLIND,JTLINDEQN,67.93,70.0,70.0,2.07,3.05,18448,1291360,112.1,59.77
PILITA,PILITAEQN,13.1,13.49,13.49,0.39,2.98,10,134,20.64,11.51
SIGIND,SIGINDEQN,56.73,58.4,58.4,1.67,2.94,1,58,81.0,39.99
SALONA,SALONAEQN,246.6,253.8,253.8,7.2,2.92,40,10152,344.9,215.0
SEJALLTD,SEJALLTDEQN,786.65,809.5,809.5,22.85,2.9,1,809,852.3,313.5
ATLASCYCLE,ATLASCYCLEEQN,115.46,118.8,118.8,3.34,2.89,50,5940,176.39,63.0
INDOTHAI,INDOTHAIBEN,392.0,403.0,403.0,11.0,2.81,11480,4626440,394.65,89.3
ACCENTMIC,ACCENTMICSTN,266.7,274.0,274.0,7.3,2.74,1000,274000,324.0,169.81
RKSWAMY,RKSWAMYEQN,138.22,141.99,141.99,3.77,2.73,75,10649,289.44,137.99
IEML,IEMLSMN,124.5,127.9,127.9,3.4,2.73,1000,127900,269.43,85.61
ATLANTAELE,ATLANTAELEEQN,991.25,1018.0,1018.0,26.75,2.7,10296,10481328,991.25,782.1
TIJARIA,TIJARIAEQN,6.33,6.5,6.5,0.17,2.69,160,1040,14.2,4.88
INDOBORAX,INDOBORAXBEN,239.62,245.99,245.99,6.37,2.66,105,25828,301.85,142.35
MAHAPEXLTD,MAHAPEXLTDEQN,100.34,102.99,102.99,2.65,2.64,1,102,180.0,93.85
