symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
ABANSENT,ABANSENTEQN,33.05,39.65,39.65,6.6,19.97,26450,1048742,33.05,22.3
GREENPLY,GREENPLYEQN,254.59,279.0,279.0,24.41,9.59,45994,12832326,351.95,176.42
GRANDOAK,GRANDOAKEQN,28.35,31.0,31.0,2.65,9.35,1,31,34.8,27.3
KHANDSE,KHANDSEEQN,16.45,17.9,17.9,1.45,8.81,9,161,29.0,12.2
CEATLTD,CEATLTDEQN,3516.7,3810.0,3810.0,293.3,8.34,12363,47103030,4438.0,2984.5
GRSE,GRSEEQN,2875.3,3100.0,3100.0,224.7,7.81,71432,221439200,3538.4,1597.8
EMMIL,EMMILSMN,149.95,160.95,160.95,11.0,7.34,250,40237,243.5,110.0
ARVEE,ARVEEEQN,163.27,174.99,174.99,11.72,7.18,23,4024,290.78,129.11
SHIVAMILLS,SHIVAMILLSEQN,61.04,65.4,65.4,4.36,7.14,1,65,88.32,43.01
SHARDUL,SHARDULEQN,28.6,30.6,30.6,2.0,6.99,15,459,31.95,26.5
IKIO,IKIOEQN,147.68,157.5,157.5,9.82,6.65,6688,1053360,252.9,103.53
CANHLIFE,CANHLIFEEQN,136.32,144.0,144.0,7.68,5.63,48793,7026192,159.0,106.0
CELEBRITY,CELEBRITYEQN,8.05,8.48,8.48,0.43,5.34,2536,21505,15.35,5.65
KEEPLEARN,KEEPLEARNEQN,2.1,2.21,2.21,0.11,5.24,10,22,4.47,1.54
NEXTMEDIA,NEXTMEDIAEQN,4.3,4.52,4.52,0.22,5.12,205,926,8.48,3.42
TCC,TCCEQN,385.5,404.95,404.95,19.45,5.05,1,404,526.4,310.0
STARHEALTH,STARHEALTHEQN,517.3,543.25,543.25,25.95,5.02,34844,18929003,534.0,348.3
WEBELSOLAR,WEBELSOLAREQN,122.2,128.31,128.31,6.11,5.0,339743,43592424,158.99,50.4
PRIZOR,PRIZORSTN,654.0,686.7,686.7,32.7,5.0,7600,5218920,654.0,129.0
IWARE,IWARESTN,324.1,340.3,340.3,16.2,5.0,1200,408360,324.1,70.05
SIGMAADV,SIGMAADVBEN,260.91,273.95,273.95,13.04,5.0,8154,2233788,260.91,61.0
GTL,GTLBEN,7.2,7.56,7.56,0.36,5.0,28031,211914,13.0,4.91
SOFTTECH,SOFTTECHBEN,369.29,387.75,387.75,18.46,5.0,1075,416831,418.8,215.0
RMDRIP,RMDRIPEQN,19.85,20.84,20.84,0.99,4.99,35198,733526,72.22,17.11
CURAA,CURAABEN,92.99,97.63,97.63,4.64,4.99,94,9177,337.0,24.43
SUPREMEPWR,SUPREMEPWRSTN,246.3,258.6,258.6,12.3,4.99,3000,775800,246.3,114.3
SHYAMTEL,SHYAMTELBEN,20.53,21.55,21.55,1.02,4.97,1,21,20.53,7.07
AVANA,AVANASTN,133.85,140.5,140.5,6.65,4.97,4000,562000,133.9,60.1
OSIAHYPER,OSIAHYPEREQN,6.87,7.21,7.21,0.34,4.95,6389,46064,33.08,3.19
BANKA,BANKABEN,74.56,78.25,78.25,3.69,4.95,900,70425,97.88,41.0
EMMVEE,EMMVEEEQN,272.28,285.5,285.5,13.22,4.86,343584,98093232,288.0,171.51
SHRIKANHA,SHRIKANHASTN,27.85,29.2,29.2,1.35,4.85,1600,46720,88.0,15.1
VCL,VCLEQN,1.48,1.55,1.55,0.07,4.73,12147,18827,2.66,0.69
SECMARK,SECMARKBEN,116.61,122.0,122.0,5.39,4.62,1,122,174.63,95.05
BONLON,BONLONEQN,48.62,50.85,50.85,2.23,4.59,25,1271,52.89,34.51
ROLLT,ROLLTEQN,1.75,1.83,1.83,0.08,4.57,16373,29962,2.53,1.02
MEGASTAR,MEGASTAREQN,277.8,290.0,290.0,12.2,4.39,1,290,305.0,187.61
ONESOURCE,ONESOURCEEQN,1763.0,1840.0,1840.0,77.0,4.37,8811,16212240,2248.0,1057.0
INFOMEDIA,INFOMEDIAEQN,5.98,6.24,6.24,0.26,4.35,3,18,9.89,4.5
SYSTMTXC,SYSTMTXCEQN,76.53,79.86,79.86,3.33,4.35,137,10940,177.9,51.89
ARIS,ARISEQN,128.44,134.0,134.0,5.56,4.33,51369,6883446,208.5,82.18
DCM,DCMEQN,84.12,87.7,87.7,3.58,4.26,1,87,136.0,55.0
FEDFINA,FEDFINAEQN,151.61,158.04,158.04,6.43,4.24,150016,23708528,178.48,83.57
AGIIL,AGIILEQN,357.95,373.0,373.0,15.05,4.2,20735,7734155,387.65,147.0
DAMODARIND,DAMODARINDEQN,30.91,32.19,32.19,1.28,4.14,3,96,41.49,20.0
BANDHANBNK,BANDHANBNKEQN,178.65,186.01,186.01,7.36,4.12,676854,125901612,192.48,134.25
BSHSL,BSHSLEQN,98.93,102.99,102.99,4.06,4.1,152,15654,152.0,59.16
OSWALSEEDS,OSWALSEEDSEQN,12.49,13.0,13.0,0.51,4.08,2,26,20.28,9.67
RRIL,RRILEQN,17.15,17.85,17.85,0.7,4.08,1,17,18.0,15.25
KHAICHEM,KHAICHEMBEN,54.15,56.35,56.35,2.2,4.06,5147,290033,135.8,42.92
ASTRON,ASTRONBEN,4.46,4.64,4.64,0.18,4.04,559,2593,20.93,3.26
ETERNAL,ETERNALEQN,253.07,263.3,263.3,10.23,4.04,1895808,499166246,368.45,212.6
MTEDUCARE,MTEDUCAREBEN,1.49,1.55,1.55,0.06,4.03,30,46,2.55,1.17
NKIND,NKINDEQN,69.67,72.4,72.4,2.73,3.92,2,144,87.78,54.54
SHAILY,SHAILYEQN,2489.4,2587.0,2587.0,97.6,3.92,8296,21461752,2799.9,1500.1
SKIPPER,SKIPPEREQN,489.95,509.0,509.0,19.05,3.89,57756,29397804,588.0,327.05
RANASUG,RANASUGEQN,13.27,13.78,13.78,0.51,3.84,121,1667,17.9,10.21
HALEOSLABS,HALEOSLABSEQN,1438.7,1494.0,1494.0,55.3,3.84,61,91134,1586.0,1067.0
NIMBSPROJ,NIMBSPROJEQN,181.85,188.8,188.8,6.95,3.82,5,944,208.8,173.83
SIGMA,SIGMAEQN,44.36,46.0,46.0,1.64,3.7,110,5060,65.5,27.51
DSFCL,DSFCLEQN,24.58,25.49,25.49,0.91,3.7,10,254,52.5,17.28
NDGL,NDGLEQN,2690.7,2790.0,2790.0,99.3,3.69,1,2790,4685.4,2100.0
MFML,MFMLEQN,25.03,25.95,25.95,0.92,3.68,51,1323,36.99,19.66
KSHITIJPOL,KSHITIJPOLBEN,2.99,3.1,3.1,0.11,3.68,2127,6593,3.96,1.88
VIVIDHA,VIVIDHAEQN,0.55,0.57,0.57,0.02,3.64,4162,2372,1.05,0.43
LAHOTIOV,LAHOTIOVEQN,47.75,49.45,49.45,1.7,3.56,257,12708,52.8,43.95
SILVERTUC,SILVERTUCEQN,153.54,158.99,158.99,5.45,3.55,9163,1456825,169.02,66.19
SOLARA,SOLARAEQN,478.15,495.0,495.0,16.85,3.52,2341,1158795,734.4,422.0
UNITEDPOLY,UNITEDPOLYEQN,31.03,32.1,32.1,1.07,3.45,3,96,51.16,14.5
DBEIL,DBEILEQN,83.34,86.2,86.2,2.86,3.43,5476,472031,185.6,51.51
APEX,APEXEQN,472.25,488.45,488.45,16.2,3.43,19162,9359678,514.5,198.0
GREENPOWER,GREENPOWEREQN,12.72,13.15,13.15,0.43,3.38,546538,7186974,15.81,7.98
ZODIACLOTH,ZODIACLOTHEQN,78.35,80.97,80.97,2.62,3.34,1,80,125.41,58.5
BTML,BTMLEQN,6.29,6.5,6.5,0.21,3.34,1000,6500,10.5,5.06
SCPL,SCPLBEN,353.15,364.95,364.95,11.8,3.34,24,8758,359.9,190.03
SAPPL,SAPPLEQN,300.0,310.0,310.0,10.0,3.33,24,7440,330.0,261.0
BAHETI,BAHETISMN,609.75,629.95,629.95,20.2,3.31,1875,1181156,649.9,478.0
RELTD,RELTDEQN,149.13,154.0,154.0,4.87,3.27,7404,1140216,191.77,93.41
GOLDTECH,GOLDTECHEQN,40.11,41.4,41.4,1.29,3.22,101,4181,80.44,29.68
EMCURE,EMCUREEQN,1608.2,1660.0,1660.0,51.8,3.22,2146,3562360,1688.0,983.0
PROZONER,PROZONEREQN,63.04,65.0,65.0,1.96,3.11,10748,698620,72.77,32.0
AIMTRON,AIMTRONSMN,1017.35,1049.0,1049.0,31.65,3.11,2600,2727400,1049.85,477.1
MANAKALUCO,MANAKALUCOEQN,38.3,39.48,39.48,1.18,3.08,510,20134,68.12,21.73
RAJSREESUG,RAJSREESUGEQN,33.38,34.4,34.4,1.02,3.06,56,1926,52.98,24.65
KRIDHANINF,KRIDHANINFEQN,2.66,2.74,2.74,0.08,3.01,135,369,5.39,1.81
AWL,AWLEQN,204.91,211.03,211.03,6.12,2.99,91103,19225466,287.0,171.19
FCSSOFT,FCSSOFTBEN,1.67,1.72,1.72,0.05,2.99,4320,7430,3.05,1.05
BYKE,BYKEBEN,37.73,38.85,38.85,1.12,2.97,7896,306759,100.8,26.25
DRCSYSTEMS,DRCSYSTEMSEQN,15.29,15.74,15.74,0.45,2.94,10,157,26.57,11.5
VLSFINANCE,VLSFINANCEEQN,237.08,243.9,243.9,6.82,2.88,3,731,339.0,198.81
PRAXIS,PRAXISEQN,8.02,8.25,8.25,0.23,2.87,1079,8901,14.55,5.26
NITTAGELA,NITTAGELAEQN,971.75,999.0,999.0,27.25,2.8,104,103896,986.0,837.05
ZEELEARN,ZEELEARNEQN,5.06,5.2,5.2,0.14,2.77,1600,8320,10.89,4.17
CCCL,CCCLEQN,17.5,17.98,17.98,0.48,2.74,22472,404046,28.87,12.66
PATINTLOG,PATINTLOGEQN,11.47,11.78,11.78,0.31,2.7,51,600,18.51,8.01
EMPOWER,EMPOWEREQN,1.85,1.9,1.9,0.05,2.7,4108,7805,1.85,1.3
TGBHOTELS,TGBHOTELSEQN,9.69,9.95,9.95,0.26,2.68,1,9,14.3,7.5
VARDMNPOLY,VARDMNPOLYBEN,6.95,7.13,7.13,0.18,2.59,900,6417,13.74,5.1
DHANBANK,DHANBANKEQN,31.82,32.64,32.64,0.82,2.58,186107,6074532,33.5,19.45
APSISAERO,APSISAEROSTN,239.9,246.0,246.0,6.1,2.54,1200,295200,265.4,147.2
NAGAFERT,NAGAFERTBZN,3.99,4.09,4.09,0.1,2.51,543,2220,6.54,3.12
DJML,DJMLBEN,91.5,93.8,93.8,2.3,2.51,55,5159,135.67,52.0
TRANSPEK,TRANSPEKEQN,1185.34,1215.0,1215.0,29.66,2.5,2,2430,1201.0,1125.0
CROWN,CROWNEQN,137.58,141.0,141.0,3.42,2.49,4,564,221.8,100.62
PRABHA,PRABHAEQN,160.98,164.99,164.99,4.01,2.49,620,102293,306.7,142.2
ORIENTBELL,ORIENTBELLEQN,320.7,328.7,328.7,8.0,2.49,350,115045,339.7,224.41
DANISH,DANISHSMN,903.55,925.95,925.95,22.4,2.48,150,138892,1189.0,550.5
JMA,JMAEQN,90.55,92.79,92.79,2.24,2.47,1,92,111.99,70.25
VASCONEQ,VASCONEQEQN,40.2,41.19,41.19,0.99,2.46,16895,695905,74.59,26.75
SUMEETINDS,SUMEETINDSEQN,30.03,30.77,30.77,0.74,2.46,1,30,40.5,10.66
VASWANI,VASWANIEQN,58.04,59.45,59.45,1.41,2.43,1000,59450,69.99,37.37
PYRAMID,PYRAMIDEQN,172.79,176.99,176.99,4.2,2.43,101,17875,190.0,131.8
GULFOILLUB,GULFOILLUBEQN,990.05,1013.95,1013.95,23.9,2.41,400,405580,1331.9,865.0
MOBILISE,MOBILISESTN,97.65,100.0,100.0,2.35,2.41,1600,160000,97.65,45.0
LYKALABS,LYKALABSBEN,59.38,60.8,60.8,1.42,2.39,2,121,128.78,44.1
USK,USKBEN,24.13,24.7,24.7,0.57,2.36,7,172,44.28,18.97
HCL-INSYS,HCL-INSYSEQN,12.31,12.6,12.6,0.29,2.36,2113,26623,24.5,9.01
DNAMEDIA,DNAMEDIAEQN,2.99,3.06,3.06,0.07,2.34,510,1560,5.95,2.33
BELLACASA,BELLACASAEQN,256.86,262.8,262.8,5.94,2.31,100,26280,497.35,220.25
ENIL,ENILEQN,116.81,119.5,119.5,2.69,2.3,1,119,174.58,98.57
MWL,MWLEQN,317.65,324.95,324.95,7.3,2.3,416,135179,324.9,150.0
CORDSCABLE,CORDSCABLEEQN,180.34,184.45,184.45,4.11,2.28,200,36890,222.0,127.01
REMSONSIND,REMSONSINDEQN,109.93,112.44,112.44,2.51,2.28,190,21363,157.0,77.15
PASHUPATI,PASHUPATIEQN,87.85,89.85,89.85,2.0,2.28,3081,276827,118.35,59.6
KSOLVES,KSOLVESEQN,322.7,329.99,329.99,7.29,2.26,1206,397967,489.45,245.75
HILTON,HILTONEQN,24.39,24.94,24.94,0.55,2.26,2801,69856,70.97,13.43
AARTIPHARM,AARTIPHARMEQN,712.25,728.3,728.3,16.05,2.25,11011,8019311,971.0,585.0
JKIPL,JKIPLBEN,91.92,93.99,93.99,2.07,2.25,850,79891,126.95,45.4
TINNARUBR,TINNARUBREQN,723.8,740.0,740.0,16.2,2.24,1000,740000,1068.6,527.45
SICALLOG,SICALLOGBEN,68.27,69.8,69.8,1.53,2.24,1,69,103.33,60.11
SAMPANN,SAMPANNEQN,28.31,28.94,28.94,0.63,2.23,79,2286,43.44,23.75
JUNIPER,JUNIPEREQN,210.32,214.99,214.99,4.67,2.22,295,63422,345.55,188.5
PANACHE,PANACHEBEN,331.85,339.1,339.1,7.25,2.18,183,62055,472.15,171.85
SUPERHOUSE,SUPERHOUSEEQN,157.6,161.0,161.0,3.4,2.16,1,161,201.95,128.55
INA,INAEQN,156.43,159.8,159.8,3.37,2.15,12899,2061260,161.81,79.75
COMPUSOFT,COMPUSOFTEQN,13.96,14.26,14.26,0.3,2.15,1000,14260,24.32,12.0
AURIONPRO,AURIONPROEQN,873.2,892.0,892.0,18.8,2.15,2151,1918692,1665.9,719.6
URJA,URJAEQN,12.64,12.91,12.91,0.27,2.14,86304,1114184,17.49,8.0
