symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
SIGMA,SIGMAEQN,39.22,47.0,47.0,7.78,19.84,7612,357764,65.5,21.01
MMEL,MMELSMN,25.65,28.9,28.9,3.25,12.67,2000,57800,84.45,25.5
VGL,VGLEQN,61.19,68.9,68.9,7.71,12.6,14,964,98.48,57.0
TECILCHEM,TECILCHEMEQN,12.9,14.45,14.45,1.55,12.02,5,72,42.16,11.2
WILLAMAGOR,WILLAMAGOREQN,25.8,28.7,28.7,2.9,11.24,30050,862435,41.0,25.31
MFML,MFMLEQN,22.5,24.99,24.99,2.49,11.07,4,99,36.99,19.66
DCMFINSERV,DCMFINSERVEQN,4.69,5.19,5.19,0.5,10.66,30030,155855,9.21,3.7
UNIINFO,UNIINFOEQN,12.44,13.75,13.75,1.31,10.53,5,68,22.9,11.41
EIEL,EIELEQN,141.55,155.0,155.0,13.45,9.5,60545,9384475,306.4,134.71
SEMAC,SEMACEQN,212.42,231.99,231.99,19.57,9.21,50,11599,568.9,205.0
SHAKTIPUMP,SHAKTIPUMPEQN,489.95,533.85,533.85,43.9,8.96,36096,19269849,1049.0,460.0
AMBICAAGAR,AMBICAAGAREQN,23.54,25.5,25.5,1.96,8.33,53,1351,33.0,22.66
SECURKLOUD,SECURKLOUDEQN,21.94,23.73,23.73,1.79,8.16,4835,114734,34.18,16.01
GROBTEA,GROBTEAEQN,861.2,930.0,930.0,68.8,7.99,1,930,1359.9,801.0
WABAG,WABAGEQN,1198.3,1290.0,1290.0,91.7,7.65,17693,22823970,1680.0,1033.0
PIGL,PIGLEQN,100.78,108.0,108.0,7.22,7.16,574,61992,195.45,95.22
CEINSYS,CEINSYSEQN,871.35,931.95,931.95,60.6,6.95,1422,1325232,1061.7,855.0
DHARAN,DHARANBZN,0.15,0.16,0.16,0.01,6.67,145494,23279,1.13,0.14
PRINCEPIPE,PRINCEPIPEEQN,248.55,265.0,265.0,16.45,6.62,15409,4083385,387.7,229.05
OSWALPUMPS,OSWALPUMPSEQN,300.9,320.0,320.0,19.1,6.35,30130,9641600,888.4,286.55
ELECTCAST,ELECTCASTEQN,63.02,67.01,67.01,3.99,6.33,155601,10426823,138.75,60.15
UMAEXPORTS,UMAEXPORTSEQN,22.64,23.99,23.99,1.35,5.96,1,23,96.8,22.15
ICDSLTD,ICDSLTDEQN,37.86,40.0,40.0,2.14,5.65,10,400,68.49,36.4
DENTA,DENTAEQN,227.2,240.0,240.0,12.8,5.63,10635,2552400,479.6,222.0
GTECJAINX,GTECJAINXEQN,20.11,21.22,21.22,1.11,5.52,1,21,37.0,17.4
DELTAMAGNT,DELTAMAGNTEQN,56.8,59.9,59.9,3.1,5.46,20,1198,115.99,51.2
FACT,FACTEQN,794.5,837.0,837.0,42.5,5.35,54408,45539496,1112.0,565.0
COASTCORP,COASTCORPEQN,43.42,45.7,45.7,2.28,5.25,200,9140,53.99,30.01
MAGNUM,MAGNUMEQN,18.86,19.85,19.85,0.99,5.25,5,99,32.38,18.16
JASH,JASHEQN,361.1,380.0,380.0,18.9,5.23,3822,1452360,698.95,351.1
MHLXMIRU,MHLXMIRUEQN,164.44,173.0,173.0,8.56,5.21,1,173,270.68,160.0
SRD,SRDEQN,51.29,53.95,53.95,2.66,5.19,45,2427,91.0,39.15
EMSLIMITED,EMSLIMITEDEQN,259.5,272.95,272.95,13.45,5.18,15182,4143926,695.4,256.05
IONEXCHANG,IONEXCHANGEQN,345.8,363.6,363.6,17.8,5.15,8401,3054603,580.75,322.1
SANWARIA,SANWARIABZN,0.2,0.21,0.21,0.01,5.0,13125,2756,0.42,0.19
