symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
KSHITIJPOL,KSHITIJPOLEQN,2.72,3.26,3.26,0.54,19.85,196063,639165,4.05,1.88
GULPOLY,GULPOLYEQN,145.44,169.8,169.8,24.36,16.75,85808,14570198,220.5,121.5
KCEIL,KCEILSMN,135.9,153.8,153.8,17.9,13.17,2000,307600,388.05,108.0
ASHIANA,ASHIANAEQN,301.85,340.0,340.0,38.15,12.64,24887,8461580,376.15,247.8
JITFINFRA,JITFINFRAEQN,308.65,339.5,339.5,30.85,10.0,1578,535731,499.45,222.35
DCMFINSERV,DCMFINSERVEQN,4.52,4.89,4.89,0.37,8.19,24,117,9.21,3.76
ARENTERP,ARENTERPEQN,41.71,45.0,45.0,3.29,7.89,30,1350,62.99,37.17
RHL,RHLEQN,188.58,203.0,203.0,14.42,7.65,353,71659,314.0,169.5
INDIQUBE,INDIQUBEEQN,177.68,191.0,191.0,13.32,7.5,4442,848422,243.8,163.51
INNOVANA,INNOVANAEQN,390.65,419.7,419.7,29.05,7.44,35,14689,649.5,270.5
LAXMICOT,LAXMICOTEQN,17.0,18.25,18.25,1.25,7.35,23915,436448,33.0,12.16
ABMINTLLTD,ABMINTLLTDEQN,52.88,56.75,56.75,3.87,7.32,964,54707,78.21,34.0
RELCHEMQ,RELCHEMQEQN,139.33,148.7,148.7,9.37,6.73,1997,296953,214.0,110.5
SIKKO,SIKKOEQN,4.61,4.92,4.92,0.31,6.72,11993,59005,6.83,3.03
DAMODARIND,DAMODARINDEQN,26.62,28.37,28.37,1.75,6.57,604,17135,41.49,25.0
ELDEHSG,ELDEHSGEQN,893.75,950.0,950.0,56.25,6.29,21,19950,1044.1,658.1
HEG,HEGEQN,560.7,594.0,594.0,33.3,5.94,89828,53357832,672.0,331.25
KRISHIVAL,KRISHIVALEQN,350.0,369.9,369.9,19.9,5.69,335,123916,483.81,200.95
DHARAN,DHARANBZN,0.19,0.2,0.2,0.01,5.26,322536,64507,1.3,0.17
UFLEX,UFLEXEQN,504.55,530.0,530.0,25.45,5.04,3200,1696000,685.6,438.0
