symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
RCDL-RE,RCDL-RESTN,2.5,3.0,3.0,0.5,20.0,18000,54000,6.25,1.75
QUINT,QUINTEQN,48.24,57.88,57.88,9.64,19.98,11117,643451,48.24,33.45
INFOMEDIA,INFOMEDIAEQN,5.18,5.98,5.98,0.8,15.44,4,23,8.05,4.5
SHRADHA,SHRADHAEQN,29.97,33.88,33.88,3.91,13.05,10,338,58.95,26.34
SAATVIKGL,SAATVIKGLEQN,389.55,428.5,428.5,38.95,10.0,43188,18506058,567.0,328.0
MONEYBOXX,MONEYBOXXEQN,44.94,49.43,49.43,4.49,9.99,3300,163119,91.5,35.85
PIONEEREMB,PIONEEREMBEQN,20.89,22.89,22.89,2.0,9.57,20,457,39.2,19.61
MPEL-RE,MPEL-RESTN,1.6,1.75,1.75,0.15,9.38,6400,11200,7.0,1.6
HBPOR,HBPOREQN,59.99,65.0,65.0,5.01,8.35,5,325,65.0,48.6
UMESLTD,UMESLTDEQN,4.53,4.9,4.9,0.37,8.17,7,34,7.14,3.88
SAICAPI,SAICAPIEQN,154.5,167.0,167.0,12.5,8.09,11,1837,170.05,133.5
DHARAN,DHARANBZN,0.13,0.14,0.14,0.01,7.69,35271,4937,0.61,0.11
PRAKASHSTL,PRAKASHSTLEQN,3.56,3.82,3.82,0.26,7.3,4877,18630,6.57,3.48
HMAAGRO,HMAAGROEQN,23.41,24.99,24.99,1.58,6.75,221110,5525538,34.24,19.09
RADIANTCMS,RADIANTCMSEQN,35.89,38.24,38.24,2.35,6.55,53911,2061556,57.49,32.33
MOBIKWIK,MOBIKWIKEQN,200.86,213.99,213.99,13.13,6.54,486603,104128175,324.75,151.46
RTSPOWR,RTSPOWREQN,86.1,91.6,91.6,5.5,6.39,20,1832,114.0,80.3
ORCHASP,ORCHASPEQN,1.58,1.68,1.68,0.1,6.33,45969,77227,4.16,1.25
STLSTRINF,STLSTRINFEQN,25.44,26.99,26.99,1.55,6.09,11943,322341,25.44,14.59
GEEKAYWIRE,GEEKAYWIREEQN,29.34,31.1,31.1,1.76,6.0,12670,394037,38.44,18.51
PAYTM,PAYTMEQN,1730.0,1830.0,1830.0,100.0,5.78,436686,799135380,1840.0,930.6
CINEVISTA,CINEVISTAEQN,14.08,14.89,14.89,0.81,5.75,16,238,22.8,12.16
NPST,NPSTEQN,1639.5,1730.0,1730.0,90.5,5.52,11364,19659720,2138.5,846.6
CMSINFO,CMSINFOEQN,222.91,235.08,235.08,12.17,5.46,47150,11084022,427.0,220.99
EMUDHRA,EMUDHRAEQN,592.85,625.0,625.0,32.15,5.42,76518,47823750,710.1,364.55
