symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
PENTAGON,PENTAGONSMN,62.4,74.85,74.85,12.45,19.95,5000,374250,99.5,49.15
AKI,AKIEQN,5.48,6.57,6.57,1.09,19.89,705517,4635246,10.48,3.8
STARTECK,STARTECKEQN,247.9,290.0,290.0,42.1,16.98,1,290,349.95,215.1
KSHITIJ-RE,KSHITIJ-REBEN,0.06,0.07,0.07,0.01,16.67,89277,6249,0.06,0.02
IVC,IVCEQN,9.59,10.99,10.99,1.4,14.6,439521,4830335,9.9,6.02
RHETAN,RHETANEQN,21.02,23.12,23.12,2.1,9.99,637112,14730029,34.87,19.1
NOIDATOLL,NOIDATOLLEQN,4.11,4.5,4.5,0.39,9.49,27910,125595,7.43,2.87
SVGLOBAL,SVGLOBALEQN,120.01,130.0,130.0,9.99,8.32,1,130,144.98,114.3
KHAITANLTD,KHAITANLTDEQN,160.8,174.0,174.0,13.2,8.21,132,22968,166.0,85.0
BALAXI,BALAXIEQN,25.01,26.99,26.99,1.98,7.92,1400,37786,47.87,15.2
DHARAN,DHARANBZN,0.13,0.14,0.14,0.01,7.69,256797,35951,0.61,0.11
AKG,AKGEQN,9.21,9.89,9.89,0.68,7.38,1,9,15.34,8.06
ICDSLTD,ICDSLTDEQN,59.06,63.4,63.4,4.34,7.35,2022,128194,62.32,36.4
SGL,SGLEQN,10.21,10.95,10.95,0.74,7.25,1,10,20.79,8.4
LCCINFOTEC,LCCINFOTECEQN,3.64,3.89,3.89,0.25,6.87,13002,50577,5.89,3.3
GOCLCORP,GOCLCORPEQN,391.7,417.0,417.0,25.3,6.46,6573,2740941,459.9,223.35
USK,USKEQN,20.6,21.9,21.9,1.3,6.31,1,21,35.17,18.97
BESTAGRO,BESTAGROEQN,18.82,20.0,20.0,1.18,6.27,134704,2694080,34.4,12.3
SOMICONVEY,SOMICONVEYEQN,90.45,95.99,95.99,5.54,6.12,236,22653,169.4,80.16
MERCURYEV,MERCURYEVEQN,36.66,38.87,38.87,2.21,6.03,42,1632,41.5,30.16
STLSTRINF,STLSTRINFEQN,19.57,20.75,20.75,1.18,6.03,1,20,22.78,14.59
PARNAXLAB,PARNAXLABEQN,137.23,144.95,144.95,7.72,5.63,57,8262,144.9,108.03
BOHRAIND,BOHRAINDEQN,12.36,13.05,13.05,0.69,5.58,1,13,26.91,12.0
LPDC,LPDCEQN,6.68,7.05,7.05,0.37,5.54,373,2629,9.46,5.23
TANAA,TANAAEQN,281.5,297.0,297.0,15.5,5.51,658,195426,322.0,280.5
SANWARIA,SANWARIABZN,0.19,0.2,0.2,0.01,5.26,2002,400,0.39,0.18
SRIKPRIND,SRIKPRINDEQN,30.42,32.0,32.0,1.58,5.19,9260,296320,30.42,19.4
KSHITIJPOL,KSHITIJPOLEQN,3.0,3.15,3.15,0.15,5.0,101940,321111,7.2,1.88
SWANDEF,SWANDEFBEN,2444.7,2566.9,2566.9,122.2,5.0,1207,3098248,2750.0,430.8
SICALLOG,SICALLOGBEN,103.7,108.88,108.88,5.18,5.0,6193,674293,122.5,60.11
MBECL,MBECLBEN,234.83,246.57,246.57,11.74,5.0,84,20711,234.83,213.0
INDIAGLYCO,INDIAGLYCOBEN,236.2,248.0,248.0,11.8,5.0,251,62248,0.0,0.0
HPTL,HPTLSMN,330.75,347.25,347.25,16.5,4.99,600,208350,360.0,190.0
SOMATEX,SOMATEXEQN,88.34,92.75,92.75,4.41,4.99,2199,203957,161.25,62.15
MVKAGRO,MVKAGROSMN,214.4,225.1,225.1,10.7,4.99,900,202590,819.0,152.05
AKSHARCHEM,AKSHARCHEMBEN,403.85,424.0,424.0,20.15,4.99,1101,466824,403.85,141.3
BIKEWO,BIKEWOSTN,104.7,109.9,109.9,5.2,4.97,4000,439600,115.8,13.65
GSLSU,GSLSUEQN,25.74,27.02,27.02,1.28,4.97,4411,119185,139.67,23.06
MINALIND,MINALINDBEN,4.86,5.1,5.1,0.24,4.94,52553,268020,4.86,1.71
RNBDENIMS,RNBDENIMSEQN,11.37,11.93,11.93,0.56,4.93,2933,34990,67.67,7.72
CALSOFT,CALSOFTBEN,41.08,43.09,43.09,2.01,4.89,49386,2128042,41.08,10.9
ASHOKAMET,ASHOKAMETEQN,13.49,14.15,14.15,0.66,4.89,1,14,21.0,12.13
COOLCAPS,COOLCAPSSTN,22.5,23.6,23.6,1.1,4.89,5000,118000,99.5,19.0
DHARIWAL,DHARIWALSMN,22.7,23.8,23.8,1.1,4.85,27000,642600,48.3,16.13
POLYSIL,POLYSILSMN,63.9,67.0,67.0,3.1,4.85,500,33500,356.75,47.25
TVVISION,TVVISIONBEN,3.31,3.47,3.47,0.16,4.83,2,6,12.4,3.23
CYBERMEDIA,CYBERMEDIAEQN,19.9,20.86,20.86,0.96,4.82,96,2002,22.81,11.3
SETCO,SETCOBEN,17.51,18.35,18.35,0.84,4.8,48,880,28.62,11.56
KALYANIFRG,KALYANIFRGBEN,1113.65,1166.5,1166.5,52.85,4.75,67,78155,1192.25,523.6
STEL,STELEQN,601.45,629.9,629.9,28.45,4.73,1,629,689.95,380.0
MAKS,MAKSSMN,13.75,14.4,14.4,0.65,4.73,3000,43200,36.0,12.65
SYSTMTXC,SYSTMTXCBEN,56.82,59.5,59.5,2.68,4.72,2,119,177.9,51.89
DELTAMAGNT,DELTAMAGNTEQN,57.74,60.45,60.45,2.71,4.69,1,60,93.45,45.51
PIONRINV,PIONRINVBEN,76.43,79.99,79.99,3.56,4.66,1,79,135.44,72.5
SABAR,SABARSTN,8.65,9.05,9.05,0.4,4.62,15000,135750,9.55,3.95
KANCOTEA,KANCOTEAEQN,54.67,57.0,57.0,2.33,4.26,38,2166,58.0,46.2
POLYSPIN,POLYSPINEQN,28.77,29.99,29.99,1.22,4.24,1,29,34.79,28.0
KEEPLEARN,KEEPLEARNEQN,1.9,1.98,1.98,0.08,4.21,122,241,3.21,1.51
GLOBALE,GLOBALEEQN,11.23,11.7,11.7,0.47,4.19,102,1193,15.4,9.2
INDTERRAIN,INDTERRAINEQN,30.16,31.4,31.4,1.24,4.11,100,3140,42.62,24.56
GEEKAYWIRE,GEEKAYWIREEQN,27.86,28.99,28.99,1.13,4.06,2348,68068,40.63,18.51
MANCREDIT,MANCREDITEQN,227.79,237.0,237.0,9.21,4.04,2273,538701,287.27,152.06
PAR,PAREQN,168.25,175.0,175.0,6.75,4.01,8790,1538250,168.72,78.05
TARMAT,TARMATEQN,62.78,65.29,65.29,2.51,4.0,42929,2802834,73.9,46.26
UEL,UELEQN,219.15,227.9,227.9,8.75,3.99,4648,1059279,284.2,92.32
MONARCH,MONARCHEQN,372.4,386.9,386.9,14.5,3.89,1797,695259,406.95,235.45
DGCONTENT,DGCONTENTEQN,24.95,25.89,25.89,0.94,3.77,100,2589,39.57,21.61
TOTAL,TOTALEQN,69.06,71.65,71.65,2.59,3.75,2,143,87.89,45.0
LKPSEC,LKPSECEQN,15.19,15.76,15.76,0.57,3.75,2,31,18.43,14.01
VILAS,VILASSMN,349.0,361.95,361.95,12.95,3.71,2000,723900,604.0,320.0
IPRINGLTD,IPRINGLTDEQN,167.78,174.0,174.0,6.22,3.71,200,34800,187.0,124.5
PRAENG,PRAENGEQN,24.86,25.77,25.77,0.91,3.66,200,5154,33.88,17.0
EXXARO,EXXAROEQN,6.6,6.84,6.84,0.24,3.64,424,2900,10.33,5.99
TRANSPEK,TRANSPEKBEN,1384.9,1435.0,1435.0,50.1,3.62,10,14350,1475.0,952.3
AAREYDRUGS,AAREYDRUGSEQN,91.72,95.0,95.0,3.28,3.58,1100,104500,100.0,50.31
ORCHASP,ORCHASPEQN,1.4,1.45,1.45,0.05,3.57,10,14,4.16,1.25
SHRENIK,SHRENIKBZN,0.28,0.29,0.29,0.01,3.57,370,107,0.65,0.27
QMSMEDI,QMSMEDIBEN,158.33,163.98,163.98,5.65,3.57,1,163,164.7,68.95
ANTELOPUS,ANTELOPUSEQN,951.15,985.0,985.0,33.85,3.56,47514,46801290,951.15,357.0
AUSOMENT,AUSOMENTEQN,156.45,162.0,162.0,5.55,3.55,101,16362,178.0,93.0
MANGALAM,MANGALAMEQN,30.33,31.4,31.4,1.07,3.53,1321,41479,79.7,22.8
SWARAJ,SWARAJBEN,357.4,370.0,370.0,12.6,3.53,10,3700,386.75,158.5
TARAPUR,TARAPUREQN,13.04,13.5,13.5,0.46,3.53,76,1026,39.99,12.21
VALIANTLAB,VALIANTLABBEN,96.13,99.5,99.5,3.37,3.51,4095,407452,110.7,49.51
HILTON,HILTONEQN,18.79,19.45,19.45,0.66,3.51,53,1030,47.75,13.43
SIGMA,SIGMAEQN,46.85,48.49,48.49,1.64,3.5,721,34961,65.5,35.46
SITINET,SITINETBZN,0.29,0.3,0.3,0.01,3.45,12385,3715,0.51,0.27
SEKURITIND,SEKURITINDEQN,113.7,117.6,117.6,3.9,3.43,1,117,124.65,113.21
ADROITINFO,ADROITINFOEQN,10.26,10.61,10.61,0.35,3.41,203,2153,12.2,7.55
MODIRUBBER,MODIRUBBEREQN,123.8,128.0,128.0,4.2,3.39,2,256,167.5,98.41
HECPROJECT,HECPROJECTEQN,116.09,119.99,119.99,3.9,3.36,200,23998,160.5,92.1
GAYAPROJ,GAYAPROJEQN,21.46,22.18,22.18,0.72,3.36,256,5678,26.0,8.28
WEL,WELEQN,75.98,78.5,78.5,2.52,3.32,11593,910050,183.53,75.01
FERMENTA,FERMENTAEQN,520.65,537.75,537.75,17.1,3.28,557,299526,580.45,248.85
SHEKHAWATI,SHEKHAWATIBEN,15.3,15.8,15.8,0.5,3.27,146,2306,25.75,9.12
KANANIIND,KANANIINDEQN,1.53,1.58,1.58,0.05,3.27,3486,5507,2.15,1.02
ASIANTNE,ASIANTNEEQN,9.83,10.15,10.15,0.32,3.26,2,20,10.99,8.64
IL&FSTRANS,IL&FSTRANSBZN,2.19,2.26,2.26,0.07,3.2,2,4,3.34,1.75
YAAP,YAAPSMN,124.0,127.95,127.95,3.95,3.19,2000,255900,214.4,117.0
WAKEFIT,WAKEFITEQN,152.47,157.33,157.33,4.86,3.19,36362,5720833,224.0,111.4
MANORAMA,MANORAMAEQN,1813.1,1869.8,1869.8,56.7,3.13,3794,7094021,2043.0,1060.6
AKASH,AKASHEQN,25.2,25.98,25.98,0.78,3.1,19,493,36.0,22.8
BHAGERIA,BHAGERIABEN,276.35,284.9,284.9,8.55,3.09,23923,6815662,276.35,127.51
CHEMBONDCH,CHEMBONDCHBEN,261.4,269.45,269.45,8.05,3.08,5,1347,290.0,104.85
VTMLTD,VTMLTDEQN,57.73,59.5,59.5,1.77,3.07,350,20825,61.9,44.5
INDIANHUME,INDIANHUMEEQN,388.7,400.55,400.55,11.85,3.05,1544,618449,432.0,279.8
METROGLOBL,METROGLOBLEQN,132.95,137.0,137.0,4.05,3.05,9,1233,165.0,110.0
AGROPHOS,AGROPHOSEQN,24.99,25.75,25.75,0.76,3.04,5,128,47.47,23.9
ECORECO,ECORECOEQN,454.45,468.2,468.2,13.75,3.03,45,21069,494.9,443.75
EMKAY,EMKAYEQN,255.3,262.95,262.95,7.65,3.0,601,158032,409.9,186.0
BASILIC,BASILICSMN,192.05,197.8,197.8,5.75,2.99,300,59340,509.8,164.0
IWP,IWPEQN,34.96,36.0,36.0,1.04,2.97,56,2016,39.15,28.0
CENTENKA,CENTENKAEQN,602.35,620.0,620.0,17.65,2.93,7175,4448500,671.65,371.2
MEDICAMEQ,MEDICAMEQEQN,265.25,273.0,273.0,7.75,2.92,1003,273819,447.65,212.4
SHREDIGCEM,SHREDIGCEMEQN,70.95,73.0,73.0,2.05,2.89,300,21900,100.8,53.9
RELCHEMQ,RELCHEMQEQN,111.7,114.89,114.89,3.19,2.86,1,114,167.7,105.01
