symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
UHTL,UHTLSMN,77.5,86.95,86.95,9.45,12.19,12000,1043400,128.7,51.5
ATLANTAA,ATLANTAAEQN,46.38,52.0,52.0,5.62,12.12,181607,9443564,59.84,27.26
SIKKO,SIKKOEQN,88.41,98.01,98.01,9.6,10.86,25914,2539831,118.93,60.65
MASKINVEST,MASKINVESTEQN,157.56,173.31,173.31,15.75,10.0,5,866,292.46,92.91
MKPL,MKPLEQN,6.87,7.49,7.49,0.62,9.02,18439,138108,9.78,5.4
PARASPETRO,PARASPETROEQN,2.14,2.33,2.33,0.19,8.88,21112,49190,3.82,2.04
OWAIS,OWAISSMN,507.1,549.0,549.0,41.9,8.26,8500,4666500,1530.0,400.0
VMART,VMARTEQN,726.7,779.0,779.0,52.3,7.2,10533,8205207,1130.0,676.04
SAGARDEEP,SAGARDEEPEQN,28.56,30.45,30.45,1.89,6.62,16188,492924,36.21,25.01
SAMPANN,SAMPANNEQN,27.5,29.31,29.31,1.81,6.58,2254,66064,47.88,24.16
KALAMANDIR,KALAMANDIREQN,155.41,165.0,165.0,9.59,6.17,128984,21282360,201.59,113.0
FINKURVE,FINKURVEEQN,114.07,120.73,120.73,6.66,5.84,1946,234940,114.07,105.0
KALANA,KALANASMN,33.9,35.8,35.8,1.9,5.6,2000,71600,55.0,30.1
NEXTMEDIA,NEXTMEDIAEQN,6.92,7.29,7.29,0.37,5.35,4274,31157,12.79,5.7
SHAHALLOYS,SHAHALLOYSEQN,70.46,73.98,73.98,3.52,5.0,2319,171559,92.39,43.3
BGRENERGY,BGRENERGYBEN,250.44,262.96,262.96,12.52,5.0,4763,1252478,273.0,34.5
UNITECH,UNITECHBZN,7.2,7.56,7.56,0.36,5.0,202036,1527392,12.37,5.5
URAVIDEF,URAVIDEFEQN,235.2,246.96,246.96,11.76,5.0,287,70877,584.0,212.65
UEL,UELBEN,291.1,305.65,305.65,14.55,5.0,26,7946,422.05,216.82
WAAREEINDO,WAAREEINDOBEN,558.5,586.4,586.4,27.9,5.0,190,111416,558.5,165.07
INDOBORAX,INDOBORAXBEN,242.22,254.33,254.33,12.11,5.0,1495,380223,301.85,142.35
TECHD,TECHDSTN,541.05,568.1,568.1,27.05,5.0,7200,4090320,541.05,366.7
OILCOUNTUB,OILCOUNTUBEQN,74.55,78.27,78.27,3.72,4.99,2493,195127,100.66,48.1
SATIPOLY,SATIPOLYSMN,67.2,70.55,70.55,3.35,4.99,500,35275,268.7,60.15
SUMEETINDS,SUMEETINDSBEN,181.3,38.07,38.07,1.81,4.99,4976,189436,36.34,0.86
PRIMECAB,PRIMECABSTN,78.1,82.0,82.0,3.9,4.99,3200,262400,81.0,70.7
VISASTEEL,VISASTEELEQN,43.12,45.27,45.27,2.15,4.99,1303,58986,45.48,25.46
GOLDTECH,GOLDTECHEQN,60.61,63.63,63.63,3.02,4.98,4,254,99.0,46.55
TAKE,TAKEEQN,12.06,12.66,12.66,0.6,4.98,11767,148970,23.69,6.51
SEYAIND,SEYAINDBEN,16.1,16.9,16.9,0.8,4.97,62,1047,32.65,12.63
JPASSOCIAT,JPASSOCIATBEN,3.05,3.2,3.2,0.15,4.92,31227,99926,8.55,2.56
OSWALSEEDS,OSWALSEEDSBEN,15.69,16.45,16.45,0.76,4.84,505,8307,26.8,10.72
