symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
MANAKALUCO,MANAKALUCOEQN,30.13,35.0,35.0,4.87,16.16,6467,226345,34.9,17.81
ORIENTTECH,ORIENTTECHEQN,447.6,464.0,464.0,57.1,14.03,50786,23564704,613.5,267.45
KSR,KSREQN,23.83,26.2,26.2,2.37,9.95,15316,401279,34.95,14.04
PARASPETRO,PARASPETROEQN,1.95,2.14,2.14,0.19,9.74,7391,15816,3.44,1.57
LASA,LASAEQN,11.41,12.48,12.48,1.07,9.38,61320,765273,31.4,8.16
SAFEENTP,SAFEENTPSMN,263.9,288.0,288.0,24.1,9.13,1000,288000,319.0,151.0
K2INFRA,K2INFRASMN,75.55,81.95,81.95,6.4,8.47,12600,1032570,173.4,52.5
LOKESHMACH,LOKESHMACHEQN,169.35,180.5,180.5,11.15,6.58,6407,1156463,340.45,127.93
SILVERTUC,SILVERTUCEQN,1248.5,1330.0,1330.0,81.5,6.53,12423,16522590,1320.0,610.0
SINTERCOM,SINTERCOMEQN,99.87,105.88,105.88,6.01,6.02,1,105,183.85,99.0
RHL,RHLEQN,222.08,235.01,235.01,12.93,5.82,9922,2331769,314.0,171.5
UMESLTD,UMESLTDEQN,4.98,5.25,5.25,0.27,5.42,5266,27646,7.43,4.16
SWANDEF,SWANDEFBEN,1530.4,1606.9,1606.9,76.5,5.0,485,779346,1530.4,37.8
MCL,MCLEQN,78.91,82.85,82.85,3.94,4.99,22483,1862716,78.91,39.6
TERASOFT,TERASOFTBEN,418.85,439.75,439.75,20.9,4.99,1751,770002,598.0,159.55
MANGALAM,MANGALAMEQN,30.32,31.83,31.83,1.51,4.98,10687,340167,124.75,22.8
PALREDTEC,PALREDTECEQN,47.15,49.5,49.5,2.35,4.98,175,8662,83.5,36.34
LCCINFOTEC,LCCINFOTECBEN,4.63,4.86,4.86,0.23,4.97,1100,5346,10.25,3.64
NEUEON,NEUEONBEN,7.68,8.06,8.06,0.38,4.95,1069,8616,7.68,5.76
GAYAPROJ,GAYAPROJBZN,11.53,12.1,12.1,0.57,4.94,13000,157300,11.53,5.39
VCL,VCLBEN,2.24,2.35,2.35,0.11,4.91,123161,289428,2.66,0.6
JEYYAM,JEYYAMSTN,56.6,59.35,59.35,2.75,4.86,8000,474800,74.5,31.0
SVPGLOB,SVPGLOBBEN,3.91,4.1,4.1,0.19,4.86,519,2127,6.89,2.37
TARAPUR,TARAPURBEN,29.74,31.18,31.18,1.44,4.84,402,12534,50.85,21.5
WELINV,WELINVEQN,1309.7,1373.1,1373.1,63.4,4.84,4,5492,1549.0,597.55
EXIMROUTES,EXIMROUTESSMN,160.35,168.0,168.0,7.65,4.77,11200,1881600,0.0,0.0
CREATIVEYE,CREATIVEYEEQN,7.15,7.49,7.49,0.34,4.76,201,1505,12.19,5.27
GTECJAINX,GTECJAINXEQN,24.35,25.5,25.5,1.15,4.72,51,1300,37.8,19.71
HYBRIDFIN,HYBRIDFINBEN,20.06,21.0,21.0,0.94,4.69,505,10605,33.62,10.05
TPHQ,TPHQEQN,0.64,0.67,0.67,0.03,4.69,593240,397470,2.69,0.52
CEDAAR,CEDAARSMN,60.9,63.75,63.75,2.85,4.68,1000,63750,136.3,57.25
UNITEDPOLY,UNITEDPOLYBEN,27.88,29.18,29.18,1.3,4.66,6204,181032,51.16,11.9
FOCE,FOCESMN,1915.0,2004.0,2004.0,89.0,4.65,100,200400,1990.0,1226.0
TRU,TRUEQN,8.38,8.77,8.77,0.39,4.65,16586,145459,20.84,6.61
SHAHALLOYS,SHAHALLOYSEQN,71.68,74.99,74.99,3.31,4.62,204,15297,83.85,43.3
DELPHIFX,DELPHIFXEQN,234.23,245.0,245.0,10.77,4.6,9,2205,255.5,102.02
TNTELE,TNTELEEQN,10.08,10.54,10.54,0.46,4.56,16,168,26.0,7.94
GINNIFILA,GINNIFILAEQN,41.51,43.4,43.4,1.89,4.55,1000,43400,57.8,19.01
SUPREMEENG,SUPREMEENGBZN,1.34,1.4,1.4,0.06,4.48,10603,14844,3.04,0.68
AURIGROW,AURIGROWBEN,0.7,0.73,0.73,0.03,4.29,8708979,6357554,1.36,0.45
MARALOVER,MARALOVEREQN,43.94,45.8,45.8,1.86,4.23,4,183,90.6,42.26
