symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
ARUNAYA,ARUNAYASMN,18.6,22.3,22.3,3.7,19.89,30000,669000,46.5,17.5
ANTGRAPHIC,ANTGRAPHICEQN,0.99,1.1,1.1,0.11,11.11,5366,5902,1.62,0.77
PREMIUM,PREMIUMSMN,34.2,38.0,38.0,3.8,11.11,3000,114000,48.2,26.05
HEADSUP,HEADSUPEQN,9.47,10.4,10.4,0.93,9.82,51,530,14.48,8.66
ICDSLTD,ICDSLTDEQN,42.55,46.5,46.5,3.95,9.28,3,139,68.49,37.13
PKTEA,PKTEAEQN,848.05,925.0,925.0,76.95,9.07,5,4625,1013.9,565.0
MCON,MCONSMN,72.6,79.0,79.0,6.4,8.82,1000,79000,229.9,53.4
TRANSTEEL,TRANSTEELSMN,143.0,155.0,155.0,12.0,8.39,27000,4185000,167.95,82.0
MODIS,MODISEQN,341.55,370.0,370.0,28.45,8.33,1,370,409.0,304.5
ABMINTLLTD,ABMINTLLTDEQN,41.78,44.99,44.99,3.21,7.68,2,89,78.21,37.01
LOYALTEX,LOYALTEXEQN,211.64,227.8,227.8,16.16,7.64,120,27336,379.5,202.9
KRIDHANINF,KRIDHANINFEQN,4.17,4.47,4.47,0.3,7.19,6601,29506,7.44,3.03
MADHAV,MADHAVEQN,41.5,44.45,44.45,2.95,7.11,1,44,65.9,37.62
USK,USKEQN,23.16,24.8,24.8,1.64,7.08,5000,124000,61.2,21.98
KAYA,KAYAEQN,359.8,384.85,384.85,25.05,6.96,810,311728,487.9,204.43
PNC,PNCEQN,28.12,29.9,29.9,1.78,6.33,31,926,61.78,22.12
GLOBALE,GLOBALEEQN,12.23,13.0,13.0,0.77,6.3,27,351,30.5,10.5
GVT&D,GVT&DEQN,2927.0,3111.0,3111.0,184.0,6.29,36192,112593312,3323.8,1254.0
AYMSYNTEX,AYMSYNTEXEQN,155.24,164.99,164.99,9.75,6.28,80,13199,304.0,145.01
HISARMETAL,HISARMETALEQN,156.53,166.0,166.0,9.47,6.05,10,1660,246.65,155.0
RVHL,RVHLEQN,56.31,59.6,59.6,3.29,5.84,489,29144,81.9,38.15
DAVANGERE,DAVANGEREEQN,4.41,4.66,4.66,0.25,5.67,492498,2295040,6.36,3.03
MFML,MFMLEQN,25.12,26.5,26.5,1.38,5.49,6,159,59.5,23.75
AIRAN,AIRANEQN,17.79,18.7,18.7,0.91,5.12,1004,18774,37.3,17.0
JHS,JHSEQN,10.04,10.55,10.55,0.51,5.08,11,116,23.7,9.55
SOMATEX,SOMATEXBEN,106.86,112.2,112.2,5.34,5.0,700,78540,161.25,34.53
ORTINGLOBE,ORTINGLOBEBEN,13.8,14.49,14.49,0.69,5.0,985,14272,19.48,9.64
MEGASOFT,MEGASOFTBEN,174.76,183.49,183.49,8.73,5.0,2764,507166,231.0,49.06
SWANDEF,SWANDEFBEN,1259.2,1322.1,1322.1,62.9,5.0,82,108412,1259.2,37.8
VHLTD,VHLTDBEN,132.96,139.6,139.6,6.64,4.99,1100,153560,138.5,93.05
KAVDEFENCE,KAVDEFENCEBEN,68.92,72.36,72.36,3.44,4.99,4092,296097,162.87,33.55
KESORAMIND,KESORAMINDBEN,10.42,10.94,10.94,0.52,4.99,407916,4462601,228.01,2.84
IMPEXFERRO,IMPEXFERROBZN,1.81,1.9,1.9,0.09,4.97,5,9,3.38,1.7
TGL,TGLSTN,68.45,71.85,71.85,3.4,4.97,15800,1135230,638.9,38.5
ALPSINDUS,ALPSINDUSBEN,3.64,3.82,3.82,0.18,4.95,1917,7322,3.64,1.6
AISL,AISLSMN,80.0,83.95,83.95,3.95,4.94,600,50370,189.9,77.0
BAFNAPH,BAFNAPHBEN,149.68,157.0,157.0,7.32,4.89,1357,213049,202.06,69.0
JFLLIFE,JFLLIFESMN,13.35,14.0,14.0,0.65,4.87,6000,84000,32.35,11.0
TECHLABS,TECHLABSSMN,316.5,331.9,331.9,15.4,4.87,125,41487,1670.0,295.0
PANSARI,PANSARIBEN,299.5,314.0,314.0,14.5,4.84,7,2198,352.3,142.05
RUDRA,RUDRAEQN,27.47,28.8,28.8,1.33,4.84,1994,57427,29.0,26.22
PRAXIS,PRAXISEQN,9.54,10.0,10.0,0.46,4.82,26,260,21.82,8.65
QUINTEGRA,QUINTEGRABEN,1.49,1.56,1.56,0.07,4.7,300,468,2.54,1.37
HTMEDIA,HTMEDIAEQN,22.83,23.9,23.9,1.07,4.69,1716,41012,28.64,15.1
DIGISPICE,DIGISPICEEQN,25.32,26.5,26.5,1.18,4.66,3241,85886,35.5,17.09
RVTH,RVTHEQN,719.55,753.0,753.0,33.45,4.65,37,27861,2195.0,689.85
VDEAL,VDEALSMN,215.0,224.95,224.95,9.95,4.63,600,134970,260.0,100.25
BETA,BETAEQN,1530.0,1600.0,1600.0,70.0,4.58,4,6400,2050.43,1429.52
URAVIDEF,URAVIDEFEQN,179.83,188.0,188.0,8.17,4.54,382,71816,584.0,152.82
SECURKLOUD,SECURKLOUDBEN,23.92,25.0,25.0,1.08,4.52,49,1225,35.79,16.01
TAURIAN,TAURIANSTN,210.15,219.6,219.6,9.45,4.5,5600,1229760,425.0,193.9
AURIGROW,AURIGROWBEN,0.92,0.96,0.96,0.04,4.35,4579279,4396107,0.0,0.0
ATLANTAELE,ATLANTAELEEQN,953.35,994.65,994.65,41.3,4.33,1256,1249280,1097.85,782.1
GSS,GSSEQN,16.19,16.89,16.89,0.7,4.32,21,354,66.78,15.81
EXCEL,EXCELEQN,1.4,1.46,1.46,0.06,4.29,281147,410474,1.74,0.65
SPLIL,SPLILEQN,36.33,37.89,37.89,1.56,4.29,700,26523,68.0,30.4
WIPL,WIPLEQN,142.88,149.0,149.0,6.12,4.28,130,19370,270.0,137.9
ZENITHEXPO,ZENITHEXPOEQN,228.25,238.0,238.0,9.75,4.27,100,23800,360.7,193.0
AAREYDRUGS,AAREYDRUGSEQN,68.51,71.43,71.43,2.92,4.26,110,7857,100.0,31.35
DAMODARIND,DAMODARINDEQN,30.12,31.4,31.4,1.28,4.25,1,31,46.7,28.0
STLTECH,STLTECHEQN,99.75,103.95,103.95,4.2,4.21,13010,1352389,140.4,58.86
JALAN,JALANSMN,3.6,3.75,3.75,0.15,4.17,3000,11250,14.6,2.5
KRYSTAL,KRYSTALEQN,523.35,544.9,544.9,21.55,4.12,49,26700,777.65,415.6
JOCIL,JOCILEQN,143.87,149.8,149.8,5.93,4.12,4,599,213.69,132.02
TCIFINANCE,TCIFINANCEEQN,17.73,18.45,18.45,0.72,4.06,6993,129020,20.14,10.0
SELMC,SELMCEQN,38.34,39.89,39.89,1.55,4.04,6,239,48.77,25.5
ORBTEXP,ORBTEXPEQN,189.43,197.0,197.0,7.57,4.0,1,197,287.0,138.7
INSPIRISYS,INSPIRISYSEQN,89.9,93.45,93.45,3.55,3.95,2,186,127.1,66.55
PVSL,PVSLEQN,121.17,125.96,125.96,4.79,3.95,210,26451,174.36,86.75
KONSTELEC,KONSTELECSMN,42.05,43.7,43.7,1.65,3.92,1000,43700,140.3,42.0
SMCGLOBAL,SMCGLOBALEQN,84.05,87.25,87.25,3.2,3.81,18475,1611943,89.77,50.5
ABINFRA,ABINFRAEQN,18.6,19.3,19.3,0.7,3.76,522,10074,22.5,6.16
CEREBRAINT,CEREBRAINTBZN,6.67,6.92,6.92,0.25,3.75,146,1010,10.5,3.99
ESFL,ESFLSMN,160.0,165.95,165.95,5.95,3.72,360,59742,744.85,149.95
LEXUS,LEXUSEQN,26.97,27.97,27.97,1.0,3.71,1943,54345,50.4,25.1
JWL,JWLEQN,260.25,269.9,269.9,9.65,3.71,41838,11292076,548.5,247.15
OAL,OALEQN,298.9,310.0,310.0,11.1,3.71,85,26350,456.0,261.55
TRU,TRUEQN,8.38,8.69,8.69,0.31,3.7,3153,27399,21.44,6.61
DRCSYSTEMS,DRCSYSTEMSEQN,16.98,17.58,17.58,0.6,3.53,3000,52740,33.5,16.15
SPCENET,SPCENETBEN,6.55,6.78,6.78,0.23,3.51,651,4413,21.54,4.78
ADVENTHTL,ADVENTHTLEQN,228.67,236.7,236.7,8.03,3.51,1911,452333,345.05,190.17
QUADFUTURE,QUADFUTUREEQN,282.1,291.85,291.85,9.75,3.46,25969,7579052,744.0,248.55
SIGNPOST,SIGNPOSTEQN,223.32,230.99,230.99,7.67,3.43,115,26563,403.3,180.37
SSDL,SSDLEQN,77.15,79.78,79.78,2.63,3.41,327,26088,139.0,76.1
KERNEX,KERNEXEQN,1141.4,1180.0,1180.0,38.6,3.38,1199,1414820,1574.0,621.55
PAVNAIND,PAVNAINDEQN,25.03,25.87,25.87,0.84,3.36,151,3906,56.4,24.6
SUNLITE,SUNLITESTN,295.9,305.8,305.8,9.9,3.35,600,183480,328.0,91.0
BALKRISHNA,BALKRISHNAEQN,19.26,19.9,19.9,0.64,3.32,400,7960,26.75,16.2
SATECH,SATECHSTN,55.6,57.4,57.4,1.8,3.24,1000,57400,143.2,31.8
VSTL,VSTLEQN,133.74,138.0,138.0,4.26,3.19,195,26910,228.69,117.02
AWFIS,AWFISEQN,518.15,534.7,534.7,16.55,3.19,3003,1605704,786.95,472.55
ATL,ATLEQN,26.41,27.25,27.25,0.84,3.18,3498,95320,37.86,19.82
KEEPLEARN,KEEPLEARNEQN,2.52,2.6,2.6,0.08,3.17,653,1697,5.5,2.01
AKG,AKGEQN,12.31,12.7,12.7,0.39,3.17,7,88,19.77,11.24
SEJALLTD,SEJALLTDBEN,837.4,863.9,863.9,26.5,3.16,31,26780,1036.7,313.5
PEARLPOLY,PEARLPOLYEQN,21.29,21.96,21.96,0.67,3.15,80,1756,45.44,20.26
BLBLIMITED,BLBLIMITEDEQN,15.03,15.5,15.5,0.47,3.13,203,3146,22.49,13.1
ARSHIYA,ARSHIYABZN,1.28,1.32,1.32,0.04,3.13,100,132,3.94,1.16
HYBRIDFIN,HYBRIDFINBEN,19.15,19.75,19.75,0.6,3.13,376,7426,33.62,10.05
KOTYARK,KOTYARKSMN,257.4,265.45,265.45,8.05,3.13,100,26545,997.0,202.4
MINDTECK,MINDTECKEQN,199.81,206.0,206.0,6.19,3.1,131,26986,322.0,145.0
WEALTH,WEALTHEQN,950.95,980.0,980.0,29.05,3.05,10,9800,1612.1,801.2
MANAKSTEEL,MANAKSTEELEQN,66.09,68.09,68.09,2.0,3.03,1571,106969,75.68,43.05
VALIANTORG,VALIANTORGEQN,263.35,271.3,271.3,7.95,3.02,104,28215,507.8,227.05
RILINFRA,RILINFRASMN,36.45,37.55,37.55,1.1,3.02,100,3755,53.9,25.55
MAGADSUGAR,MAGADSUGAREQN,499.0,513.8,513.8,14.8,2.97,5,2569,821.0,440.05
BORANA,BORANABEN,291.05,299.7,299.7,8.65,2.97,591,177122,323.21,211.0
MUFTI,MUFTIEQN,98.1,101.0,101.0,2.9,2.96,4640,468640,192.2,91.32
KEC,KECEQN,711.0,732.0,732.0,21.0,2.95,38971,28526772,1264.25,627.45
SAMPANN,SAMPANNEQN,32.22,33.17,33.17,0.95,2.95,473,15689,47.88,24.16
MVGJL,MVGJLEQN,178.75,184.0,184.0,5.25,2.94,240,44160,315.5,174.35
VIVIDHA,VIVIDHAEQN,0.69,0.71,0.71,0.02,2.9,11227,7971,1.09,0.6
HARRMALAYA,HARRMALAYAEQN,159.88,164.49,164.49,4.61,2.88,1,164,337.9,157.41
REPL,REPLEQN,122.49,126.0,126.0,3.51,2.87,1000,126000,348.0,118.0
BANG,BANGEQN,48.47,49.84,49.84,1.37,2.83,5,249,90.83,42.77
NOIDATOLL,NOIDATOLLEQN,4.28,4.4,4.4,0.12,2.8,644,2833,20.47,2.57
THEINVEST,THEINVESTEQN,115.15,118.34,118.34,3.19,2.77,394,46625,209.98,111.15
