symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
RADAAN,RADAANEQN,2.86,3.42,3.42,0.56,19.58,3567,12199,5.37,2.51
USHAFIN,USHAFINSMN,32.4,36.9,36.9,4.5,13.89,1600,59040,53.83,24.33
KAYTEX,KAYTEXSMN,71.1,78.8,78.8,7.7,10.83,800,63040,156.9,54.5
INFOMEDIA,INFOMEDIAEQN,4.99,5.48,5.48,0.49,9.82,1,5,9.89,4.5
EMKAYTOOLS,EMKAYTOOLSSMN,91.0,98.0,98.0,7.0,7.69,2250,220500,480.0,88.0
ENCOMPAS,ENCOMPASSMN,241.75,259.0,259.0,17.25,7.14,30000,7770000,295.4,167.35
VALIANTORG,VALIANTORGEQN,237.16,250.0,250.0,12.84,5.41,12808,3202000,507.8,195.0
KORE,KORESMN,98.0,102.9,102.9,4.9,5.0,250,25725,212.3,93.15
GJL,GJLSTN,263.3,276.45,276.45,13.15,4.99,35200,9731040,263.3,91.4
TIJARIA,TIJARIABEN,4.62,4.85,4.85,0.23,4.98,2,9,10.35,3.55
DPEL,DPELSMN,391.55,411.0,411.0,19.45,4.97,21000,8631000,395.25,121.1
UMESLTD,UMESLTDBEN,6.48,6.8,6.8,0.32,4.94,1500,10200,7.14,3.88
APSISAERO,APSISAEROSTN,160.65,168.5,168.5,7.85,4.89,27600,4650600,0.0,0.0
VHLTD,VHLTDBEN,140.0,146.8,146.8,6.8,4.86,1,146,155.36,93.05
BLUECOAST,BLUECOASTEQN,19.66,20.59,20.59,0.93,4.73,5,102,86.31,19.0
ORTEL,ORTELBZN,1.76,1.84,1.84,0.08,4.55,4001,7361,2.34,1.15
BAFNAPH,BAFNAPHEQN,114.77,119.99,119.99,5.22,4.55,100,11999,202.06,70.61
CAPTRUST,CAPTRUSTBEN,11.72,12.24,12.24,0.52,4.44,20,244,68.34,11.08
COOLCAPS,COOLCAPSSMN,23.85,24.9,24.9,1.05,4.4,5000,124500,99.5,22.3
EXXARO,EXXAROEQN,6.9,7.2,7.2,0.3,4.35,608,4377,10.95,5.45
OPTIVALUE,OPTIVALUESMN,80.45,83.95,83.95,3.5,4.35,1600,134320,107.55,63.0
MITTAL,MITTALEQN,0.96,1.0,1.0,0.04,4.17,130184,130184,1.98,0.71
VCL,VCLEQN,1.44,1.5,1.5,0.06,4.17,1336,2004,2.66,0.6
TREEHOUSE,TREEHOUSEBEN,8.4,8.74,8.74,0.34,4.05,29,253,12.14,6.19
SUPERSPIN,SUPERSPINEQN,4.52,4.7,4.7,0.18,3.98,22,103,12.47,3.96
PURPLEUTED,PURPLEUTEDSMN,284.15,295.4,295.4,11.25,3.96,250,73850,587.95,119.55
ATGL,ATGLEQN,515.65,535.65,535.65,20.0,3.88,31472,16857976,798.0,462.8
GOLDENTOBC,GOLDENTOBCBZN,27.64,28.65,28.65,1.01,3.65,15,429,39.99,26.08
PYRAMID,PYRAMIDEQN,143.35,148.5,148.5,5.15,3.59,1,148,190.0,136.2
AURIGROW,AURIGROWBEN,0.28,0.29,0.29,0.01,3.57,561884,162946,1.0,0.2
DCMNVL,DCMNVLEQN,111.36,115.3,115.3,3.94,3.54,10,1153,203.8,105.25
UMAEXPORTS,UMAEXPORTSEQN,22.21,22.99,22.99,0.78,3.51,275,6322,96.8,20.72
SIGMAADV,SIGMAADVEQN,159.06,164.63,164.63,5.57,3.5,11440,1883367,231.0,49.06
DGCONTENT,DGCONTENTEQN,23.87,24.7,24.7,0.83,3.48,1,24,59.28,22.6
SHIVAMILLS,SHIVAMILLSEQN,54.16,56.0,56.0,1.84,3.4,20,1120,88.32,51.19
SHANTI,SHANTIEQN,6.27,6.48,6.48,0.21,3.35,1000,6480,23.87,5.77
SITINET,SITINETBZN,0.33,0.34,0.34,0.01,3.03,1355,460,0.58,0.31
ZODIACLOTH,ZODIACLOTHEQN,68.35,70.39,70.39,2.04,2.98,10,703,125.41,67.0
GEEKAYWIRE,GEEKAYWIREEQN,20.99,21.6,21.6,0.61,2.91,100,2160,42.98,19.75
GRINFRA,GRINFRAEQN,925.05,951.2,951.2,26.15,2.83,5450,5184040,1444.4,892.5
ASTRON,ASTRONEQN,3.93,4.04,4.04,0.11,2.8,10,40,20.93,3.8
RUCHINFRA,RUCHINFRAEQN,5.05,5.19,5.19,0.14,2.77,4260,22109,10.89,4.67
SHYAMDHANI,SHYAMDHANISMN,62.25,63.95,63.95,1.7,2.73,2000,127900,139.65,62.0
KEEPLEARN,KEEPLEARNEQN,1.84,1.89,1.89,0.05,2.72,2,3,4.74,1.71
DNAMEDIA,DNAMEDIAEQN,3.39,3.48,3.48,0.09,2.65,28,97,5.95,3.07
RVHL,RVHLEQN,36.16,37.1,37.1,0.94,2.6,34,1261,71.36,35.72
