symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
SARDAEN,SARDAENEQN,439.3,527.15,527.15,87.85,20.0,186694,98415742,563.45,245.0
EUROBOND,EUROBONDEQN,204.28,225.0,225.0,20.72,10.14,4001,900225,234.7,200.0
MIRZAINT,MIRZAINTEQN,33.42,36.29,36.29,2.87,8.59,25129,911931,47.99,25.03
ATCENERGY,ATCENERGYSMN,70.0,75.95,75.95,5.95,8.5,1200,91140,115.35,70.0
SINTERCOM,SINTERCOMEQN,124.79,135.0,135.0,10.21,8.18,2,270,186.0,109.99
BCG,BCGEQN,13.97,15.0,15.0,1.03,7.37,527261,7908915,22.0,6.8
BALKRISHNA,BALKRISHNAEQN,20.54,21.8,21.8,1.26,6.13,24,523,29.99,16.2
KAPSTON,KAPSTONEQN,258.52,274.17,274.17,15.65,6.05,2017,553000,319.0,190.0
ARFIN,ARFINEQN,37.66,39.9,39.9,2.24,5.95,20504,818109,41.9,31.43
STYLEBAAZA,STYLEBAAZAEQN,269.2,284.9,284.9,15.7,5.83,9306,2651279,431.15,181.0
AIROLAM,AIROLAMEQN,109.33,115.7,115.7,6.37,5.83,10,1157,164.0,83.5
SAHASRA,SAHASRASMN,269.45,284.9,284.9,15.45,5.73,2000,569800,0.0,0.0
BLUEWATER,BLUEWATERSMN,159.9,169.0,169.0,9.1,5.69,1000,169000,187.2,125.4
SABTNL,SABTNLBEN,1033.55,1085.2,1085.2,51.65,5.0,127,137820,2219.95,352.6
JAINAM,JAINAMSMN,270.0,283.5,283.5,13.5,5.0,500,141750,290.85,140.0
BGRENERGY,BGRENERGYEQN,96.81,101.65,101.65,4.84,5.0,1300,132145,145.0,34.5
ORCHPHARMA,ORCHPHARMAEQN,777.4,816.25,816.25,38.85,5.0,6204,5064015,1997.4,603.8
ORTINGLOBE,ORTINGLOBEEQN,15.6,16.38,16.38,0.78,5.0,949,15544,24.82,9.64
BLUECOAST,BLUECOASTBEN,50.49,53.01,53.01,2.52,4.99,10,530,53.01,8.68
WAAREEINDO,WAAREEINDOBEN,296.4,311.2,311.2,14.8,4.99,516,160579,311.2,165.07
SWANDEF,SWANDEFBEN,321.6,337.65,337.65,16.05,4.99,13,4389,337.65,37.8
SEYAIND,SEYAINDBEN,18.26,19.17,19.17,0.91,4.98,2227,42691,38.78,12.63
MADHAVBAUG,MADHAVBAUGSTN,244.85,257.05,257.05,12.2,4.98,18000,4626900,244.85,81.1
SELLOWRAP,SELLOWRAPSTN,94.5,99.2,99.2,4.7,4.97,35200,3491840,0.0,0.0
HINDNATGLS,HINDNATGLSBEN,15.5,16.27,16.27,0.77,4.97,594,9664,31.03,14.32
TIJARIA,TIJARIABEN,7.84,8.23,8.23,0.39,4.97,2002,16476,16.55,4.88
FMNL,FMNLEQN,13.9,14.59,14.59,0.69,4.96,6737,98292,28.17,5.89
HEADSUP,HEADSUPEQN,9.76,10.24,10.24,0.48,4.92,1203,12318,17.33,8.66
VIJIFIN,VIJIFINBEN,4.09,4.29,4.29,0.2,4.89,68576,294191,4.6,1.97
HDIL,HDILBZN,2.88,3.02,3.02,0.14,4.86,41050,123971,5.15,2.52
K2INFRA,K2INFRASMN,66.2,69.4,69.4,3.2,4.83,600,41640,0.0,0.0
SECURKLOUD,SECURKLOUDEQN,25.09,26.3,26.3,1.21,4.82,11,289,44.15,16.35
KARMAENG,KARMAENGBEN,59.05,61.85,61.85,2.8,4.74,15,927,93.9,44.91
CORALFINAC,CORALFINACEQN,44.6,46.7,46.7,2.1,4.71,1,46,77.85,33.7
MACPOWER,MACPOWERBEN,1041.0,1090.0,1090.0,49.0,4.71,50,54500,1625.0,601.2
RETAIL,RETAILEQN,36.68,38.39,38.39,1.71,4.66,1,38,57.0,31.5
SOUTHWEST,SOUTHWESTBEN,139.51,145.99,145.99,6.48,4.64,5,729,169.0,99.06
NGLFINE,NGLFINEEQN,1313.0,1373.9,1373.9,60.9,4.64,115,157998,2736.9,957.0
ARVEE,ARVEEEQN,169.0,176.8,176.8,7.8,4.62,8,1414,235.79,126.54
ANKITMETAL,ANKITMETALBZN,1.95,2.04,2.04,0.09,4.62,17,34,5.39,1.85
SAMPANN,SAMPANNEQN,29.63,31.0,31.0,1.37,4.62,135,4185,47.88,24.16
PCJEWELLER,PCJEWELLEREQN,15.01,15.7,15.7,0.69,4.6,1373695,21567011,19.65,8.26
DHARAN,DHARANBEN,0.44,0.46,0.46,0.02,4.55,2527538,1162667,2.56,0.34
RCOM,RCOMBEN,1.32,1.38,1.38,0.06,4.55,2305569,3181685,2.58,1.26
QUADPRO,QUADPROSTN,3.45,3.6,3.6,0.15,4.35,12000,43200,6.75,2.95
BROOKS,BROOKSBEN,157.04,163.75,163.75,6.71,4.27,1100,180125,198.86,93.5
SGL,SGLBEN,13.62,14.2,14.2,0.58,4.26,10,142,27.32,10.04
CLOUD,CLOUDSZN,4.7,4.9,4.9,0.2,4.26,1000,4900,28.75,3.9
ESCONET,ESCONETSTN,187.05,194.95,194.95,7.9,4.22,800,155960,539.95,150.15
GLOBALPET,GLOBALPETSMN,151.65,158.0,158.0,6.35,4.19,1500,237000,153.0,89.0
ORCHASP,ORCHASPBEN,2.88,3.0,3.0,0.12,4.17,200,600,3.94,2.11
AKI,AKIBEN,11.19,11.65,11.65,0.46,4.11,158,1840,24.76,6.63
DRCSYSTEMS,DRCSYSTEMSBEN,17.44,18.14,18.14,0.7,4.01,13,235,34.9,16.15
NEPTUNE,NEPTUNESMN,137.4,142.8,142.8,5.4,3.93,1000,142800,152.75,126.3
ZENITHSTL,ZENITHSTLBEN,8.22,8.54,8.54,0.32,3.89,23,196,12.5,5.65
AVG,AVGEQN,248.35,258.0,258.0,9.65,3.89,1,258,549.0,198.0
AARON,AARONEQN,438.05,455.0,455.0,16.95,3.87,2656,1208480,474.0,251.05
REGENCERAM,REGENCERAMEQN,51.03,53.0,53.0,1.97,3.86,2,106,106.9,35.31
NAGAFERT,NAGAFERTEQN,5.97,6.2,6.2,0.23,3.85,1084,6720,12.9,4.1
GATECH,GATECHBEN,0.52,0.54,0.54,0.02,3.85,36156,19524,1.79,0.49
AXISCADES,AXISCADESBEN,1280.7,1329.3,1329.3,48.6,3.79,1202,1597818,1506.5,420.9
GATECHDVR,GATECHDVRBEN,0.53,0.55,0.55,0.02,3.77,11635,6399,2.38,0.5
