symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
SHAH-RE1,SHAH-RE1BEN,0.05,0.06,0.06,0.01,20.0,6594,395,0.05,0.02
COMFINTE,COMFINTEEQN,5.87,7.04,7.04,1.17,19.93,27832,195937,9.19,5.61
GRANDOAK,GRANDOAKEQN,39.83,43.78,43.78,3.95,9.92,4698,205678,39.83,24.0
MADHUCON,MADHUCONEQN,6.03,6.59,6.59,0.56,9.29,20100,132459,9.32,3.61
SARTELE,SARTELESMN,160.2,174.9,174.9,14.7,9.18,57000,9969300,275.95,106.95
K2INFRA,K2INFRASMN,68.85,73.9,73.9,5.05,7.33,21600,1596240,82.8,40.8
ONMOBILE,ONMOBILEEQN,51.3,54.76,54.76,3.46,6.74,16101,881690,75.09,40.21
BABAFP,BABAFPSMN,23.75,25.25,25.25,1.5,6.32,3200,80800,44.75,17.65
DHARAN,DHARANBZN,0.16,0.17,0.17,0.01,6.25,5030696,855218,0.67,0.11
QMSMEDI,QMSMEDISMN,97.0,102.9,102.9,5.9,6.08,3000,308700,110.5,68.95
RSDFIN,RSDFINEQN,82.0,86.98,86.98,4.98,6.07,50,4349,106.9,73.0
SINCLAIR,SINCLAIREQN,76.22,80.68,80.68,4.46,5.85,2000,161360,114.75,68.82
WTICAB,WTICABSMN,98.5,104.0,104.0,5.5,5.58,500,52000,204.0,75.15
JHS,JHSEQN,8.0,8.44,8.44,0.44,5.5,2850,24054,13.98,6.26
AAATECH,AAATECHEQN,96.68,102.0,102.0,5.32,5.5,2600,265200,136.0,76.11
RKEC,RKECEQN,25.61,26.97,26.97,1.36,5.31,400,10788,84.99,25.01
SOMATEX,SOMATEXEQN,97.68,102.7,102.7,5.02,5.14,4000,410800,161.25,41.76
PFOCUS,PFOCUSBEN,234.15,245.85,245.85,11.7,5.0,22513,5534821,367.0,111.1
MTEDUCARE,MTEDUCAREBEN,2.0,2.1,2.1,0.1,5.0,1004,2108,2.55,1.17
SEJALLTD,SEJALLTDBEN,725.0,761.25,761.25,36.25,5.0,496,377580,1036.7,381.0
SICALLOG,SICALLOGBEN,92.04,96.64,96.64,4.6,5.0,13442,1299034,103.33,60.11
RAJESHEXPO,RAJESHEXPOBZN,84.24,88.45,88.45,4.21,5.0,131024,11589072,237.88,72.63
GANESHIN,GANESHINSTN,103.3,108.45,108.45,5.15,4.99,9600,1041120,279.8,66.4
