symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
INNOMET,INNOMETSMN,85.0,93.0,93.0,8.0,9.41,2400,223200,216.0,84.1
CREATIVEYE,CREATIVEYEEQN,6.97,7.6,7.6,0.63,9.04,25,190,12.19,5.27
IITL,IITLEQN,151.57,165.0,165.0,13.43,8.86,20,3300,407.85,144.3
EUROBOND,EUROBONDEQN,177.41,192.99,192.99,15.58,8.78,2,385,254.5,144.85
RAMANEWS,RAMANEWSEQN,30.5,32.98,32.98,2.48,8.13,2,65,44.78,14.5
FINKURVE,FINKURVEEQN,95.45,103.0,103.0,7.55,7.91,1,103,134.9,86.0
PREMIERPOL,PREMIERPOLEQN,49.03,52.8,52.8,3.77,7.69,34647,1829361,76.0,38.0
PARASPETRO,PARASPETROEQN,1.9,2.04,2.04,0.14,7.37,1034,2109,3.26,1.53
WIPL,WIPLEQN,148.0,158.9,158.9,10.9,7.36,1,158,230.84,137.9
KHANDSE,KHANDSEEQN,19.67,20.9,20.9,1.23,6.25,30,627,32.5,18.11
ANTGRAPHIC,ANTGRAPHICEQN,0.99,1.05,1.05,0.06,6.06,3265,3428,1.62,0.77
LAL,LALEQN,7.79,8.25,8.25,0.46,5.91,1000,8250,19.37,7.32
DNAMEDIA,DNAMEDIAEQN,3.72,3.93,3.93,0.21,5.65,7168,28170,7.17,3.25
BLBLIMITED,BLBLIMITEDEQN,12.81,13.5,13.5,0.69,5.39,8,108,21.3,12.0
UNITEDPOLY,UNITEDPOLYBEN,25.6,26.88,26.88,1.28,5.0,11495,308985,51.16,11.9
MANGALAM,MANGALAMBEN,42.64,44.77,44.77,2.13,5.0,54350,2433249,116.02,22.8
BLUECOAST,BLUECOASTEQN,29.35,30.81,30.81,1.46,4.97,1,30,86.31,22.71
LATTEYS,LATTEYSBEN,23.97,25.16,25.16,1.19,4.96,845,21260,37.0,16.0
SHRIKANHA,SHRIKANHASMN,30.85,32.35,32.35,1.5,4.86,9600,310560,88.0,24.0
UNIINFO,UNIINFOEQN,15.5,16.25,16.25,0.75,4.84,11,178,38.8,13.94
AAKASH,AAKASHEQN,8.45,8.85,8.85,0.4,4.73,94,831,13.79,7.06
DHARAN,DHARANBZN,0.22,0.23,0.23,0.01,4.55,581622,133773,1.72,0.21
VHLTD,VHLTDBEN,139.56,145.85,145.85,6.29,4.51,1,145,155.36,93.05
PARSVNATH,PARSVNATHEQN,9.58,10.0,10.0,0.42,4.38,39,390,27.39,8.7
ODIGMA,ODIGMAEQN,27.98,29.18,29.18,1.2,4.29,220,6419,67.0,27.5
CAPTRUST,CAPTRUSTEQN,12.83,13.38,13.38,0.55,4.29,1,13,76.01,11.08
SHEETAL,SHEETALSMN,215.5,224.5,224.5,9.0,4.18,3000,673500,215.5,60.2
GOLDENTOBC,GOLDENTOBCBZN,29.68,30.9,30.9,1.22,4.11,16,494,45.0,29.5
SANWARIA,SANWARIABZN,0.25,0.26,0.26,0.01,4.0,811,210,0.49,0.24
RNBDENIMS,RNBDENIMSEQN,124.11,129.0,129.0,4.89,3.94,8,1032,155.02,97.55
PIGL,PIGLEQN,109.05,113.25,113.25,4.2,3.85,2,226,405.0,106.74
BASML,BASMLEQN,24.79,25.74,25.74,0.95,3.83,20,514,48.85,23.1
SUMEETINDS,SUMEETINDSEQN,28.45,29.5,29.5,1.05,3.69,2198,64841,40.5,10.66
BETA,BETAEQN,1590.4,1649.0,1649.0,58.6,3.68,3,4947,2000.0,1429.52
BTML,BTMLEQN,7.94,8.23,8.23,0.29,3.65,1,8,13.41,7.11
INTERARCH,INTERARCHEQN,2073.3,2145.9,2145.9,72.6,3.5,2221,4766043,2762.6,1264.0
ANKITMETAL,ANKITMETALBZN,1.74,1.8,1.8,0.06,3.45,100,180,4.16,1.55
FILATFASH,FILATFASHEQN,0.3,0.31,0.31,0.01,3.33,263209,81594,0.74,0.25
SIGMA,SIGMAEQN,61.0,62.99,62.99,1.99,3.26,7160,451008,65.5,21.01
SUNLITE,SUNLITESTN,376.95,389.0,389.0,12.05,3.2,2400,933600,393.85,91.0
SHIVAMAUTO,SHIVAMAUTOEQN,22.15,22.85,22.85,0.7,3.16,1005,22964,44.23,21.0
DRCSYSTEMS,DRCSYSTEMSEQN,16.77,17.3,17.3,0.53,3.16,300,5190,33.5,16.15
JAIPURKURT,JAIPURKURTEQN,38.46,39.66,39.66,1.2,3.12,314,12453,59.0,26.0
FLYSBS,FLYSBSSMN,459.7,474.0,474.0,14.3,3.11,200,94800,790.0,427.5
JPOLYINVST,JPOLYINVSTEQN,942.8,971.9,971.9,29.1,3.09,1509,1466597,1184.9,554.3
NGIL,NGILEQN,29.09,29.99,29.99,0.9,3.09,23,689,44.0,22.19
COASTCORP,COASTCORPBEN,43.56,44.89,44.89,1.33,3.05,76,3411,50.82,30.01
SETCO,SETCOEQN,14.37,14.8,14.8,0.43,2.99,31,458,21.68,13.22
DIVGIITTS,DIVGIITTSEQN,587.5,604.95,604.95,17.45,2.97,2,1209,700.0,410.1
SIGNPOST,SIGNPOSTEQN,198.57,204.45,204.45,5.88,2.96,5,1022,395.0,180.37
SAWALIYA,SAWALIYASMN,315.7,324.7,324.7,9.0,2.85,1200,389640,322.8,208.0
SITINET,SITINETBZN,0.36,0.37,0.37,0.01,2.78,1061,392,0.73,0.31
EMAMIPAP,EMAMIPAPEQN,82.64,84.9,84.9,2.26,2.73,10,849,122.0,80.65
LGHL,LGHLEQN,292.05,300.0,300.0,7.95,2.72,1,300,399.58,192.75
NIBL,NIBLEQN,32.79,33.68,33.68,0.89,2.71,334,11249,40.8,19.5
VERANDA,VERANDAEQN,215.14,220.95,220.95,5.81,2.7,4100,905895,272.5,172.15
PAR,PAREQN,93.33,95.85,95.85,2.52,2.7,50,4792,206.12,81.01
SHILCTECH,SHILCTECHEQN,3199.4,3284.8,3284.8,85.4,2.67,302,992009,4350.0,3141.0
MAHAPEXLTD,MAHAPEXLTDEQN,97.43,100.0,100.0,2.57,2.64,1,100,148.77,69.05
GSS,GSSEQN,15.93,16.35,16.35,0.42,2.64,101,1651,59.9,15.19
BARFLEX,BARFLEXSMN,70.25,72.1,72.1,1.85,2.63,2000,144200,82.4,41.15
AROGRANITE,AROGRANITEEQN,28.65,29.4,29.4,0.75,2.62,5,147,49.5,27.61
EXXARO,EXXAROBEN,7.62,7.82,7.82,0.2,2.62,50,391,10.95,5.45
TNTELE,TNTELEEQN,9.55,9.8,9.8,0.25,2.62,175,1715,26.0,7.94
DMCC,DMCCEQN,231.05,237.0,237.0,5.95,2.58,1,237,389.65,225.95
NAGAFERT,NAGAFERTEQN,4.69,4.81,4.81,0.12,2.56,3829,18417,9.42,4.04
KRIDHANINF,KRIDHANINFEQN,3.9,4.0,4.0,0.1,2.56,516,2064,5.86,3.03
ABSMARINE,ABSMARINESMN,196.75,201.75,201.75,5.0,2.54,500,100875,259.0,92.1
KSHITIJPOL,KSHITIJPOLEQN,2.4,2.46,2.46,0.06,2.5,3251,7997,4.49,1.99
ONELIFECAP,ONELIFECAPBEN,16.18,16.58,16.58,0.4,2.47,3,49,18.59,9.08
LYPSAGEMS,LYPSAGEMSEQN,4.87,4.99,4.99,0.12,2.46,100,499,10.93,4.57
SAURASHCEM,SAURASHCEMEQN,77.1,79.0,79.0,1.9,2.46,5,395,128.4,73.73
A2ZINFRA,A2ZINFRAEQN,14.26,14.61,14.61,0.35,2.45,1318,19255,23.9,12.35
NDL,NDLEQN,2.91,2.98,2.98,0.07,2.41,54884,163554,5.08,2.82
OCCLLTD,OCCLLTDEQN,95.71,98.0,98.0,2.29,2.39,13,1274,159.42,63.63
JMA,JMAEQN,75.01,76.8,76.8,1.79,2.39,1,76,111.99,64.3
EQUIPPP,EQUIPPPBEN,20.5,20.99,20.99,0.49,2.39,6,125,25.79,16.15
APOLSINHOT,APOLSINHOTEQN,1280.0,1310.0,1310.0,30.0,2.34,1,1310,1787.6,1150.0
PAKKA,PAKKAEQN,96.74,99.0,99.0,2.26,2.34,20,1980,306.65,92.72
EXCEL,EXCELEQN,1.31,1.34,1.34,0.03,2.29,48065,64407,1.74,0.65
DUCON,DUCONEQN,3.16,3.23,3.23,0.07,2.22,106,342,7.89,2.81
SURANAT&P,SURANAT&PEQN,19.36,19.79,19.79,0.43,2.22,12,237,29.27,16.3
VETO,VETOEQN,104.67,106.99,106.99,2.32,2.22,49,5242,149.0,92.6
RPEL,RPELEQN,904.9,925.0,925.0,20.1,2.22,1313,1214525,1065.5,449.5
KRYSTAL,KRYSTALEQN,614.1,627.7,627.7,13.6,2.21,2001,1256027,735.0,415.6
VENUSREM,VENUSREMBEN,743.55,759.9,759.9,16.35,2.2,849,645155,839.9,270.25
FEL,FELBZN,0.46,0.47,0.47,0.01,2.17,42,19,0.68,0.34
ANIKINDS,ANIKINDSEQN,42.29,43.2,43.2,0.91,2.15,4,172,133.0,42.0
AXITA,AXITABEN,9.09,9.28,9.28,0.19,2.09,63440,588723,13.42,7.99
GATECHDVR,GATECHDVREQN,0.48,0.49,0.49,0.01,2.08,55864,27373,1.16,0.42
CIFL,CIFLEQN,33.09,33.77,33.77,0.68,2.06,4657,157266,44.5,29.25
PRIMO,PRIMOEQN,22.04,22.49,22.49,0.45,2.04,5,112,31.39,21.51
BALAJEE,BALAJEEEQN,38.3,39.07,39.07,0.77,2.01,1,39,72.85,38.1
ATALREAL,ATALREALEQN,25.88,26.4,26.4,0.52,2.01,2223,58687,27.04,11.15
JHS,JHSEQN,10.5,10.71,10.71,0.21,2.0,141,1510,21.0,8.66
TREJHARA,TREJHARABEN,218.9,223.28,223.28,4.38,2.0,19,4242,284.85,155.6
PPAP,PPAPEQN,219.62,224.0,224.0,4.38,1.99,600,134400,294.79,154.05
VINEETLAB,VINEETLABEQN,33.59,34.26,34.26,0.67,1.99,1,34,48.64,22.28
GVPTECH,GVPTECHEQN,8.21,8.37,8.37,0.16,1.95,510,4268,12.0,7.61
BORANA,BORANABEN,315.85,322.0,322.0,6.15,1.95,111,35742,329.0,211.0
OSWALSEEDS,OSWALSEEDSEQN,14.87,15.16,15.16,0.29,1.95,2208,33473,20.28,10.72
MEGASOFT,MEGASOFTBEN,189.34,193.0,193.0,3.66,1.93,200,38600,231.0,49.06
SVPGLOB,SVPGLOBBEN,3.63,3.7,3.7,0.07,1.93,157,580,6.89,2.37
GATECH,GATECHEQN,0.52,0.53,0.53,0.01,1.92,20001,10600,1.21,0.44
ORIANA,ORIANASMN,1962.65,1999.95,1999.95,37.3,1.9,75,149996,3064.0,1000.0
SUVEN,SUVENEQN,153.12,156.0,156.0,2.88,1.88,4077,636012,299.99,102.5
E2E,E2EEQN,1987.8,2025.0,2025.0,37.2,1.87,112,226800,4100.0,1710.05
RICOAUTO,RICOAUTOEQN,128.08,130.46,130.46,2.38,1.86,27840,3632006,142.4,54.0
PATINTLOG,PATINTLOGEQN,13.0,13.24,13.24,0.24,1.85,2,26,21.49,12.78
INDSWFTLAB,INDSWFTLABEQN,101.14,102.99,102.99,1.85,1.83,7410,763155,124.0,68.72
TTL,TTLEQN,7.76,7.9,7.9,0.14,1.8,1,7,16.2,7.5
MEP,MEPBZN,1.67,1.7,1.7,0.03,1.8,3,5,3.34,1.14
BAGFILMS,BAGFILMSEQN,6.11,6.22,6.22,0.11,1.8,5148,32020,9.27,5.31
OBCL,OBCLEQN,55.01,56.0,56.0,0.99,1.8,1706,95536,64.84,49.01
RELIABLE,RELIABLEBEN,150.34,152.99,152.99,2.65,1.76,6,917,174.1,63.15
AAREYDRUGS,AAREYDRUGSEQN,64.86,66.0,66.0,1.14,1.76,18,1188,100.0,31.35
VIVIDHA,VIVIDHAEQN,0.57,0.58,0.58,0.01,1.75,8618,4998,1.05,0.57
RUDRA,RUDRAEQN,24.76,25.19,25.19,0.43,1.74,210,5289,29.7,23.0
CENTEXT,CENTEXTBEN,21.79,22.17,22.17,0.38,1.74,38,842,34.75,15.67
KEEPLEARN,KEEPLEARNEQN,2.34,2.38,2.38,0.04,1.71,500,1190,4.74,2.01
KRITIKA,KRITIKAEQN,7.07,7.19,7.19,0.12,1.7,130,934,11.49,6.78
BELLACASA,BELLACASAEQN,349.05,354.9,354.9,5.85,1.68,5,1774,497.35,336.9
HCL-INSYS,HCL-INSYSEQN,13.18,13.4,13.4,0.22,1.67,3326,44568,24.5,11.8
KARMAENG,KARMAENGEQN,47.58,48.35,48.35,0.77,1.62,1,48,86.93,44.91
REPL,REPLEQN,102.34,104.0,104.0,1.66,1.62,400,41600,337.0,99.0
MIRZAINT,MIRZAINTEQN,35.23,35.8,35.8,0.57,1.62,501,17935,44.64,25.03
HINDZINC,HINDZINCEQN,629.85,640.0,640.0,10.15,1.61,115109,73669760,670.95,378.15
HINDCOPPER,HINDCOPPEREQN,539.45,548.05,548.05,8.6,1.59,181401,99416818,576.0,183.82
TPHQ,TPHQEQN,0.63,0.64,0.64,0.01,1.59,20614,13192,2.21,0.52
NLCINDIA,NLCINDIAEQN,255.35,259.35,259.35,4.0,1.57,22396,5808402,292.2,186.03
VEDL,VEDLEQN,637.2,647.0,647.0,9.8,1.54,121765,78781955,679.45,363.0
VIPULLTD,VIPULLTDBEN,11.9,12.08,12.08,0.18,1.51,8712,105240,21.57,7.38
LLOYDSENGG,LLOYDSENGGEQN,51.08,51.85,51.85,0.77,1.51,23314,1208830,84.27,44.54
LAXMIDENTL,LAXMIDENTLEQN,243.95,247.6,247.6,3.65,1.5,1011,250323,584.0,237.0
KHADIM,KHADIMEQN,173.11,175.7,175.7,2.59,1.5,303,53237,396.85,153.27
INDOBORAX,INDOBORAXEQN,263.6,267.55,267.55,3.95,1.5,153,40935,301.85,142.35
AVG,AVGEQN,167.04,169.55,169.55,2.51,1.5,7,1186,343.0,156.81
GOKUL,GOKULEQN,38.3,38.87,38.87,0.57,1.49,411,15975,60.99,36.21
MANAKALUCO,MANAKALUCOEQN,45.08,45.75,45.75,0.67,1.49,13218,604723,54.09,17.81
SIMPLEXINF,SIMPLEXINFEQN,239.43,243.0,243.0,3.57,1.49,12,2916,342.45,219.0
HTMEDIA,HTMEDIAEQN,23.44,23.79,23.79,0.35,1.49,250,5947,28.64,15.1
TIRUPATIFL,TIRUPATIFLEQN,35.61,36.14,36.14,0.53,1.49,3869,139825,57.05,28.21
KRISHNADEF,KRISHNADEFEQN,916.05,929.65,929.65,13.6,1.48,461,428568,1027.5,503.0
JASH,JASHEQN,402.05,408.0,408.0,5.95,1.48,15,6120,698.95,397.65
WAAREEINDO,WAAREEINDOBEN,472.85,479.85,479.85,7.0,1.48,1531,734650,725.0,165.07
MAHABANK,MAHABANKEQN,65.05,66.0,66.0,0.95,1.46,329673,21758418,67.74,42.0
ZIMLAB,ZIMLABEQN,75.51,76.6,76.6,1.09,1.44,11,842,127.0,65.52
ORICONENT,ORICONENTBEN,61.05,61.93,61.93,0.88,1.44,1,61,63.0,35.66
ALPHAGEO,ALPHAGEOEQN,222.82,226.0,226.0,3.18,1.43,1,226,454.55,211.0
VIPCLOTHNG,VIPCLOTHNGEQN,30.06,30.49,30.49,0.43,1.43,16,487,45.1,28.0
EPIGRAL,EPIGRALEQN,1161.5,1178.0,1178.0,16.5,1.42,80,94240,2114.0,1110.0
MANUGRAPH,MANUGRAPHEQN,15.57,15.79,15.79,0.22,1.41,40,631,25.3,14.17
BALPHARMA,BALPHARMAEQN,71.07,72.07,72.07,1.0,1.41,100,7207,128.74,69.0
PLASTIBLEN,PLASTIBLENEQN,157.78,159.99,159.99,2.21,1.4,100,15999,253.98,153.35
RAIN,RAINEQN,140.56,142.5,142.5,1.94,1.38,26153,3726802,168.5,99.9
TEMBO,TEMBOEQN,577.25,585.0,585.0,7.75,1.34,271,158535,837.0,386.0
RUBFILA,RUBFILAEQN,70.86,71.8,71.8,0.94,1.33,1,71,92.2,61.8
GLOBE,GLOBEEQN,3.01,3.05,3.05,0.04,1.33,51,155,4.52,2.02
SHYAMCENT,SHYAMCENTBEN,6.11,6.19,6.19,0.08,1.31,125,773,12.66,4.71
MGEL,MGELEQN,13.03,13.2,13.2,0.17,1.3,9207,121532,18.4,11.62
SASTASUNDR,SASTASUNDREQN,329.95,334.2,334.2,4.25,1.29,5,1671,363.0,205.0
SAMHI,SAMHIEQN,186.91,189.32,189.32,2.41,1.29,5584,1057162,254.5,121.1
APARINDS,APARINDSEQN,7651.5,7748.0,7748.0,96.5,1.26,281,2177188,10673.0,4308.05
ABINFRA,ABINFRAEQN,19.11,19.35,19.35,0.24,1.26,1415,27380,22.5,6.16
FOCUS,FOCUSEQN,72.6,73.5,73.5,0.9,1.24,100,7350,126.15,63.78
EXCELINDUS,EXCELINDUSEQN,931.65,943.2,943.2,11.55,1.24,14,13204,1440.0,799.1
EMMVEE,EMMVEEEQN,212.08,214.7,214.7,2.62,1.24,8629,1852646,248.4,171.51
INCREDIBLE,INCREDIBLEEQN,37.34,37.8,37.8,0.46,1.23,7,264,52.87,28.5
SURANASOL,SURANASOLEQN,26.04,26.36,26.36,0.32,1.23,260,6853,43.48,25.9
SAKHTISUG,SAKHTISUGEQN,17.88,18.1,18.1,0.22,1.23,1027,18588,31.67,17.69
MCLEODRUSS,MCLEODRUSSEQN,45.79,46.35,46.35,0.56,1.22,37,1714,68.47,27.6
INDIQUBE,INDIQUBEEQN,203.52,206.0,206.0,2.48,1.22,3,618,243.8,186.0
ANSALAPI,ANSALAPIBZN,3.3,3.34,3.34,0.04,1.21,100,334,10.4,3.15
KRITINUT,KRITINUTEQN,72.98,73.86,73.86,0.88,1.21,72,5317,135.85,63.55
UMESLTD,UMESLTDEQN,4.95,5.01,5.01,0.06,1.21,50,250,7.43,4.16
INDBANK,INDBANKEQN,35.06,35.48,35.48,0.42,1.2,103,3654,47.15,25.5
TAKE,TAKEBEN,43.73,44.25,44.25,0.52,1.19,4779,211470,45.0,6.51
SPENCERS,SPENCERSEQN,38.35,38.8,38.8,0.45,1.17,105,4074,94.9,36.71
PLATIND,PLATINDEQN,235.28,238.0,238.0,2.72,1.16,47,11186,389.7,213.0
ORIENTHOT,ORIENTHOTEQN,115.2,116.54,116.54,1.34,1.16,9352,1089882,179.98,98.08
GKENERGY,GKENERGYEQN,141.36,143.0,143.0,1.64,1.16,219,31317,239.6,129.0
SWARAJ,SWARAJSTN,239.1,241.85,241.85,2.75,1.15,500,120925,287.45,138.5
NECCLTD,NECCLTDEQN,17.34,17.54,17.54,0.2,1.15,10,175,32.7,17.1
ATLANTAELE,ATLANTAELEEQN,819.55,828.9,828.9,9.35,1.14,28,23209,1097.85,782.1
SUNDARAM,SUNDARAMEQN,1.77,1.79,1.79,0.02,1.13,1205,2156,2.5,1.52
AMDIND,AMDINDEQN,43.49,43.98,43.98,0.49,1.13,61,2682,68.07,39.85
HPL,HPLEQN,357.0,361.0,361.0,4.0,1.12,121,43681,639.9,339.0
ARKADE,ARKADEEQN,127.95,129.37,129.37,1.42,1.11,296,38293,213.69,125.06
ANDHRAPAP,ANDHRAPAPEQN,64.98,65.7,65.7,0.72,1.11,623,40931,91.8,62.04
TINNARUBR,TINNARUBREQN,702.25,710.0,710.0,7.75,1.1,169,119990,1088.85,685.0
TTKHLTCARE,TTKHLTCAREEQN,988.3,999.0,999.0,10.7,1.08,2,1998,1398.9,980.0
VAKRANGEE,VAKRANGEEEQN,7.41,7.49,7.49,0.08,1.08,11771,88164,34.09,7.34
DYCL,DYCLEQN,310.65,314.0,314.0,3.35,1.08,275,86350,526.75,227.5
JITFINFRA,JITFINFRAEQN,271.0,273.9,273.9,2.9,1.07,77,21090,655.0,248.25
RISHABH,RISHABHEQN,354.15,357.9,357.9,3.75,1.06,1,357,490.0,201.5
VGL,VGLEQN,134.38,135.8,135.8,1.42,1.06,6,814,196.95,114.0
PICCADIL,PICCADILEQN,578.7,584.8,584.8,6.1,1.05,171,100000,805.5,533.15
GEMAROMA,GEMAROMAEQN,150.43,152.0,152.0,1.57,1.04,20,3040,349.6,133.0
JINDALPOLY,JINDALPOLYEQN,420.35,424.7,424.7,4.35,1.03,245,104051,914.95,410.0
INDUSTOWER,INDUSTOWEREQN,427.9,432.25,432.25,4.35,1.02,41109,17769365,454.95,312.55
FMGOETZE,FMGOETZEEQN,446.85,451.4,451.4,4.55,1.02,49,22118,622.0,308.0
AGSTRA,AGSTRABZN,3.92,3.96,3.96,0.04,1.02,2000,7920,67.0,3.78
KCPSUGIND,KCPSUGINDEQN,24.7,24.95,24.95,0.25,1.01,250,6237,48.49,24.01
ICRA,ICRAEQN,5999.5,6060.0,6060.0,60.5,1.01,1,6060,7130.0,5015.1
NOVAAGRI,NOVAAGRIEQN,36.62,36.98,36.98,0.36,0.98,6,221,70.1,36.0
JAGRAN,JAGRANEQN,69.46,70.14,70.14,0.68,0.98,35,2454,83.8,65.01
AHLUCONT,AHLUCONTEQN,898.3,907.0,907.0,8.7,0.97,282,255774,1125.0,620.0
RACE,RACEEQN,123.8,125.0,125.0,1.2,0.97,25,3125,363.95,121.5
KMSUGAR,KMSUGAREQN,27.22,27.48,27.48,0.26,0.96,2,54,34.65,25.02
AARON,AARONEQN,167.88,169.49,169.49,1.61,0.96,60,10169,258.0,152.48
VRLLOG,VRLLOGEQN,249.5,251.9,251.9,2.4,0.96,256,64486,324.5,216.6
ATHERENERG,ATHERENERGEQN,653.35,659.6,659.6,6.25,0.96,8116,5353313,790.0,288.15
ASHOKAMET,ASHOKAMETEQN,14.75,14.89,14.89,0.14,0.95,8,119,23.5,14.5
SANSTAR,SANSTAREQN,92.82,93.7,93.7,0.88,0.95,20,1874,118.0,80.0
BANCOINDIA,BANCOINDIAEQN,648.85,655.0,655.0,6.15,0.95,848,555440,879.8,297.5
LAXMICOT,LAXMICOTEQN,15.85,16.0,16.0,0.15,0.95,14,224,33.0,15.36
PIRAMALFIN,PIRAMALFINEQN,1847.7,1865.2,1865.2,17.5,0.95,1162,2167362,1915.0,1260.0
ELLEN,ELLENEQN,281.05,283.7,283.7,2.65,0.94,137,38866,637.7,272.55
BLISSGVS,BLISSGVSEQN,162.49,164.0,164.0,1.51,0.93,6150,1008600,195.8,108.12
NARMADA,NARMADAEQN,27.15,27.4,27.4,0.25,0.92,866,23728,28.25,14.82
AWFIS,AWFISEQN,460.7,464.95,464.95,4.25,0.92,351,163197,724.0,449.0
VARROC,VARROCEQN,563.4,568.5,568.5,5.1,0.91,182,103467,694.7,374.1
INDNIPPON,INDNIPPONEQN,770.95,777.95,777.95,7.0,0.91,51,39675,1099.9,545.3
IBULLSLTD,IBULLSLTDEQN,12.08,12.19,12.19,0.11,0.91,3333,40629,21.25,11.4
DHAMPURSUG,DHAMPURSUGEQN,118.52,119.59,119.59,1.07,0.9,308,36833,170.99,110.0
BLKASHYAP,BLKASHYAPEQN,46.72,47.14,47.14,0.42,0.9,500,23570,80.01,45.0
MIRCELECTR,MIRCELECTREQN,31.17,31.45,31.45,0.28,0.9,586,18429,36.0,10.24
OMFREIGHT,OMFREIGHTEQN,93.1,93.93,93.93,0.83,0.89,1,93,107.4,81.1
BHAGERIA,BHAGERIAEQN,167.62,169.1,169.1,1.48,0.88,150,25365,244.6,132.0
ALMONDZ,ALMONDZEQN,17.15,17.3,17.3,0.15,0.87,1,17,34.25,14.41
JAYNECOIND,JAYNECOINDEQN,85.75,86.5,86.5,0.75,0.87,6701,579636,94.3,28.0
TFCILTD,TFCILTDEQN,62.34,62.88,62.88,0.54,0.87,80241,5045554,75.9,24.46
WAAREERTL,WAAREERTLEQN,1006.35,1015.0,1015.0,8.65,0.86,15444,15675660,1358.0,841.15
ADVANCE,ADVANCEEQN,123.93,125.0,125.0,1.07,0.86,1091,136375,154.0,102.0
SPCENET,SPCENETBEN,5.96,6.01,6.01,0.05,0.84,421,2530,11.24,4.78
GLENMARK,GLENMARKEQN,2008.2,2025.0,2025.0,16.8,0.84,3747,7587675,2284.8,1275.5
CRAMC,CRAMCEQN,280.95,283.3,283.3,2.35,0.84,3241,918175,353.4,274.3
YATRA,YATRAEQN,164.64,166.0,166.0,1.36,0.83,390,64740,202.0,65.51
VTL,VTLEQN,415.55,419.0,419.0,3.45,0.83,495,207405,539.9,361.1
SESHAPAPER,SESHAPAPEREQN,237.33,239.3,239.3,1.97,0.83,45,10768,318.0,226.0
PGHH,PGHHEQN,12383.0,12483.0,12483.0,100.0,0.81,9,112347,14950.0,12105.6
BHARATGEAR,BHARATGEAREQN,105.94,106.8,106.8,0.86,0.81,400,42720,154.2,64.8
PRUDENT,PRUDENTEQN,2428.4,2448.0,2448.0,19.6,0.81,13,31824,3098.0,1570.0
AUTOAXLES,AUTOAXLESEQN,1907.6,1922.9,1922.9,15.3,0.8,60,115374,2039.7,1520.0
SHRADHA,SHRADHAEQN,39.91,40.23,40.23,0.32,0.8,717,28844,75.86,34.65
ARSHIYA,ARSHIYABZN,1.26,1.27,1.27,0.01,0.79,26,33,3.94,1.16
ORCHASP,ORCHASPEQN,2.56,2.58,2.58,0.02,0.78,2212,5706,4.16,2.11
TARMAT,TARMATEQN,54.03,54.45,54.45,0.42,0.78,1818,98990,73.57,45.1
MAITHANALL,MAITHANALLEQN,1063.5,1071.8,1071.8,8.3,0.78,653,699885,1264.0,835.25
JSWHL,JSWHLEQN,18045.0,18185.0,18185.0,140.0,0.78,2,36370,27740.0,14300.05
PARACABLES,PARACABLESEQN,35.24,35.51,35.51,0.27,0.77,1489,52874,78.12,33.96
LOTUSDEV,LOTUSDEVEQN,151.83,153.0,153.0,1.17,0.77,1198,183294,218.49,150.5
AARTISURF,AARTISURFEQN,380.6,383.5,383.5,2.9,0.76,6,2301,653.1,358.3
LTTS,LTTSEQN,4317.7,4350.0,4350.0,32.3,0.75,508,2209800,5645.0,3951.3
NDRAUTO,NDRAUTOEQN,746.4,752.0,752.0,5.6,0.75,71,53392,1220.0,551.0
WINDLAS,WINDLASEQN,775.1,780.9,780.9,5.8,0.75,11,8589,1140.0,665.1
UFLEX,UFLEXEQN,473.45,477.0,477.0,3.55,0.75,99,47223,685.6,438.0
MOL,MOLEQN,61.18,61.64,61.64,0.46,0.75,1622,99980,106.3,56.11
JLHL,JLHLEQN,1354.8,1365.0,1365.0,10.2,0.75,23,31395,1770.0,1266.0
AJOONI,AJOONIEQN,4.08,4.11,4.11,0.03,0.74,1181,4853,8.17,4.0
AFSL,AFSLEQN,201.51,203.0,203.0,1.49,0.74,2,406,269.5,165.49
EUREKAFORB,EUREKAFORBEQN,569.8,573.95,573.95,4.15,0.73,387,222118,668.3,461.5
SABTNL,SABTNLBEN,1954.9,1969.0,1969.0,14.1,0.72,126,248094,2050.0,352.6
AMBIKCO,AMBIKCOEQN,1213.3,1222.0,1222.0,8.7,0.72,15,18330,1700.0,1174.8
OMAXAUTO,OMAXAUTOEQN,96.31,97.0,97.0,0.69,0.72,10,970,165.8,77.55
TIGERLOGS,TIGERLOGSEQN,33.26,33.5,33.5,0.24,0.72,601,20133,56.69,29.57
SHREEJISPG,SHREEJISPGEQN,366.7,369.3,369.3,2.6,0.71,4363,1611255,394.0,222.0
AEGISVOPAK,AEGISVOPAKEQN,230.38,231.99,231.99,1.61,0.7,251,58229,302.0,220.0
SPARC,SPARCEQN,135.85,136.79,136.79,0.94,0.69,1679,229670,204.4,109.3
PNBGILTS,PNBGILTSEQN,79.94,80.49,80.49,0.55,0.69,785,63184,119.8,74.25
TATATECH,TATATECHEQN,660.25,664.75,664.75,4.5,0.68,8529,5669652,841.3,597.0
GLOBALE,GLOBALEEQN,11.73,11.81,11.81,0.08,0.68,40,472,28.5,10.5
